event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_attack&positive_heavy,660,0.002512453787572286,0.0017095330926106822,0.016510879218824784,0.5121212121212121,0.38484848484848483,long,0.5121212121212121,0.033055430292865985
has_attack&has_market_brag,123,0.004407268910605766,0.003937024280642687,0.015527035280791692,0.6178861788617886,0.3170731707317073,long,0.6178861788617886,0.03020164416865346
posts_very_high&has_attack,209,0.003656228787791799,0.0032053005097096854,0.014487641994986832,0.5645933014354066,0.33014354066985646,long,0.5645933014354066,0.02984298276148552
has_action&high_emotion,25,0.009299798603102972,0.006135082658553781,0.021822537139605174,0.64,0.28,long,0.64,0.029759355529929508
positive_heavy&lots_of_excl,841,0.0020259596052229034,0.0010952451327630452,0.01681001070878523,0.5005945303210464,0.3983353151010702,long,0.5005945303210464,0.029411344613753186
has_action&has_russia,87,0.00593378649702186,0.001945763413556012,0.019107438598084024,0.5287356321839081,0.3333333333333333,long,0.5287356321839081,0.029263759659538577
has_attack&lots_of_excl,947,0.0018924393013819412,0.0,0.016334555370012275,0.48996832101372756,0.3917634635691658,long,0.48996832101372756,0.02853415064592747
posts_very_high&positive_heavy,209,0.003475920132346064,0.003099375938729221,0.014142067426641201,0.5645933014354066,0.3492822966507177,long,0.5645933014354066,0.028371261923287223
has_attack,1045,0.001799673323944332,0.0,0.016052789975654284,0.48708133971291867,0.3952153110047847,long,0.48708133971291867,0.028336963866691336
positive_heavy,871,0.00186773754183523,0.0,0.016749064329505278,0.49827784156142363,0.399540757749713,long,0.49827784156142363,0.027466068590153374
has_positive&positive_heavy,871,0.00186773754183523,0.0,0.016749064329505278,0.49827784156142363,0.399540757749713,long,0.49827784156142363,0.027466068590153374
has_market_brag&has_night_post,91,0.004697537716329158,0.003937024280642687,0.014435300589442649,0.5934065934065934,0.31868131868131866,long,0.5934065934065934,0.02659153081296869
has_attack&has_russia,353,0.0028652457563167408,0.0,0.017176217478457528,0.49291784702549574,0.37393767705382436,long,0.49291784702549574,0.026535286042872405
positive_heavy&has_russia,264,0.003248277848598172,0.0,0.017554499927236376,0.4962121212121212,0.39015151515151514,long,0.4962121212121212,0.026189216309190282
posts_high&has_market_brag,83,0.0048450014521255755,0.0041065579147046005,0.014877441490735504,0.5903614457831325,0.3132530120481928,long,0.5903614457831325,0.02605859195303541
has_attack&has_positive,967,0.0017298424244369666,0.0,0.01635050368553307,0.48293691830403307,0.4043433298862461,long,0.48293691830403307,0.02597826768331395
attack_heavy&positive_heavy,306,0.0026245181247347726,0.002192951490842865,0.014925611641716498,0.5555555555555556,0.34967320261437906,long,0.5555555555555556,0.025505731554130093
has_market_brag&short_posts,72,0.004904228728692637,0.0042271868941790025,0.010077439388031594,0.6111111111111112,0.2638888888888889,long,0.6111111111111112,0.02543063153068859
has_action&has_attack,211,0.0033858579715141677,0.001945763413556012,0.017471158263809742,0.5165876777251185,0.3791469194312796,long,0.5165876777251185,0.02540703622818867
has_market_brag,175,0.0033846189445157168,0.003099375938729221,0.014607647580296729,0.5657142857142857,0.34285714285714286,long,0.5657142857142857,0.02532946117087841
has_iran&volume_spike,23,0.008560769284138904,0.006993271635896026,0.013199127707259428,0.6086956521739131,0.2608695652173913,long,0.6086956521739131,0.024990613076240377
posts_very_high&lots_of_excl,238,0.002933448179871025,0.002268802906677081,0.014445100976342697,0.5462184873949579,0.35714285714285715,long,0.5462184873949579,0.024719136429516328
posts_very_high&has_china,121,0.0038194324714470626,0.003384017541575801,0.01472493103322198,0.5867768595041323,0.3140495867768595,long,0.5867768595041323,0.02465270049752195
posts_very_high&has_russia,114,0.004306346945283115,0.0018871476566315604,0.013978420194550416,0.5263157894736842,0.34210526315789475,long,0.5263157894736842,0.024199580692202006
has_positive&lots_of_excl,1179,0.001453676292872332,0.0,0.016479395459604928,0.48346055979643765,0.40458015267175573,long,0.48346055979643765,0.024131574608936175
has_attack&short_posts,350,0.002573322243622877,0.0,0.01449990459642697,0.49714285714285716,0.37714285714285717,long,0.49714285714285716,0.023933675593768772
posts_very_high&has_market_brag,42,0.005335842160559571,0.006070301569448655,0.01114987158576099,0.6904761904761905,0.2857142857142857,long,0.6904761904761905,0.023876811287055932
has_market_brag&has_russia,49,0.005956629153617442,0.003384017541575801,0.01676453978671367,0.5714285714285714,0.3469387755102041,long,0.5714285714285714,0.023826516614469766
open_deal&short_posts,39,0.006739456832992519,0.006779738098710242,0.02231084646560887,0.5641025641025641,0.38461538461538464,long,0.5641025641025641,0.023741889166955774
posts_very_high,240,0.0028034787299588693,0.002268802906677081,0.014539793367731632,0.5458333333333333,0.35833333333333334,long,0.5458333333333333,0.023706254377794035
posts_high&posts_very_high,240,0.0028034787299588693,0.002268802906677081,0.014539793367731632,0.5458333333333333,0.35833333333333334,long,0.5458333333333333,0.023706254377794035
has_market_brag&lots_of_excl,161,0.0032498385276115067,0.003099375938729221,0.014567654976103664,0.5714285714285714,0.3416149068322981,long,0.5714285714285714,0.023563330372307942
has_positive&has_market_brag,168,0.003167606750267305,0.002872366359220835,0.014642765095659363,0.5654761904761905,0.35119047619047616,long,0.5654761904761905,0.023216685814117084
lots_of_excl,1246,0.001360167235047701,0.0,0.016580921035151196,0.4799357945425361,0.40369181380417335,long,0.4799357945425361,0.023042758688682843
positive_heavy&has_market_brag,122,0.00343049019729735,0.0035576717090584076,0.01499289001612023,0.5983606557377049,0.3360655737704918,long,0.5983606557377049,0.02267248521918194
has_positive,1409,0.001275750010930862,0.0,0.01614634386979025,0.47196593328601844,0.40596167494677077,long,0.47196593328601844,0.022601212024358806
attack_heavy,414,0.0021240784186795964,0.0018001385929186098,0.014706716787398428,0.5217391304347826,0.3671497584541063,long,0.5217391304347826,0.022548835949509457
has_attack&attack_heavy,414,0.0021240784186795964,0.0018001385929186098,0.014706716787398428,0.5217391304347826,0.3671497584541063,long,0.5217391304347826,0.022548835949509457
posts_high&has_attack,529,0.002001466396207817,0.0,0.016127675832449066,0.4877126654064272,0.391304347826087,long,0.4877126654064272,0.022451231748765947
posts_very_high&has_positive,238,0.0026770820017382514,0.0020869788024291402,0.014533179823556208,0.542016806722689,0.36134453781512604,long,0.542016806722689,0.022385299330977687
attack_heavy&has_positive,395,0.002147263838874656,0.001801644210975617,0.014874251516498545,0.5240506329113924,0.369620253164557,long,0.5240506329113924,0.022364397774633955
positive_heavy&short_posts,296,0.0025093471682718763,0.002139473689416138,0.016772500932159845,0.5135135135135135,0.3918918918918919,long,0.5135135135135135,0.022169631915607214
lots_of_excl&short_posts,449,0.002116779777880473,0.0,0.015666567313729333,0.4922048997772829,0.3830734966592428,long,0.4922048997772829,0.02207724011542691
attack_heavy&lots_of_excl,406,0.002081940130414563,0.0017659020103640843,0.014755309311642647,0.5197044334975369,0.3669950738916256,long,0.5197044334975369,0.02180156524942372
attack_heavy&high_emotion,32,0.006164559949530999,0.0025321224563484845,0.016573007577778593,0.625,0.28125,long,0.625,0.021795010716721856
has_positive&has_russia,392,0.002346482342719956,0.0,0.01703267775762311,0.46683673469387754,0.4005102040816326,long,0.46683673469387754,0.021688291749595377
volume_drop,387,0.0023863522235990785,0.0,0.017549825651338738,0.4599483204134367,0.3875968992248062,long,0.4599483204134367,0.021592307942927567
posts_low&deal_over_tariff,24,0.00688361501129799,0.005226355182634257,0.0130818401085198,0.625,0.25,long,0.625,0.02107668045430342
has_relief&positive_heavy,75,0.004546633897911024,0.0020367614931331435,0.02355477649964017,0.5333333333333333,0.38666666666666666,long,0.5333333333333333,0.02100000243892486
attack_heavy&has_russia,169,0.0031843107233338512,0.0,0.017099205251426212,0.4970414201183432,0.3668639053254438,long,0.4970414201183432,0.020575546212311037
posts_very_high&attack_heavy,142,0.0029509840738274605,0.0032001423106151616,0.012018896309817798,0.5845070422535211,0.30985915492957744,long,0.5845070422535211,0.02055420983410733
posts_low&volume_drop,302,0.002564667168950706,0.0,0.017976867549348286,0.4602649006622517,0.3841059602649007,long,0.4602649006622517,0.02051362164466201
posts_high&has_russia,224,0.002909496272984546,0.0,0.016574186613615642,0.46875,0.3794642857142857,long,0.46875,0.020411884165507273
has_positive&short_posts,538,0.0018335986401153124,0.0,0.015477970407385378,0.4795539033457249,0.3847583643122677,long,0.4795539033457249,0.02039542907374439
has_russia,432,0.0020769058579664756,0.0,0.01695651856623077,0.4699074074074074,0.39814814814814814,long,0.4699074074074074,0.020284811475352202
has_positive&high_emotion,100,0.003886629123116636,0.0018939584154051836,0.01639727081182193,0.52,0.39,long,0.52,0.020210471440206507
short_posts,716,0.0016084664617956091,0.0,0.014895949820105926,0.4692737430167598,0.3854748603351955,long,0.4692737430167598,0.020197367888217733
has_deal&has_market_brag,64,0.0039290956238215696,0.003958101900167987,0.014046263843007362,0.640625,0.296875,long,0.640625,0.020136615072085542
posts_very_high&has_action,76,0.003963518366821889,0.0032946590256427433,0.01508987129111577,0.5657894736842105,0.32894736842105265,long,0.5657894736842105,0.019549809708928726
high_emotion,166,0.002945117986391881,0.0017864770291270426,0.01556668630453192,0.5120481927710844,0.39156626506024095,long,0.5120481927710844,0.0194297664239445
has_attack&high_emotion,71,0.004298483805963888,0.001848403480073868,0.016578058179767725,0.5352112676056338,0.36619718309859156,long,0.5352112676056338,0.019385174608052745
