event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_attack&has_market_brag,123,0.004407268910605766,0.003937024280642687,0.015527035280791692,0.6178861788617886,0.3170731707317073,long,0.6178861788617886,0.03020164416865346
posts_very_high&has_attack,209,0.003656228787791799,0.0032053005097096854,0.014487641994986832,0.5645933014354066,0.33014354066985646,long,0.5645933014354066,0.02984298276148552
has_action&high_emotion,25,0.009299798603102972,0.006135082658553781,0.021822537139605174,0.64,0.28,long,0.64,0.029759355529929508
posts_very_high&positive_heavy,209,0.003475920132346064,0.003099375938729221,0.014142067426641201,0.5645933014354066,0.3492822966507177,long,0.5645933014354066,0.028371261923287223
has_market_brag&has_night_post,91,0.004697537716329158,0.003937024280642687,0.014435300589442649,0.5934065934065934,0.31868131868131866,long,0.5934065934065934,0.02659153081296869
posts_high&has_market_brag,83,0.0048450014521255755,0.0041065579147046005,0.014877441490735504,0.5903614457831325,0.3132530120481928,long,0.5903614457831325,0.02605859195303541
attack_heavy&positive_heavy,306,0.0026245181247347726,0.002192951490842865,0.014925611641716498,0.5555555555555556,0.34967320261437906,long,0.5555555555555556,0.025505731554130093
has_market_brag&short_posts,72,0.004904228728692637,0.0042271868941790025,0.010077439388031594,0.6111111111111112,0.2638888888888889,long,0.6111111111111112,0.02543063153068859
has_market_brag,175,0.0033846189445157168,0.003099375938729221,0.014607647580296729,0.5657142857142857,0.34285714285714286,long,0.5657142857142857,0.02532946117087841
has_iran&volume_spike,23,0.008560769284138904,0.006993271635896026,0.013199127707259428,0.6086956521739131,0.2608695652173913,long,0.6086956521739131,0.024990613076240377
posts_very_high&has_china,121,0.0038194324714470626,0.003384017541575801,0.01472493103322198,0.5867768595041323,0.3140495867768595,long,0.5867768595041323,0.02465270049752195
posts_very_high&has_market_brag,42,0.005335842160559571,0.006070301569448655,0.01114987158576099,0.6904761904761905,0.2857142857142857,long,0.6904761904761905,0.023876811287055932
has_market_brag&has_russia,49,0.005956629153617442,0.003384017541575801,0.01676453978671367,0.5714285714285714,0.3469387755102041,long,0.5714285714285714,0.023826516614469766
open_deal&short_posts,39,0.006739456832992519,0.006779738098710242,0.02231084646560887,0.5641025641025641,0.38461538461538464,long,0.5641025641025641,0.023741889166955774
has_market_brag&lots_of_excl,161,0.0032498385276115067,0.003099375938729221,0.014567654976103664,0.5714285714285714,0.3416149068322981,long,0.5714285714285714,0.023563330372307942
has_positive&has_market_brag,168,0.003167606750267305,0.002872366359220835,0.014642765095659363,0.5654761904761905,0.35119047619047616,long,0.5654761904761905,0.023216685814117084
positive_heavy&has_market_brag,122,0.00343049019729735,0.0035576717090584076,0.01499289001612023,0.5983606557377049,0.3360655737704918,long,0.5983606557377049,0.02267248521918194
attack_heavy&high_emotion,32,0.006164559949530999,0.0025321224563484845,0.016573007577778593,0.625,0.28125,long,0.625,0.021795010716721856
posts_low&deal_over_tariff,24,0.00688361501129799,0.005226355182634257,0.0130818401085198,0.625,0.25,long,0.625,0.02107668045430342
posts_very_high&attack_heavy,142,0.0029509840738274605,0.0032001423106151616,0.012018896309817798,0.5845070422535211,0.30985915492957744,long,0.5845070422535211,0.02055420983410733
has_deal&has_market_brag,64,0.0039290956238215696,0.003958101900167987,0.014046263843007362,0.640625,0.296875,long,0.640625,0.020136615072085542
posts_very_high&has_action,76,0.003963518366821889,0.0032946590256427433,0.01508987129111577,0.5657894736842105,0.32894736842105265,long,0.5657894736842105,0.019549809708928726
attack_heavy&has_market_brag,61,0.003956202010555993,0.003731325876541014,0.015852642804064558,0.6229508196721312,0.32786885245901637,long,0.6229508196721312,0.019248510949001898
posts_very_high&pre_action,26,0.006529526755635566,0.0025268386566443812,0.01681631647536985,0.5769230769230769,0.34615384615384615,long,0.5769230769230769,0.01920818327394919
has_china&volume_spike,57,0.0044586028122068485,0.002617758225618161,0.014483318550640497,0.5614035087719298,0.2807017543859649,long,0.5614035087719298,0.018897803814621344
has_relief&attack_heavy,27,0.006441230114949171,0.0020367614931331435,0.022324456390088905,0.5555555555555556,0.4074074074074074,long,0.5555555555555556,0.01859422970389114
has_iran&has_russia,49,0.004770094290276972,0.0020791823209929117,0.013234422384834339,0.5510204081632653,0.30612244897959184,long,0.5510204081632653,0.018398935119639744
has_market_brag&deal_only,49,0.003952982874793147,0.003384017541575801,0.012615958320707775,0.6530612244897959,0.2653061224489796,long,0.6530612244897959,0.01807077885619724
posts_very_high&deal_heavy,43,0.00485366060470259,0.0034071877571801856,0.01873470832898545,0.5581395348837209,0.3953488372093023,long,0.5581395348837209,0.01776423127432393
posts_low&has_deal,25,0.005879350849005465,0.0026808170186305436,0.013755638751331584,0.6,0.28,long,0.6,0.017638052547016395
posts_very_high&open_deal,39,0.004844385549066928,0.0034600920537781743,0.014083356448021863,0.5641025641025641,0.358974358974359,long,0.5641025641025641,0.01706589531442687
posts_very_high&has_iran,30,0.005477593008150864,0.003919809465636859,0.01252856746645736,0.5666666666666667,0.3333333333333333,long,0.5666666666666667,0.01700114042458191
has_market_brag&has_china,65,0.003460304539036805,0.003384017541575801,0.014512487039936173,0.6,0.3230769230769231,long,0.6,0.016738720248793273
posts_low&deal_only,23,0.005652620454284887,0.0026808170186305436,0.011869790837373,0.6086956521739131,0.2608695652173913,long,0.6086956521739131,0.016501139786771486
has_relief&has_action,23,0.005925356060575161,0.007963576638505332,0.02776718024603025,0.5652173913043478,0.391304347826087,long,0.5652173913043478,0.016061787911654763
posts_very_high&pre_deal,47,0.003852891904233079,0.0021737847686011946,0.01694042550147447,0.5957446808510638,0.2765957446808511,long,0.5957446808510638,0.015736057255891413
high_emotion&volume_drop,26,0.005242045530676407,0.0019405281578517286,0.013955640137538574,0.5769230769230769,0.34615384615384615,long,0.5769230769230769,0.015420745645419717
has_positive&brag_heavy,31,0.003513296679814098,0.006185523472802323,0.014398770476177979,0.6774193548387096,0.2903225806451613,long,0.6774193548387096,0.013251140937041207
has_china&sig_potus,36,0.003707141901372113,0.0038995466241974475,0.01142828123850012,0.5833333333333334,0.25,long,0.5833333333333334,0.012974996654802395
has_market_brag&deal_over_tariff,56,0.0027302152975503735,0.003241696740152511,0.012756933193935779,0.625,0.30357142857142855,long,0.625,0.012769412794453212
has_china&pre_action,37,0.0036950881773966647,0.003194984111520638,0.018152897438553035,0.5675675675675675,0.3783783783783784,long,0.5675675675675675,0.01275684384172821
positive_heavy&brag_heavy,24,0.003395200145939562,0.006038195931694079,0.012860587889124895,0.7083333333333334,0.25,long,0.7083333333333334,0.011781719570581117
has_market_brag&brag_heavy,32,0.0030793330006785823,0.006038195931694079,0.014375781174600566,0.65625,0.3125,long,0.65625,0.011431440543134561
brag_heavy,32,0.0030793330006785823,0.006038195931694079,0.014375781174600566,0.65625,0.3125,long,0.65625,0.011431440543134561
has_russia&tariff_only,25,0.004064649796977675,0.00344814882402944,0.014386410791726178,0.56,0.28,long,0.56,0.01138101943153749
pre_tariff&pre_deal,25,0.004019290591856106,0.002012245993773254,0.013895674198528088,0.56,0.36,long,0.56,0.011254013657197099
has_market_brag&pre_deal,32,0.0027548803099034375,0.003241696740152511,0.011131341723236241,0.65625,0.25,long,0.65625,0.010226971379572597
open_deal&volume_spike,20,-0.004139150674229391,-0.0035058239763313126,0.020107500608595737,0.35,0.55,short,0.55,0.010180964504360108
brag_heavy&lots_of_excl,31,0.0027178400679437296,0.005890868390585835,0.01446481235330079,0.6451612903225806,0.3225806451612903,long,0.6451612903225806,0.00976276972527008
