event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&positive_heavy,123,0.004885078425241851,0.0034071877571801856,0.013318672705679484,0.5853658536585366,0.3170731707317073,long,0.5853658536585366,0.03171403352886894
posts_very_high&has_attack,119,0.0049089363239847115,0.003384017541575801,0.01407271294883864,0.5714285714285714,0.3025210084033613,long,0.5714285714285714,0.030600098941387044
has_attack&has_market_brag,104,0.004485485614429173,0.004021791097673644,0.014245185146159417,0.6442307692307693,0.2980769230769231,long,0.6442307692307693,0.029469149447812367
posts_very_high&lots_of_excl,136,0.004250613260770512,0.003277650036201729,0.014031168912404593,0.5588235294117647,0.33088235294117646,long,0.5588235294117647,0.027701018087984898
posts_very_high,138,0.004005490085837785,0.003277650036201729,0.014227722136067069,0.5579710144927537,0.3333333333333333,long,0.5579710144927537,0.026254686877333032
posts_high&posts_very_high,138,0.004005490085837785,0.003277650036201729,0.014227722136067069,0.5579710144927537,0.3333333333333333,long,0.5579710144927537,0.026254686877333032
posts_very_high&has_positive,138,0.004005490085837785,0.003277650036201729,0.014227722136067069,0.5579710144927537,0.3333333333333333,long,0.5579710144927537,0.026254686877333032
has_market_brag&short_posts,70,0.005079414535635737,0.004483484436544227,0.010137444860938646,0.6142857142857143,0.2571428571428571,long,0.6142857142857143,0.02610556475814147
posts_very_high&has_china,77,0.005153848191017903,0.00344814882402944,0.013479131850779152,0.5714285714285714,0.3116883116883117,long,0.5714285714285714,0.025842762476689946
posts_very_high&open_deal,23,0.008252744853289234,0.007518830283381739,0.012733374931314533,0.6521739130434783,0.21739130434782608,long,0.6521739130434783,0.025812243861692157
posts_very_high&has_tariff,24,0.007598309191194169,0.006487184126932055,0.01397349541460959,0.6666666666666666,0.25,long,0.6666666666666666,0.024815973901767013
has_attack,620,0.001960892410421991,0.0014771555822128413,0.014796659228044559,0.5016129032258064,0.3758064516129032,long,0.5016129032258064,0.024491664966509362
posts_very_high&has_market_brag,39,0.005575824433038575,0.006249734748311475,0.011251963352643418,0.6923076923076923,0.28205128205128205,long,0.6923076923076923,0.02410685475490162
has_attack&short_posts,293,0.0027409252268089583,0.0019646777869013476,0.014379524631678665,0.5085324232081911,0.3515358361774744,long,0.5085324232081911,0.023858857662703584
has_market_brag,153,0.003339619434216323,0.0031446899629943292,0.01371750002583162,0.5751633986928104,0.33986928104575165,long,0.5751633986928104,0.023759316147926788
has_attack&positive_heavy,405,0.0022642743011136884,0.002000172836257086,0.015214952728061474,0.5160493827160494,0.3851851851851852,long,0.5160493827160494,0.023515153171381586
has_deal&has_market_brag,61,0.004589825275857414,0.0043478158736534045,0.0137725221021739,0.6557377049180327,0.2786885245901639,long,0.6557377049180327,0.023506676310317068
open_deal&short_posts,35,0.006896905900452869,0.006779738098710242,0.02332326096643384,0.5714285714285714,0.37142857142857144,long,0.5714285714285714,0.02331579746491981
has_attack&lots_of_excl,550,0.001968365704210773,0.0016428579484423222,0.015086326826957392,0.5036363636363637,0.37636363636363634,long,0.5036363636363637,0.02324899659159041
posts_very_high&short_posts,107,0.004075522919180224,0.003349999562693773,0.014550186664223358,0.5514018691588785,0.3364485981308411,long,0.5514018691588785,0.023245744635689198
