event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&deal_only,calm_bull,25,0.0019852261450044708,0.0016750580888547084,0.56,0.32
attack_heavy&deal_only,neutral,39,0.0035659506909702754,0.0037736213386150297,0.5641025641025641,0.2564102564102564
attack_heavy&deal_only,oversold,13,0.0016427532642806924,0.006329124569471434,0.6923076923076923,0.3076923076923077
attack_heavy&deal_only,risk_off,5,-0.00029987644694995375,0.006329124569471434,0.6,0.4
attack_heavy&deal_over_tariff,calm_bull,29,0.0022514747799750314,0.0016750580888547084,0.5517241379310345,0.3448275862068966
attack_heavy&deal_over_tariff,neutral,41,0.003517438012478296,0.0037736213386150297,0.5609756097560976,0.2682926829268293
attack_heavy&deal_over_tariff,oversold,15,0.001822625801191465,0.006329124569471434,0.6666666666666666,0.3333333333333333
attack_heavy&deal_over_tariff,risk_off,6,0.001854984550866449,0.00721543994493179,0.6666666666666666,0.3333333333333333
has_attack&has_chips,calm_bull,7,0.005139250413201814,0.0021368114711906028,0.5714285714285714,0.2857142857142857
has_attack&has_chips,neutral,13,0.0014672512203674876,0.0043478158736534045,0.6923076923076923,0.23076923076923078
has_china&tariff_only,neutral,11,0.0026478858924701043,0.003384017541575801,0.6363636363636364,0.2727272727272727
has_china&tariff_only,oversold,11,0.00018521415188433763,0.004098242366852967,0.5454545454545454,0.2727272727272727
has_china&volume_spike,calm_bull,10,0.009297902565031135,0.00773781283190722,0.9,0.0
has_china&volume_spike,neutral,23,0.0036364482831794435,0.0021051626102310816,0.5217391304347826,0.2608695652173913
has_chips,calm_bull,8,0.00556066327188405,0.005323682376925154,0.625,0.25
has_chips,neutral,16,0.0021109530488138337,0.0035362835688257377,0.625,0.25
has_deal&attack_heavy,calm_bull,31,0.002534882353290533,0.0016750580888547084,0.5483870967741935,0.3225806451612903
has_deal&attack_heavy,neutral,46,0.003190762086568447,0.0035788194400954154,0.5652173913043478,0.2608695652173913
has_deal&attack_heavy,oversold,16,0.00039569703468370077,0.005437196339547645,0.625,0.375
has_deal&attack_heavy,risk_off,6,0.001854984550866449,0.00721543994493179,0.6666666666666666,0.3333333333333333
has_deal&has_market_brag,calm_bull,25,0.0029800004674910684,0.0021368114711906028,0.68,0.24
has_deal&has_market_brag,neutral,30,0.0037252979886321738,0.004371647270503876,0.6,0.3333333333333333
has_deal&has_market_brag,oversold,6,0.015620065080176715,0.009801706342982497,0.8333333333333334,0.16666666666666666
has_deal&has_relief,calm_bull,10,-0.004222599338043353,-0.003183779996764946,0.2,0.7
has_deal&has_relief,neutral,12,0.002569023556772604,-0.0023527415510489758,0.4166666666666667,0.5
has_deal&has_relief,oversold,7,-0.00629080914294993,-0.0021739423291977644,0.42857142857142855,0.5714285714285714
has_deal&has_relief,risk_off,7,-0.006088149177717812,-0.0021739423291977644,0.42857142857142855,0.5714285714285714
has_deal&volume_spike,calm_bull,17,0.004807326002536018,0.0021368114711906028,0.6470588235294118,0.29411764705882354
has_deal&volume_spike,neutral,21,0.0023031699897397362,0.0043478158736534045,0.5714285714285714,0.19047619047619047
has_iran&open_deal,calm_bull,6,0.006332727090849625,0.009832245945441187,0.8333333333333334,0.16666666666666666
has_iran&open_deal,neutral,8,-0.0010275120018778672,0.000972881706778006,0.5,0.375
has_iran&open_deal,oversold,8,-0.0005756023976005858,-0.002392659550002396,0.5,0.5
has_market_brag&deal_only,calm_bull,20,0.0036397099061352078,0.0021014143636212124,0.7,0.2
has_market_brag&deal_only,neutral,22,0.004378038146547525,0.004371647270503876,0.6363636363636364,0.2727272727272727
has_market_brag&deal_over_tariff,calm_bull,23,0.002288622260117221,0.002066017256051822,0.6521739130434783,0.2608695652173913
has_market_brag&deal_over_tariff,neutral,25,0.002781339744718645,0.0043478158736534045,0.6,0.32
has_market_brag&deal_over_tariff,oversold,5,0.011847494592976094,0.006329124569471434,0.8,0.2
has_market_brag&has_china,calm_bull,20,0.0046819727262981834,0.0038626155834114995,0.75,0.2
has_market_brag&has_china,neutral,29,0.0015408452758959071,0.001479268839783554,0.5172413793103449,0.4482758620689655
has_market_brag&has_china,oversold,8,0.009864815015186545,0.005265435725740897,0.625,0.25
has_market_brag&pre_deal,calm_bull,14,0.0017795283444953988,0.0026180937049599118,0.7142857142857143,0.21428571428571427
has_market_brag&pre_deal,neutral,14,0.0013933402609997345,0.0027315999312843564,0.5714285714285714,0.2857142857142857
has_night_post&tariff_only,neutral,11,-0.0037194778691233906,0.0,0.45454545454545453,0.45454545454545453
has_night_post&tariff_only,oversold,9,0.00846694169388229,0.00858380713543161,0.7777777777777778,0.2222222222222222
has_positive&has_chips,calm_bull,7,0.006355043739296058,0.008510553282659705,0.7142857142857143,0.2857142857142857
has_positive&has_chips,neutral,16,0.0021109530488138337,0.0035362835688257377,0.625,0.25
has_relief&deal_only,calm_bull,7,-0.0032352840304614877,-0.0018830058212746525,0.2857142857142857,0.7142857142857143
has_relief&deal_only,neutral,9,0.0027937154288225382,-0.0047054831020979515,0.3333333333333333,0.5555555555555556
has_relief&deal_only,oversold,6,-0.006976953611908625,-0.004468007495544324,0.5,0.5
has_relief&deal_only,risk_off,5,-0.010614478290955076,-0.020146684774412282,0.4,0.6
has_russia&open_deal,calm_bull,10,0.0036708871177141946,0.0037594151416908694,0.5,0.4
has_russia&open_deal,neutral,12,0.01079602773700783,0.007321812853717358,0.6666666666666666,0.16666666666666666
has_russia&open_deal,oversold,10,0.0013096711063766199,0.0010367199571043595,0.5,0.5
has_russia&tariff_only,neutral,11,0.004272606905832149,0.0022725928742068913,0.5454545454545454,0.2727272727272727
has_russia&tariff_only,oversold,6,0.009310614736197894,0.007762601134034042,0.8333333333333334,0.16666666666666666
has_tariff&has_market_brag,calm_bull,9,0.004196291348289188,0.003788206886180312,0.6666666666666666,0.3333333333333333
has_tariff&has_market_brag,neutral,8,0.0019302625543649587,0.00025556703606705033,0.5,0.5
has_tariff&has_market_brag,oversold,7,0.004307784793139947,0.004395743907437577,0.5714285714285714,0.2857142857142857
has_tariff&has_russia,calm_bull,9,0.00608238474739743,-0.0019011051907532606,0.4444444444444444,0.5555555555555556
has_tariff&has_russia,neutral,16,0.008098137459984452,0.0028603708491181656,0.625,0.25
has_tariff&has_russia,oversold,8,0.0016513161356197514,0.004652660587271984,0.625,0.375
lots_of_excl&has_chips,calm_bull,8,0.00556066327188405,0.005323682376925154,0.625,0.25
lots_of_excl&has_chips,neutral,15,0.002251683252068089,0.0043478158736534045,0.6666666666666666,0.26666666666666666
open_deal&short_posts,calm_bull,10,0.0021665353257320774,0.003157822988426373,0.5,0.4
open_deal&short_posts,neutral,17,0.0008860627198847445,0.0,0.47058823529411764,0.47058823529411764
open_deal&short_posts,oversold,8,0.02558291087756112,0.013154695364403723,0.875,0.125
positive_heavy&has_chips,calm_bull,7,0.006355043739296058,0.008510553282659705,0.7142857142857143,0.2857142857142857
positive_heavy&has_chips,neutral,15,0.002251683252068089,0.0043478158736534045,0.6666666666666666,0.26666666666666666
posts_low&deal_only,neutral,12,0.0006987928496203685,0.0010183225515707495,0.5,0.4166666666666667
posts_low&deal_only,oversold,9,0.009725863360010788,0.008429930433899502,0.6666666666666666,0.1111111111111111
posts_low&deal_over_tariff,neutral,12,0.0006987928496203685,0.0010183225515707495,0.5,0.4166666666666667
posts_low&deal_over_tariff,oversold,10,0.012272926006269646,0.009685339885535993,0.7,0.1
posts_low&has_deal,neutral,13,-0.0007567288346592876,0.0,0.46153846153846156,0.46153846153846156
posts_low&has_deal,oversold,10,0.012272926006269646,0.009685339885535993,0.7,0.1
posts_very_high&deal_heavy,calm_bull,8,0.004437851744041085,0.0017035938785900928,0.5,0.375
posts_very_high&deal_heavy,neutral,16,0.0050784992785603555,0.0021739079368267022,0.5,0.4375
posts_very_high&deal_heavy,oversold,5,0.009363299228241796,0.011058667253935006,0.8,0.2
posts_very_high&deal_only,calm_bull,20,-2.5136605199232998e-05,0.000805328904014968,0.5,0.4
posts_very_high&deal_only,neutral,31,0.004339733941394784,0.0,0.4838709677419355,0.3548387096774194
posts_very_high&deal_only,oversold,9,0.00787544857771754,0.008101755320392146,0.8888888888888888,0.1111111111111111
posts_very_high&deal_over_tariff,calm_bull,22,0.0009191280925108943,0.000805328904014968,0.5,0.4090909090909091
posts_very_high&deal_over_tariff,neutral,34,0.004721801702111133,0.0021739079368267022,0.5,0.35294117647058826
posts_very_high&deal_over_tariff,oversold,9,0.00787544857771754,0.008101755320392146,0.8888888888888888,0.1111111111111111
posts_very_high&deal_over_tariff,risk_off,5,0.009941827129780867,0.012629289539948463,0.8,0.2
posts_very_high&has_china,calm_bull,13,0.007934459918946103,0.0041065579147046005,0.7692307692307693,0.15384615384615385
posts_very_high&has_china,neutral,50,0.002935624572295581,0.0,0.46,0.4
posts_very_high&has_china,oversold,13,0.010329831815950126,0.009449019267662395,0.7692307692307693,0.15384615384615385
posts_very_high&has_china,risk_off,6,0.015424255280727087,0.01676462529140421,0.8333333333333334,0.16666666666666666
posts_very_high&has_deal,calm_bull,23,0.0015734225644653205,0.001610657808029936,0.5217391304347826,0.391304347826087
posts_very_high&has_deal,neutral,40,0.004509062182016752,0.0032608003211272996,0.525,0.325
posts_very_high&has_deal,oversold,9,0.00787544857771754,0.008101755320392146,0.8888888888888888,0.1111111111111111
posts_very_high&has_deal,risk_off,5,0.009941827129780867,0.012629289539948463,0.8,0.2
posts_very_high&has_relief,calm_bull,5,-0.0005033765270723745,-0.0016445240281197648,0.4,0.6
posts_very_high&has_relief,neutral,11,0.007138109382731941,0.007963576638505332,0.6363636363636364,0.2727272727272727
posts_very_high&has_tariff,neutral,16,0.002750710393522475,0.002778901155088498,0.5625,0.3125
posts_very_high&open_deal,calm_bull,6,0.006099400679204836,0.0045647440457058375,0.6666666666666666,0.16666666666666666
posts_very_high&open_deal,neutral,13,0.008819021333649039,0.0043478158736534045,0.5384615384615384,0.3076923076923077
posts_very_high&pre_deal,calm_bull,13,0.003446772595882851,0.0016750580888547084,0.5384615384615384,0.3076923076923077
posts_very_high&pre_deal,neutral,18,0.006837381359389315,0.008266688195212923,0.6666666666666666,0.2222222222222222
posts_very_high&pre_deal,oversold,6,0.008225798930062958,0.009342347010513063,0.8333333333333334,0.16666666666666666
