event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_market_brag&deal_over_tariff,70,0.0067715519421547524,0.006309088610761737,0.015045613566627083,0.7428571428571429,0.2571428571428571,long,0.7428571428571429,0.04208647357645764
has_deal&has_market_brag,79,0.006406299270381239,0.006302531244670728,0.015592295563925654,0.7215189873417721,0.27848101265822783,long,0.7215189873417721,0.04108360385325773
has_attack&short_posts,290,0.00393114176873484,0.0042271868941790025,0.016941637956445068,0.603448275862069,0.39655172413793105,long,0.603448275862069,0.04039780381664812
has_market_brag&deal_only,55,0.006979371084167977,0.006329124569471434,0.012260651869982968,0.7636363636363637,0.23636363636363636,long,0.7636363636363637,0.039526124610218226
posts_high&has_market_brag,107,0.005139616447168238,0.0061351275440442166,0.015383818090831109,0.7102803738317757,0.2897196261682243,long,0.7102803738317757,0.037761776169743445
posts_very_high&has_market_brag,63,0.006493297730625807,0.007963576638505332,0.0162545462586736,0.7301587301587301,0.2698412698412698,long,0.7301587301587301,0.03763161644100258
has_attack&has_night_post,561,0.0027061600335452625,0.00344814882402944,0.01664058118846399,0.5793226381461676,0.4206773618538324,long,0.5793226381461676,0.03713260400483774
has_market_brag&has_all_caps,53,0.006577440518582924,0.009070396566444039,0.015219409853469349,0.7735849056603774,0.22641509433962265,long,0.7735849056603774,0.037042718497831834
has_attack&exclamation_heavy,594,0.0025830064450443283,0.003367008552134787,0.01662634519844016,0.5757575757575758,0.42424242424242425,long,0.5757575757575758,0.03624585705638948
has_night_post&deal_only,243,0.003740970293278774,0.004545268109623857,0.01772741194252933,0.6213991769547325,0.3786008230452675,long,0.6213991769547325,0.036237486787120986
has_attack&has_market_brag,133,0.0044896695054154525,0.00506779901083676,0.015853225833695535,0.6917293233082706,0.3082706766917293,long,0.6917293233082706,0.035815942129730306
silence_day&volume_drop,140,0.0054297995110464976,0.005365929044917395,0.0228084600684894,0.5571428571428572,0.44285714285714284,long,0.5571428571428572,0.03579434164085338
has_attack&lots_of_excl,567,0.0025847926479821348,0.003384017541575801,0.016799414111723747,0.5784832451499118,0.42151675485008816,long,0.5784832451499118,0.03560475682874702
has_attack&has_exclamation,609,0.002445987570536593,0.0032053005097096854,0.016555539672708803,0.5714285714285714,0.42857142857142855,long,0.5714285714285714,0.03449251353916331
has_attack,609,0.002445987570536593,0.0032053005097096854,0.016555539672708803,0.5714285714285714,0.42857142857142855,long,0.5714285714285714,0.03449251353916331
volume_drop,306,0.0035895967966446483,0.003898653555027054,0.01891380234107745,0.545751633986928,0.4542483660130719,long,0.545751633986928,0.03426899963335291
short_posts&deal_only,138,0.004778854268646696,0.004667707669681609,0.019405102429401896,0.6086956521739131,0.391304347826087,long,0.6086956521739131,0.03417145960813051
posts_high&has_attack,353,0.003071939389729987,0.004098242366852967,0.01764723661977367,0.5892351274787535,0.41076487252124644,long,0.5892351274787535,0.034008589886233224
has_market_brag&has_night_post,151,0.00407390994184304,0.0046950546529365145,0.014930170701082195,0.6754966887417219,0.32450331125827814,long,0.6754966887417219,0.033816069105998506
