event,regime,n,mean_ret,median_ret,hit_up,hit_down
has_attack&deal_only,calm_bull,61,0.002556787525834562,0.0021368114711906028,0.5737704918032787,0.4262295081967213
has_attack&deal_only,neutral,88,0.00650528199194135,0.00785412608312741,0.6704545454545454,0.32954545454545453
has_attack&deal_only,oversold,52,0.00027143214615000545,-0.001281837942237407,0.5,0.5
has_attack&deal_only,risk_off,20,0.008951386910639996,0.010944650971476788,0.65,0.35
has_attack&deal_over_tariff,calm_bull,70,0.001379361438204477,0.0020526677232440838,0.5428571428571428,0.45714285714285713
has_attack&deal_over_tariff,neutral,109,0.006073714645939834,0.006369282672061161,0.6422018348623854,0.3577981651376147
has_attack&deal_over_tariff,oversold,59,0.0013796682927379098,0.0016920087707879006,0.5084745762711864,0.4915254237288136
has_attack&deal_over_tariff,risk_off,20,0.008951386910639996,0.010944650971476788,0.65,0.35
has_deal&has_attack,calm_bull,74,0.0018082944449667603,0.002120987040710842,0.5540540540540541,0.44594594594594594
has_deal&has_attack,neutral,126,0.005908991952419264,0.007350297045187415,0.6349206349206349,0.36507936507936506
has_deal&has_attack,oversold,68,0.0009016569840675307,-0.00024096677920493192,0.5,0.5
has_deal&has_attack,risk_off,21,0.00842160932779058,0.01083063468901857,0.6190476190476191,0.38095238095238093
has_deal&has_market_brag,calm_bull,32,0.005798308740071242,0.006244027358736526,0.8125,0.1875
has_deal&has_market_brag,neutral,37,0.006687353892115719,0.00692870074373686,0.6756756756756757,0.32432432432432434
has_deal&has_market_brag,oversold,10,0.0073119668669556544,0.006232126056757825,0.6,0.4
has_deal&has_night_post,calm_bull,83,0.0023974680584469164,0.0023365131851742493,0.5783132530120482,0.42168674698795183
has_deal&has_night_post,neutral,157,0.0049967510883414355,0.0046950546529365145,0.6305732484076433,0.36942675159235666
has_deal&has_night_post,oversold,82,8.323118094015921e-05,-0.00024096677920493192,0.5,0.5
has_deal&has_night_post,risk_off,29,0.006144401931571562,0.006329124569471434,0.6206896551724138,0.3793103448275862
has_deal&short_posts,calm_bull,52,0.0012786533323132189,0.0022208378977026655,0.5384615384615384,0.46153846153846156
has_deal&short_posts,neutral,83,0.00623893105495407,0.00777189334663797,0.6265060240963856,0.37349397590361444
has_deal&short_posts,oversold,24,0.003969935885463377,0.002276074003040973,0.5833333333333334,0.4166666666666667
has_deal&short_posts,risk_off,10,0.01741811308469806,0.011614447175464448,0.8,0.2
has_market_brag&deal_only,calm_bull,24,0.008443674314934526,0.006250584724827535,0.875,0.125
has_market_brag&deal_only,neutral,26,0.006443569230725344,0.0072883896191212605,0.6923076923076923,0.3076923076923077
has_market_brag&deal_only,oversold,5,0.0027368852143902387,0.006329124569471434,0.6,0.4
has_market_brag&deal_over_tariff,calm_bull,30,0.005456139332589971,0.006244027358736526,0.8,0.2
has_market_brag&deal_over_tariff,neutral,31,0.00709196683336341,0.00692870074373686,0.7096774193548387,0.2903225806451613
has_market_brag&deal_over_tariff,oversold,9,0.010052609348763088,0.006329124569471434,0.6666666666666666,0.3333333333333333
has_night_post&deal_only,calm_bull,67,0.003302167537074259,0.003099375938729221,0.6119402985074627,0.3880597014925373
has_night_post&deal_only,neutral,113,0.005853132115162308,0.00692870074373686,0.6814159292035398,0.3185840707964602
has_night_post&deal_only,oversold,62,0.0002296193576198709,0.0019401678660584398,0.5161290322580645,0.4838709677419355
has_night_post&deal_only,risk_off,27,0.0066055315685555486,0.008101755320392146,0.6296296296296297,0.37037037037037035
has_night_post&deal_over_tariff,calm_bull,78,0.002098134149420461,0.002236662328182426,0.5769230769230769,0.4230769230769231
has_night_post&deal_over_tariff,neutral,135,0.00537934359925351,0.006122541275451754,0.6518518518518519,0.34814814814814815
has_night_post&deal_over_tariff,oversold,71,0.000471609469488676,0.0016920087707879006,0.5070422535211268,0.49295774647887325
has_night_post&deal_over_tariff,risk_off,27,0.0066055315685555486,0.008101755320392146,0.6296296296296297,0.37037037037037035
posts_high&deal_only,calm_bull,49,0.0038170669883739977,0.004576700144961698,0.6530612244897959,0.3469387755102041
posts_high&deal_only,neutral,73,0.006920993358418428,0.0061599495899269385,0.6164383561643836,0.3835616438356164
posts_high&deal_only,oversold,38,-0.0011090835077132593,-0.005820191663796048,0.47368421052631576,0.5263157894736842
posts_high&deal_only,risk_off,18,0.007479408884613675,0.010944650971476788,0.6666666666666666,0.3333333333333333
posts_high&deal_over_tariff,calm_bull,60,0.002157425351685775,0.003253281847954703,0.6,0.4
posts_high&deal_over_tariff,neutral,94,0.006327687194480301,0.004517919676890525,0.5957446808510638,0.40425531914893614
posts_high&deal_over_tariff,oversold,44,0.0007616620862650369,-0.0009429244234557821,0.5,0.5
posts_high&deal_over_tariff,risk_off,18,0.007479408884613675,0.010944650971476788,0.6666666666666666,0.3333333333333333
posts_high&has_deal,calm_bull,65,0.002535090866114532,0.0034071877571801856,0.6,0.4
posts_high&has_deal,neutral,111,0.005653058510661701,0.004640360686426703,0.5855855855855856,0.4144144144144144
posts_high&has_deal,oversold,48,0.0004266353477479755,-0.0009429244234557821,0.5,0.5
posts_high&has_deal,risk_off,18,0.007479408884613675,0.010944650971476788,0.6666666666666666,0.3333333333333333
short_posts&deal_only,calm_bull,45,0.0023589665680333926,0.0023365131851742493,0.5555555555555556,0.4444444444444444
short_posts&deal_only,neutral,70,0.006586452113552106,0.00777189334663797,0.6428571428571429,0.35714285714285715
short_posts&deal_only,oversold,22,0.0036412053848227303,0.002276074003040973,0.5909090909090909,0.4090909090909091
short_posts&deal_only,risk_off,10,0.01741811308469806,0.011614447175464448,0.8,0.2
