event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&deal_only,calm_bull,36,0.005554359653173931,0.0017936037019429252,0.5555555555555556,0.4444444444444444
attack_heavy&deal_only,neutral,42,0.009693474051312764,0.0073754546421180844,0.7380952380952381,0.2619047619047619
attack_heavy&deal_only,oversold,30,0.003583992978405341,-0.0017376962943463359,0.4666666666666667,0.5333333333333333
attack_heavy&deal_only,risk_off,10,0.016757938238410198,0.01789607744392019,0.8,0.2
attack_heavy&deal_over_tariff,calm_bull,42,0.005069751167931675,0.002038644212351448,0.5714285714285714,0.42857142857142855
attack_heavy&deal_over_tariff,neutral,55,0.006744151779185687,0.005979628192984032,0.6727272727272727,0.32727272727272727
attack_heavy&deal_over_tariff,oversold,35,0.006928748305014031,0.0017097671472992015,0.5428571428571428,0.45714285714285713
attack_heavy&deal_over_tariff,risk_off,11,0.01722889664954832,0.019398969248259457,0.8181818181818182,0.18181818181818182
attack_heavy&has_china,calm_bull,35,0.0057209154842542565,0.0024394483689638147,0.6,0.4
attack_heavy&has_china,neutral,65,0.0031778870268699957,0.00272112077487896,0.5692307692307692,0.4307692307692308
attack_heavy&has_china,oversold,43,0.01007581261708,0.012483468170206624,0.6976744186046512,0.3023255813953488
attack_heavy&has_china,risk_off,15,0.019624481157890596,0.01551150628658271,1.0,0.0
deal_heavy&short_posts,calm_bull,24,0.003163311784149206,0.002164034479381738,0.625,0.375
deal_heavy&short_posts,neutral,30,0.007853353237338838,0.003589157892356587,0.6666666666666666,0.3333333333333333
deal_heavy&short_posts,oversold,13,0.012501106338646966,0.014582084663614658,0.6923076923076923,0.3076923076923077
deal_heavy&short_posts,risk_off,7,0.025677979348944113,0.01639318563958092,0.8571428571428571,0.14285714285714285
deal_only&volume_spike,calm_bull,18,0.00920943849890764,0.008541155034608061,0.7222222222222222,0.2777777777777778
deal_only&volume_spike,neutral,23,0.011040571168114202,0.011518406010523563,0.6956521739130435,0.30434782608695654
deal_only&volume_spike,oversold,17,0.0030182715816026292,-0.004756765087712833,0.47058823529411764,0.5294117647058824
deal_only&volume_spike,risk_off,8,0.010488184074831097,0.011913942870525274,0.625,0.375
deal_over_tariff&volume_spike,calm_bull,22,0.008169264511929559,0.0062136913304035035,0.7272727272727273,0.2727272727272727
deal_over_tariff&volume_spike,neutral,28,0.007449993371635968,0.006679629068824577,0.6428571428571429,0.35714285714285715
deal_over_tariff&volume_spike,oversold,21,0.006184597138799998,0.00637872946684559,0.5714285714285714,0.42857142857142855
deal_over_tariff&volume_spike,risk_off,9,0.011760439262175367,0.01639318563958092,0.6666666666666666,0.3333333333333333
has_action&deal_only,calm_bull,21,0.00483691223754492,0.001714808075850005,0.6190476190476191,0.38095238095238093
has_action&deal_only,neutral,32,0.0051926926978000075,0.003276170332688566,0.65625,0.34375
has_action&deal_only,oversold,24,0.016726383661722837,0.01604975368938255,0.75,0.25
has_action&deal_only,risk_off,12,0.02476884574380055,0.023992250234947443,0.9166666666666666,0.08333333333333333
has_action&deal_over_tariff,calm_bull,26,0.0036997255125344208,0.001801714332824833,0.6153846153846154,0.38461538461538464
has_action&deal_over_tariff,neutral,36,0.0049411060522767634,0.0037559895649516006,0.6666666666666666,0.3333333333333333
has_action&deal_over_tariff,oversold,31,0.01710457586218223,0.019398969248259457,0.7741935483870968,0.22580645161290322
has_action&deal_over_tariff,risk_off,13,0.02455112536050278,0.021938480760929524,0.9230769230769231,0.07692307692307693
has_action&has_china,calm_bull,21,0.008200531456112051,0.003657204833660277,0.6666666666666666,0.3333333333333333
has_action&has_china,neutral,33,0.0043819510695809975,0.0051353510288811854,0.6060606060606061,0.3939393939393939
has_action&has_china,oversold,34,0.009832011617679392,0.012329449637695111,0.7352941176470589,0.2647058823529412
has_action&has_china,risk_off,12,0.01475036848236542,0.01585806972399595,0.9166666666666666,0.08333333333333333
has_action&pre_deal,calm_bull,17,0.002922025865622905,0.001714808075850005,0.5882352941176471,0.4117647058823529
has_action&pre_deal,neutral,15,0.006312615506336757,0.004321471342245253,0.6666666666666666,0.3333333333333333
has_action&pre_deal,oversold,20,0.016022840025187994,0.017573774450084012,0.75,0.25
has_action&pre_deal,risk_off,9,0.02483786990494309,0.019398969248259457,1.0,0.0
has_attack&deal_only,calm_bull,54,0.00395766465154022,0.0014102433476678167,0.5370370370370371,0.46296296296296297
has_attack&deal_only,neutral,85,0.005857051913600003,0.005979628192984032,0.6823529411764706,0.3176470588235294
has_attack&deal_only,oversold,55,0.004459644669260109,0.0002524988497794034,0.5272727272727272,0.4727272727272727
has_attack&deal_only,risk_off,15,0.02214978865265756,0.019398969248259457,0.8666666666666667,0.13333333333333333
has_attack&deal_over_tariff,calm_bull,63,0.003310872483805739,0.0016985868140861893,0.5396825396825397,0.4603174603174603
has_attack&deal_over_tariff,neutral,99,0.004834356433529107,0.004321471342245253,0.6565656565656566,0.3434343434343434
has_attack&deal_over_tariff,oversold,65,0.006946780861392942,0.004339091139609286,0.6,0.4
has_attack&deal_over_tariff,risk_off,16,0.02213658190942456,0.019940336660028812,0.875,0.125
has_china&has_all_caps,calm_bull,26,0.007611788199600451,0.003118880245690292,0.5769230769230769,0.4230769230769231
has_china&has_all_caps,neutral,40,0.006550866840241689,0.009814533058801311,0.725,0.275
has_china&has_all_caps,oversold,21,0.005024300280068447,0.013908161416040343,0.7619047619047619,0.23809523809523808
has_china&has_all_caps,risk_off,7,-0.0009743608690793794,0.017753232251925377,0.8571428571428571,0.14285714285714285
has_china&pre_action,calm_bull,7,0.018231097615440808,0.008068450879671119,0.8571428571428571,0.14285714285714285
has_china&pre_action,neutral,13,0.004621919438353448,0.0051353510288811854,0.6153846153846154,0.38461538461538464
has_china&pre_action,oversold,13,0.02851863831235535,0.018754363260587104,0.8461538461538461,0.15384615384615385
has_china&pre_action,risk_off,6,0.03722487541412589,0.018437444855689544,1.0,0.0
has_china&short_posts,calm_bull,35,0.006375605212316326,0.0024394483689638147,0.5714285714285714,0.42857142857142855
has_china&short_posts,neutral,77,0.004844946092401841,0.004487059323410758,0.5584415584415584,0.44155844155844154
has_china&short_posts,oversold,31,0.00708578741772506,0.012403020904009132,0.6451612903225806,0.3548387096774194
has_china&short_posts,risk_off,13,0.01582523915416358,0.02148391915601544,0.8461538461538461,0.15384615384615385
has_deal&has_action,calm_bull,28,0.003649622614711031,0.001801714332824833,0.6071428571428571,0.39285714285714285
has_deal&has_action,neutral,38,0.0041744354043274715,0.0037559895649516006,0.6578947368421053,0.34210526315789475
has_deal&has_action,oversold,40,0.013784311892047438,0.013789416089896034,0.75,0.25
has_deal&has_action,risk_off,15,0.02300823488058914,0.020481704071798168,0.9333333333333333,0.06666666666666667
has_deal&pre_action,calm_bull,11,0.011418055342824302,0.0035203759822779457,0.8181818181818182,0.18181818181818182
has_deal&pre_action,neutral,17,-0.0012180084414539346,0.0010651997836650384,0.5882352941176471,0.4117647058823529
has_deal&pre_action,oversold,21,0.01565933949415114,0.01639318563958092,0.7142857142857143,0.2857142857142857
has_deal&pre_action,risk_off,10,0.024413135202837867,0.023992250234947443,0.9,0.1
has_deal&uppercase_phrase_heavy,neutral,13,0.007763804899494584,0.009919206000942316,0.7692307692307693,0.23076923076923078
has_deal&uppercase_phrase_heavy,oversold,6,0.010451472196979209,0.012455640226501141,0.8333333333333334,0.16666666666666666
has_night_post&deal_only,calm_bull,45,0.002448557893215991,-0.0002200749298517657,0.4888888888888889,0.5111111111111111
has_night_post&deal_only,neutral,67,0.00795210477330917,0.006955630316182626,0.6716417910447762,0.3283582089552239
has_night_post&deal_only,oversold,39,0.005646355244111372,0.0017097671472992015,0.5641025641025641,0.4358974358974359
has_night_post&deal_only,risk_off,14,0.01696924874576944,0.015890483423544044,0.7142857142857143,0.2857142857142857
has_night_post&deal_over_tariff,calm_bull,56,0.0020672202821644553,0.0008334227891846346,0.5178571428571429,0.48214285714285715
has_night_post&deal_over_tariff,neutral,78,0.006936755355822051,0.005557489610932609,0.6666666666666666,0.3333333333333333
has_night_post&deal_over_tariff,oversold,48,0.007953509547008726,0.0086359378698454,0.625,0.375
has_night_post&deal_over_tariff,risk_off,15,0.017300530880113445,0.01639318563958092,0.7333333333333333,0.26666666666666666
has_relief&has_russia,calm_bull,16,0.005570364178863765,0.004901056045313101,0.6875,0.3125
has_relief&has_russia,neutral,11,0.013466770685616898,0.006702614129874718,0.5454545454545454,0.45454545454545453
has_relief&has_russia,oversold,6,0.01649919088088399,0.015592750556563839,0.8333333333333334,0.16666666666666666
has_relief&has_uppercase_phrase,calm_bull,15,0.005265569265293261,0.002188667834903235,0.6,0.4
has_relief&has_uppercase_phrase,neutral,13,0.02153875655730468,0.01713334249881604,0.7692307692307693,0.23076923076923078
has_relief&has_uppercase_phrase,oversold,13,2.2732489627526225e-05,0.014792315473546758,0.6923076923076923,0.3076923076923077
has_relief&has_uppercase_phrase,risk_off,6,0.0031255346980088397,0.019940336660028812,0.8333333333333334,0.16666666666666666
has_relief&short_posts,calm_bull,15,0.005887878149266316,0.005005989966345714,0.6666666666666666,0.3333333333333333
has_relief&short_posts,neutral,20,0.01730262913320882,0.010540385190234813,0.8,0.2
has_relief&short_posts,oversold,11,-0.00443457113939189,-0.001464774706949501,0.45454545454545453,0.5454545454545454
has_relief&short_posts,risk_off,6,-0.013083210573368365,0.0017923216759603844,0.5,0.5
has_russia&deal_only,calm_bull,29,0.0023356876592742657,0.0005449456971198252,0.5172413793103449,0.4827586206896552
has_russia&deal_only,neutral,46,0.008926647909761819,0.007479108265263101,0.717391304347826,0.2826086956521739
has_russia&deal_only,oversold,24,0.005406316671576335,0.00024978953463172804,0.5416666666666666,0.4583333333333333
has_russia&deal_only,risk_off,6,0.026264141571807047,0.026498841896086867,1.0,0.0
has_russia&deal_over_tariff,calm_bull,36,0.0015765780047011359,0.0011217662556030072,0.5277777777777778,0.4722222222222222
has_russia&deal_over_tariff,neutral,53,0.008445605705895093,0.006702614129874718,0.6981132075471698,0.3018867924528302
has_russia&deal_over_tariff,oversold,29,0.008092307468483466,0.008690228744824946,0.6206896551724138,0.3793103448275862
has_russia&deal_over_tariff,risk_off,6,0.026264141571807047,0.026498841896086867,1.0,0.0
posts_high&deal_over_tariff,calm_bull,63,0.0017047960556676263,0.001121899881249444,0.5238095238095238,0.47619047619047616
posts_high&deal_over_tariff,neutral,83,0.006144868764224541,0.0051353510288811854,0.6506024096385542,0.3493975903614458
posts_high&deal_over_tariff,oversold,49,0.005119484754945387,0.0017097671472992015,0.5306122448979592,0.46938775510204084
posts_high&deal_over_tariff,risk_off,16,0.016434332178437983,0.015890483423544044,0.75,0.25
posts_very_high&deal_only,calm_bull,29,0.004217566277646559,-0.0005174126831096748,0.4827586206896552,0.5172413793103449
posts_very_high&deal_only,neutral,47,0.008610388044062195,0.0073796299446651226,0.6808510638297872,0.3191489361702128
posts_very_high&deal_only,oversold,22,0.007147210308816861,0.004044248307072396,0.5909090909090909,0.4090909090909091
posts_very_high&deal_only,risk_off,9,0.025234093056009838,0.019398969248259457,0.8888888888888888,0.1111111111111111
posts_very_high&deal_over_tariff,calm_bull,35,0.0041785073878522596,0.0016985868140861893,0.5428571428571428,0.45714285714285713
