event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
silence_day,225,0.003586844068714206,0.0018713827326621857,0.016465937275466486,0.5580357142857143,0.4419642857142857,long,0.5580357142857143,0.030023806378746142
posts_low&silence_day,225,0.003586844068714206,0.0018713827326621857,0.016465937275466486,0.5580357142857143,0.4419642857142857,long,0.5580357142857143,0.030023806378746142
silence_day&volume_drop,147,0.00426896527853143,0.0019304076814048443,0.01759191543414276,0.5782312925170068,0.4217687074829932,long,0.5782312925170068,0.02992835735447277
posts_low&volume_drop,223,0.0030234907434515063,0.0014496500921108435,0.015076845412862899,0.5695067264573991,0.4304932735426009,long,0.5695067264573991,0.025713425279462795
has_attack&exclamation_heavy,613,0.001734762485931137,0.002051960735528935,0.011122591736095186,0.5954323001631321,0.40456769983686786,long,0.5954323001631321,0.025574234860834072
has_attack&short_posts,308,0.002290961079004645,0.0025219312551537643,0.012314016422668425,0.6266233766233766,0.37337662337662336,long,0.6266233766233766,0.02519414716276148
has_attack&lots_of_excl,585,0.0017222820125348446,0.002062925390447612,0.011251022517368205,0.5948717948717949,0.40512820512820513,long,0.5948717948717949,0.024780243908253157
has_attack&has_night_post,574,0.001741929613539379,0.0020051909093798947,0.011281612726439695,0.5923344947735192,0.4076655052264808,long,0.5923344947735192,0.024720290682439177
volume_drop,318,0.0024466583147202837,0.0013178083192545431,0.01386673462701804,0.5534591194968553,0.44654088050314467,long,0.5534591194968553,0.024147514221123115
has_attack&has_exclamation,631,0.0016047534985519955,0.001973929748924741,0.011077669280899777,0.5879556259904913,0.4120443740095087,long,0.5879556259904913,0.023701048618460875
has_attack,631,0.0016047534985519955,0.001973929748924741,0.011077669280899777,0.5879556259904913,0.4120443740095087,long,0.5879556259904913,0.023701048618460875
posts_low,418,0.00206246625245426,0.0014496500921108435,0.01471332753809494,0.5539568345323741,0.4460431654676259,long,0.5539568345323741,0.02335882090273075
has_attack&has_positive,611,0.0015713749946748043,0.0019986950150194804,0.01118538053504451,0.5891980360065466,0.41080196399345337,long,0.5891980360065466,0.02288556999515957
short_posts&deal_only,143,0.003175305152662879,0.0024363765589265896,0.013537708455442863,0.6013986013986014,0.3986013986013986,long,0.6013986013986014,0.02283578264393863
has_deal&short_posts,166,0.0027474490356495583,0.0024578356344282515,0.0136544212401453,0.6204819277108434,0.3795180722891566,long,0.6204819277108434,0.02196407033771885
has_attack&has_all_caps,148,0.00260421616870883,0.0038019402851818818,0.01252745786688587,0.6824324324324325,0.31756756756756754,long,0.6824324324324325,0.02162059029342844
posts_high&has_attack,353,0.0018577480733453827,0.0027592232476516543,0.012930196769763667,0.6175637393767706,0.38243626062322944,long,0.6175637393767706,0.02155539375067571
has_deal&has_attack,262,0.0021498436630595177,0.0024467736812928687,0.01283153964346647,0.6145038167938931,0.38549618320610685,long,0.6145038167938931,0.021383663395116055
has_attack&positive_heavy,475,0.001603402530304286,0.0024025221489698545,0.011807206438846436,0.6021052631578947,0.39789473684210525,long,0.6021052631578947,0.02104077793987732
has_attack&deal_only,195,0.0023973599415103818,0.0024363765589265896,0.012975872421957638,0.6153846153846154,0.38461538461538464,long,0.6153846153846154,0.02060142135050267
has_attack&deal_over_tariff,231,0.0021849940474707582,0.0024363765589265896,0.013045131952095607,0.6147186147186147,0.3852813852813853,long,0.6147186147186147,0.020414211625547553
short_posts&deal_over_tariff,159,0.002652542228660209,0.0024363765589265896,0.013919609558191283,0.610062893081761,0.389937106918239,long,0.610062893081761,0.020404947360046194
has_night_post&deal_only,240,0.0021406290242309083,0.0024578356344282515,0.01300734845431522,0.6125,0.3875,long,0.6125,0.02031202037507363
posts_high&short_posts,236,0.001979795922332928,0.0029155045242497124,0.013969541889719439,0.6440677966101694,0.3559322033898305,long,0.6440677966101694,0.01958880810705277
posts_very_high&deal_only,89,0.0035175661464227985,0.00291833782562656,0.015432340727476172,0.5842696629213483,0.4157303370786517,long,0.5842696629213483,0.019388785821549598
brag_heavy&deal_over_tariff,21,0.00509042992294947,0.004329037619306586,0.0058450373666238085,0.8095238095238095,0.19047619047619047,long,0.8095238095238095,0.018883988929063376
posts_very_high&short_posts,159,0.0022782587585043384,0.0038496328265955615,0.015418925646920004,0.6540880503144654,0.34591194968553457,long,0.6540880503144654,0.018790477899524403
posts_high&has_deal,216,0.0020843611733411182,0.0027293687333420635,0.013836424013012591,0.6111111111111112,0.3888888888888889,long,0.6111111111111112,0.018720611485966793
has_attack&has_china,233,0.001962707977709263,0.0025708959448778046,0.01235868991372484,0.6223175965665236,0.3776824034334764,long,0.6223175965665236,0.018644284846875026
has_deal&has_night_post,319,0.0017143900138600842,0.0024314798592954823,0.012755667263657886,0.6050156739811913,0.3949843260188088,long,0.6050156739811913,0.01852557070162285
posts_very_high&deal_over_tariff,113,0.00292107428373563,0.00291833782562656,0.015354457972029117,0.5929203539823009,0.40707964601769914,long,0.5929203539823009,0.018411034096618803
deal_heavy&deal_only,93,0.0031559829180100446,0.0028783596425328017,0.01553933600255544,0.6021505376344086,0.3978494623655914,long,0.6021505376344086,0.018326570278076416
posts_high&deal_over_tariff,187,0.002211199625345243,0.0025803778241513253,0.014323542092107575,0.6042780748663101,0.39572192513368987,long,0.6042780748663101,0.018271979205883974
posts_high&has_all_caps,136,0.002411185474307781,0.003997367250116346,0.013196557780365818,0.6470588235294118,0.35294117647058826,long,0.6470588235294118,0.01819465548383796
has_night_post&deal_over_tariff,280,0.0017869489012229468,0.0024467736812928687,0.013067573955289243,0.6071428571428571,0.39285714285714285,long,0.6071428571428571,0.018154405826362765
deal_heavy&has_attack,118,0.0027545170448572223,0.0038308138639129297,0.015261521401820985,0.6016949152542372,0.3983050847457627,long,0.6016949152542372,0.018003743180053378
posts_high&has_market_brag,103,0.002588706649525163,0.0037175274853358253,0.01139832753454535,0.6796116504854369,0.32038834951456313,long,0.6796116504854369,0.017855099180490143
posts_very_high&has_attack,206,0.0020655473414370393,0.002983234917668942,0.014420997705944932,0.6019417475728155,0.39805825242718446,long,0.6019417475728155,0.01784527431448217
posts_high&deal_heavy,107,0.0029191463508701234,0.0029744641686046958,0.01577269731777688,0.5887850467289719,0.411214953271028,long,0.5887850467289719,0.017778885353779056
deal_heavy&short_posts,65,0.0034102017329139004,0.0028783596425328017,0.017404798636249493,0.6461538461538462,0.35384615384615387,long,0.6461538461538462,0.017765305607180645
posts_very_high&positive_heavy,211,0.0020123192502480135,0.00291833782562656,0.014398329364205214,0.6066350710900474,0.3933649289099526,long,0.6066350710900474,0.01773232260182267
posts_high&deal_only,152,0.002394898168651076,0.0024467736812928687,0.014524404595155993,0.5986842105263158,0.40131578947368424,long,0.5986842105263158,0.017676922189382736
has_market_brag&deal_only,52,0.003733847492496097,0.0038191333447752385,0.007670966035206458,0.6538461538461539,0.34615384615384615,long,0.6538461538461539,0.01760491046248265
has_deal&has_market_brag,76,0.003056891350114404,0.0033453831930829736,0.010836188611403124,0.6578947368421053,0.34210526315789475,long,0.6578947368421053,0.01753247431122671
posts_very_high&lots_of_excl,223,0.001943580977316689,0.0029126712228728646,0.01415621187755103,0.600896860986547,0.3991031390134529,long,0.600896860986547,0.017440342383643698
has_all_caps&exclamation_heavy,179,0.0020031926447885815,0.003153153667085906,0.012371192122615287,0.6480446927374302,0.35195530726256985,long,0.6480446927374302,0.017368175170987567
posts_high&brag_heavy,29,0.003881041033382531,0.004329037619306586,0.007737759564237363,0.8275862068965517,0.1724137931034483,long,0.8275862068965517,0.017296589452151612
brag_heavy&has_night_post,36,0.0035651750994102984,0.004217078503496174,0.007428495126904827,0.8055555555555556,0.19444444444444445,long,0.8055555555555556,0.017231679647149778
has_positive&has_all_caps,180,0.001972421593139472,0.0031978806689427763,0.012378446025091416,0.65,0.35,long,0.65,0.01720082817393834
