event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_low&silence_day,229,0.006803622916112224,0.0028513594257447705,0.031390779261111654,0.5482456140350878,0.4517543859649123,long,0.5482456140350878,0.056445996234645045
silence_day,229,0.006803622916112224,0.0028513594257447705,0.031390779261111654,0.5482456140350878,0.4517543859649123,long,0.5482456140350878,0.056445996234645045
silence_day&volume_drop,147,0.007857485949145065,0.0033333333333334103,0.032215168052260254,0.5782312925170068,0.4217687074829932,long,0.5782312925170068,0.055086334052981634
volume_drop,326,0.004778584459905636,0.0034306849204145395,0.025434138568620927,0.5766871165644172,0.4233128834355828,long,0.5766871165644172,0.049756327263685056
posts_low&volume_drop,222,0.005134076855373154,0.0031202503084220012,0.02781169182609148,0.5585585585585585,0.44144144144144143,long,0.5585585585585585,0.04272750794078157
posts_low,400,0.00403720748214585,0.0020811654526535772,0.028208451832233566,0.5238095238095238,0.47619047619047616,long,0.5238095238095238,0.042294554574861296
has_iran&open_deal,22,-0.010670743363486628,-0.010639518981587104,0.02206457655615149,0.3181818181818182,0.6818181818181818,short,0.6818181818181818,0.03412515193713337
pre_action&short_posts,51,-0.007499345925300285,-0.0062499933518253,0.021301530261303974,0.4117647058823529,0.5882352941176471,short,0.5882352941176471,0.03150355422730379
has_market_brag&has_all_caps,53,0.00583004554891832,0.0076045826089830015,0.021054726781372962,0.6226415094339622,0.37735849056603776,long,0.6226415094339622,0.026427005366716834
has_attack&has_all_caps,151,0.0036128836783682504,0.004807746041494365,0.019148923623302328,0.5827814569536424,0.41721854304635764,long,0.5827814569536424,0.025873082754981225
has_attack&lots_of_excl,559,0.001977519881113181,0.0033896549083554106,0.018624940993738265,0.5474060822898033,0.4525939177101968,long,0.5474060822898033,0.025593894824970376
has_attack&has_positive,577,0.0019365263412355728,0.0033333939468540574,0.01867392334081012,0.5407279029462738,0.4592720970537262,long,0.5407279029462738,0.025153017687758822
