event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
deal_heavy&has_russia,61,0.007385876665645271,0.006711410749571822,0.025891573611318042,0.6885245901639344,0.3114754098360656,long,0.6885245901639344,0.039717913361212866
positive_heavy&has_all_caps,148,0.005332357673415075,0.004789508467742509,0.025745944594070983,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.038571904864213136
has_attack&deal_over_tariff,233,0.004307968518539155,0.004405263520356639,0.02503018018739293,0.575107296137339,0.4248927038626609,long,0.575107296137339,0.03781806977435692
has_attack&has_chips,28,0.01097166969245486,0.00840422411297348,0.027623927804652233,0.6428571428571429,0.35714285714285715,long,0.6428571428571429,0.03732211218006011
posts_high&has_attack,349,0.003605332249246494,0.003195047683553165,0.026220313254603615,0.5530085959885387,0.4469914040114613,long,0.5530085959885387,0.03724687906204839
posts_very_high&has_attack,208,0.004493370920122677,0.0035308692666417008,0.027717195456117515,0.5721153846153846,0.42788461538461536,long,0.5721153846153846,0.03707554675018371
deal_heavy&has_attack,117,0.0054873602673442675,0.006249726273376277,0.025783830508265274,0.6239316239316239,0.37606837606837606,long,0.6239316239316239,0.037033384440828425
deal_heavy&deal_over_tariff,135,0.005003154578593794,0.006249726273376277,0.02509429131381129,0.6370370370370371,0.362962962962963,long,0.6370370370370371,0.03703185677955518
deal_heavy&deal_only,92,0.006018001945246342,0.006364604062560897,0.02357290830229575,0.6413043478260869,0.358695652173913,long,0.6413043478260869,0.03701778440751762
attack_heavy&has_russia,145,0.005400889213383845,0.004285790109071819,0.02548769816033534,0.5655172413793104,0.43448275862068964,long,0.5655172413793104,0.03677859378171267
positive_heavy&has_russia,219,0.004378755489283559,0.0038810516667200368,0.02561721318215427,0.5662100456621004,0.4337899543378995,long,0.5662100456621004,0.03669022056176229
posts_very_high&positive_heavy,215,0.004401823909342767,0.0029719026218402167,0.027766682942830863,0.5674418604651162,0.4325581395348837,long,0.5674418604651162,0.036624631672114195
lots_of_excl&short_posts,373,0.0034000522366991644,0.0028818504551302304,0.0242152966653013,0.5549597855227882,0.4450402144772118,long,0.5549597855227882,0.03644194253301262
has_tariff&has_russia,61,0.007271861601071891,0.006379489928377335,0.028320683205688355,0.6229508196721312,0.3770491803278688,long,0.6229508196721312,0.03538052588679298
has_russia&tariff_only,23,0.010558598940222626,0.00964637565374149,0.020380881870181618,0.6956521739130435,0.30434782608695654,long,0.6956521739130435,0.03522592114054674
deal_heavy&lots_of_excl,140,0.004716938912994374,0.004854387457247977,0.02461178493217866,0.6285714285714286,0.37142857142857144,long,0.6285714285714286,0.03508156072618295
has_attack&deal_only,199,0.0044099725778862205,0.0034602340580958124,0.024042861733172972,0.5628140703517588,0.4371859296482412,long,0.5628140703517588,0.03501284276073586
has_deal&has_attack,265,0.003709782367144345,0.003195047683553165,0.025184065058149085,0.5584905660377358,0.44150943396226416,long,0.5584905660377358,0.033727737651271315
has_attack&has_all_caps,148,0.0045528770286026934,0.004789508467742509,0.025809004258067453,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.0329334884044367
posts_high&has_chips,23,0.01125460306469777,0.003978850278805401,0.030387390773251897,0.6086956521739131,0.391304347826087,long,0.6086956521739131,0.032854457488725786
posts_very_high&attack_heavy,163,0.00443765697379449,0.003601504475187589,0.024811528937756518,0.5705521472392638,0.4294478527607362,long,0.5705521472392638,0.03232532314313417
posts_very_high&pre_deal,74,0.006246452513723139,0.005653397916718594,0.028781229507664083,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.03194995563081121
posts_high&has_all_caps,140,0.00452123848515768,0.004789508467742509,0.026644226966848754,0.5928571428571429,0.40714285714285714,long,0.5928571428571429,0.03171549472169861
deal_heavy&has_uppercase_phrase,64,0.006252619418730518,0.006718944536636684,0.025725516746982795,0.625,0.375,long,0.625,0.03126309709365259
has_all_caps&exclamation_heavy,180,0.003927059813851295,0.004370096891913033,0.02512395488406512,0.5888888888888889,0.4111111111111111,long,0.5888888888888889,0.03102681019069305
has_attack&pre_deal,129,0.004871656079451423,0.0027473415333105766,0.027834820951113653,0.5581395348837209,0.4418604651162791,long,0.5581395348837209,0.030882628875310132
attack_heavy&short_posts,148,0.00422737308464561,0.004561095030812146,0.024679066891746468,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.030578937579417164
posts_very_high&has_russia,117,0.004834186626971683,0.003978850278805401,0.027388843783853468,0.5811965811965812,0.4188034188034188,long,0.5811965811965812,0.03039060839979981
has_tariff&has_all_caps,40,0.007636206071106979,0.006130848554514068,0.028053520098696987,0.625,0.375,long,0.625,0.03018475483387969
deal_heavy&pre_deal,95,0.00498416602044744,0.004285790109071819,0.025859550132201613,0.6210526315789474,0.37894736842105264,long,0.6210526315789474,0.03017051399704716
posts_very_high&deal_heavy,75,0.005679577874880377,0.004285790109071819,0.028724542161688908,0.6133333333333333,0.38666666666666666,long,0.6133333333333333,0.030167773497499783
positive_heavy&has_chips,30,0.009153291627309471,0.005502353652661163,0.027297551119674718,0.6,0.4,long,0.6,0.0300807857982034
has_night_post&deal_over_tariff,285,0.0031469657293792955,0.0034602340580958124,0.024494979844762385,0.5649122807017544,0.43508771929824563,long,0.5649122807017544,0.030012036052120807
