event,regime,n,mean_ret,median_ret,hit_up,hit_down
deal_heavy&short_posts,calm_bull,24,0.002634085633148866,0.00258173227749503,0.7916666666666666,0.20833333333333334
deal_heavy&short_posts,neutral,33,0.006046618924539918,0.007850857465203198,0.8181818181818182,0.18181818181818182
deal_heavy&short_posts,oversold,10,0.010170460604685561,0.007156606560104195,0.7,0.3
deal_heavy&short_posts,risk_off,5,0.011632733261080363,0.002877925780031987,0.8,0.2
has_action&deal_only,calm_bull,22,0.0017040079188193461,0.0022966765189162963,0.6363636363636364,0.36363636363636365
has_action&deal_only,neutral,34,0.0014476954555075832,0.004767100327355389,0.6470588235294118,0.35294117647058826
has_action&deal_only,oversold,18,0.018066388411883745,0.016846064526950144,0.7777777777777778,0.2222222222222222
has_action&deal_only,risk_off,11,0.021925642395276945,0.017605288229175953,0.8181818181818182,0.18181818181818182
has_china&pre_action,calm_bull,7,0.0018875447571114876,0.0015586443458273092,0.5714285714285714,0.42857142857142855
has_china&pre_action,neutral,16,-0.0011657583854901288,0.005641476490824027,0.5625,0.4375
has_china&pre_action,oversold,10,0.02909221811973308,0.017523578886109226,1.0,0.0
has_china&pre_action,risk_off,5,0.030706196680826813,0.006082481848112664,1.0,0.0
