event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_china&pre_action,33,0.014581494976586219,0.008614925463842793,0.034230926732870114,0.696969696969697,0.30303030303030304,long,0.696969696969697,0.05838118671463998
posts_high&pre_action,57,0.010182452426770355,0.00825819250978821,0.031016514621644512,0.631578947368421,0.3684210526315789,long,0.631578947368421,0.04855315576871813
has_action&pre_deal,52,0.00878190510943405,0.0074485568961094595,0.0213175763623364,0.7307692307692307,0.2692307692307692,long,0.7307692307692307,0.04627758263062689
pre_deal&pre_action,27,0.011573296309204898,0.010098124396018537,0.02569836068665671,0.7407407407407407,0.25925925925925924,long,0.7407407407407407,0.044545638263538335
has_action&deal_over_tariff,93,0.006919090933428011,0.006944121380338952,0.02259894073810737,0.6451612903225806,0.3548387096774194,long,0.6451612903225806,0.043048578416472576
short_posts&china_streak_3d,39,0.010088721005427433,0.00784363252132314,0.020642737555829262,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04200269499019613
has_action&deal_only,77,0.007356285730975877,0.007048986185063111,0.023207074904587642,0.6493506493506493,0.35064935064935066,long,0.6493506493506493,0.041916328125191
positive_heavy&pre_action,62,0.009106631434478579,0.006342668637713156,0.03086348065417272,0.5806451612903226,0.41935483870967744,long,0.5806451612903226,0.04163556055401743
has_russia&pre_action,35,0.011090253822424815,0.010098124396018537,0.028120911863501213,0.6285714285714286,0.37142857142857144,long,0.6285714285714286,0.04124109089778272
pre_action&lots_of_excl,70,0.008329955754783742,0.006342668637713156,0.02997565157710214,0.5857142857142857,0.4142857142857143,long,0.5857142857142857,0.04082042587368953
pre_action&has_exclamation,74,0.008050695676382629,0.006342668637713156,0.029578530613147788,0.581081081081081,0.4189189189189189,long,0.581081081081081,0.04024259759285589
has_attack&pre_action,64,0.008278224512359713,0.007629189354965704,0.028515375884754984,0.59375,0.40625,long,0.59375,0.039321566433708634
has_positive&pre_action,72,0.007924487580341566,0.006342668637713156,0.029831542112820974,0.5833333333333334,0.4166666666666667,long,0.5833333333333334,0.03922421233841668
pre_action&exclamation_heavy,73,0.007977892846130824,0.005927740888842736,0.029776552012960405,0.5753424657534246,0.4246575342465753,long,0.5753424657534246,0.039217152698596096
pre_action,75,0.007872828676977956,0.005927740888842736,0.029418351291742178,0.5733333333333334,0.4266666666666667,long,0.5733333333333334,0.03909026590105845
has_action&pre_action,75,0.007872828676977956,0.005927740888842736,0.029418351291742178,0.5733333333333334,0.4266666666666667,long,0.5733333333333334,0.03909026590105845
deal_heavy&short_posts,67,0.00721867761077166,0.006197345066373261,0.019987121468765592,0.6567164179104478,0.34328358208955223,long,0.6567164179104478,0.03880368063859209
has_deal&has_action,106,0.005812429316861074,0.006282637049033979,0.022146052408111808,0.6415094339622641,0.3584905660377358,long,0.6415094339622641,0.03838960686564275
posts_low&has_attack,30,0.009902240492717644,0.005637253772314499,0.0195407126020333,0.7,0.3,long,0.7,0.03796576341391767
has_attack&deal_over_tariff,225,0.004067180743626232,0.003300361956846576,0.018788505971990433,0.6133333333333333,0.38666666666666666,long,0.6133333333333333,0.03741806284136133
posts_very_high&pre_action,34,0.009926221084330984,0.008914555743408603,0.03575154593397824,0.6176470588235294,0.38235294117647056,long,0.6176470588235294,0.035748990307264576
has_attack&has_all_caps,144,0.004808275842603611,0.005799554150613395,0.023372043602735933,0.6180555555555556,0.3819444444444444,long,0.6180555555555556,0.03566137916597678
pre_deal&deal_over_tariff,156,0.004684716260985677,0.0033301892291113244,0.01859673896111429,0.6089743589743589,0.391025641025641,long,0.6089743589743589,0.035632360883684586
has_action&lots_of_excl,178,0.0044876745668739745,0.005848447691279346,0.02810844201068756,0.5842696629213483,0.4157303370786517,long,0.5842696629213483,0.034982004696837335
has_tariff&has_all_caps,36,0.007996188520272942,0.011227659320616978,0.01546867572752325,0.7222222222222222,0.2777777777777778,long,0.7222222222222222,0.03465015025451608
has_action&has_exclamation,192,0.004294535916837938,0.005046407108694417,0.02806670902409651,0.578125,0.421875,long,0.578125,0.034402389113378735
