target,fusion_mode,accuracy,macro_f1,precision,recall,auc,cumret,sharpe,trades,n_test,event_day_cumret,event_day_trades,selected_trade_edge_threshold,market_features,event_regime_features,selected_events,output_dir
2330.TW,gated_concat,0.45454545454545453,0.37663246268656714,0.5882352941176471,0.09009009009009009,0.5244900072486279,-0.32716893267041014,-2.1539945175825514,105,198,,59,0.275,49,154,31,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2330.TW/gated_concat
2330.TW,raw_concat,0.4393939393939394,0.3887359198998748,0.5,0.13513513513513514,0.5382624003313659,-0.05727956999115469,-0.6161781297942682,21,198,,8,0.5,49,154,31,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2330.TW/raw_concat
2330.TW,ungated_concat,0.43434343434343436,0.33043478260869563,0.4444444444444444,0.036036036036036036,0.5264574919747333,-0.5224578668833153,-2.783613591787456,198,198,,90,0.0,49,154,31,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2330.TW/ungated_concat
2330.TW,add,0.43434343434343436,0.36363636363636365,0.47619047619047616,0.09009009009009009,0.4658796727762245,-0.5473535793160971,-3.070493399079489,191,198,,88,0.025,49,154,31,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2330.TW/add
2454.TW,gated_concat,0.46534653465346537,0.43871565297931464,0.49019607843137253,0.2336448598130841,0.4766355140186916,-0.09191712717395639,-0.6772750414881648,21,202,,1,0.375,49,178,33,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2454.TW/gated_concat
2454.TW,raw_concat,0.5297029702970297,0.5133764422467352,0.5454545454545454,0.6728971962616822,0.5396950319724545,0.21784557955659212,0.9031671070862557,73,202,,0,0.25,49,178,33,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2454.TW/raw_concat
2454.TW,ungated_concat,0.49504950495049505,0.4803268765133172,0.5409836065573771,0.308411214953271,0.49099852434825375,-0.41975512302551266,-2.088911804435574,41,202,,1,0.3,49,178,33,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2454.TW/ungated_concat
2454.TW,add,0.46534653465346537,0.4274015748031496,0.4883720930232558,0.19626168224299065,0.46424003935071323,-0.5812691609034935,-2.4478111716963236,89,202,,0,0.2,49,178,33,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2454.TW/add
0050.TW,gated_concat,0.4854368932038835,0.4771072796934866,0.6271186440677966,0.30578512396694213,0.5135634419056879,-0.10362171060605108,-0.7564523025309664,92,206,,68,0.3,49,22,1,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/0050.TW/gated_concat
0050.TW,raw_concat,0.44660194174757284,0.3832983193277311,0.6842105263157895,0.10743801652892562,0.5753038405444822,-0.11160061804374588,-0.8017216568733534,61,206,,47,0.375,49,22,1,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/0050.TW/raw_concat
0050.TW,ungated_concat,0.4368932038834951,0.37247899159663866,0.631578947368421,0.09917355371900827,0.5433155080213905,-0.22241085700892516,-1.687069464518152,100,206,,84,0.35,49,22,1,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/0050.TW/ungated_concat
0050.TW,add,0.4223300970873786,0.3340577544755644,0.6,0.049586776859504134,0.4976178901312591,-0.1375325877110274,-1.389319850678793,39,206,,31,0.425,49,22,1,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/0050.TW/add
2308.TW,gated_concat,0.4846938775510204,0.3962977646305389,0.7692307692307693,0.09259259259259259,0.48221801346801346,-0.6093377671665221,-2.6532488007077673,134,196,,55,0.3,49,37,5,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2308.TW/gated_concat
2308.TW,raw_concat,0.4387755102040816,0.40296854231280466,0.475,0.17592592592592593,0.46517255892255893,-0.062306149833537106,-1.4628853841701086,2,196,,2,0.375,49,37,5,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2308.TW/raw_concat
2308.TW,ungated_concat,0.4744897959183674,0.4139402560455192,0.6,0.1388888888888889,0.5229377104377104,-0.6677802626513207,-2.616480267845276,171,196,,66,0.1,49,37,5,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2308.TW/ungated_concat
2308.TW,add,0.45918367346938777,0.38517992424242425,0.55,0.10185185185185185,0.5129419191919192,-0.17868479739137755,-2.4659958251892204,16,196,,5,0.4,49,37,5,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2308.TW/add
2382.TW,gated_concat,0.51010101010101,0.48084876334639814,0.5294117647058824,0.27,0.5101020408163266,-0.02940324333333988,0.05205268781526258,198,198,,1,0.0,49,28,2,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2382.TW/gated_concat
2382.TW,raw_concat,0.5151515151515151,0.4661274014155713,0.5526315789473685,0.21,0.513265306122449,0.010998140487869179,0.20765579112058657,198,198,,1,0.0,49,28,2,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2382.TW/raw_concat
2382.TW,ungated_concat,0.5252525252525253,0.5221320735339426,0.5263157894736842,0.6,0.5008163265306123,-0.1062036282993356,-0.5872286145715795,67,198,,1,0.25,49,28,2,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2382.TW/ungated_concat
2382.TW,add,0.51010101010101,0.4509276994768289,0.5454545454545454,0.18,0.5262244897959184,-0.07101635613281976,-0.12614922961471267,189,198,,1,0.025,49,28,2,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/2382.TW/add
TSM,gated_concat,0.5251141552511416,0.5188440087882373,0.569620253164557,0.391304347826087,0.5209030100334447,-0.11908979875330017,-0.43865664971131907,131,219,,26,0.075,29,349,80,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/TSM/gated_concat
TSM,raw_concat,0.4748858447488584,0.4733044733044733,0.5,0.5043478260869565,0.4855351170568562,-0.09208453371147762,-0.1939897916585483,145,219,,28,0.125,29,349,80,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/TSM/raw_concat
TSM,ungated_concat,0.5068493150684932,0.4525,0.6,0.1826086956521739,0.5238294314381271,0.019824462568734047,0.2270486178163855,46,219,,13,0.2,29,349,80,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/TSM/ungated_concat
TSM,add,0.5388127853881278,0.5363379100723196,0.5583333333333333,0.5826086956521739,0.5284280936454849,0.2312266827536542,0.8366091492452378,219,219,,30,0.0,29,349,80,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/TSM/add
^GSPC,gated_concat,0.497737556561086,0.4517599731813611,0.54375,0.696,0.4815833333333333,-0.03490992475657562,-0.2803522910849839,208,221,,2,0.025,29,31,3,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^GSPC/gated_concat
^GSPC,raw_concat,0.502262443438914,0.3951532643312102,0.5396825396825397,0.816,0.45799999999999996,0.008913513035065934,0.14574467046415135,189,221,,2,0.05,29,31,3,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^GSPC/raw_concat
^GSPC,ungated_concat,0.497737556561086,0.4219975966636036,0.5397727272727273,0.76,0.45500000000000007,0.030154743954369012,0.3604437834543589,175,221,,2,0.05,29,31,3,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^GSPC/ungated_concat
^GSPC,add,0.5067873303167421,0.48445157838416264,0.5563380281690141,0.632,0.4464166666666666,-0.0029252765807286085,0.0339603459636675,221,221,,3,0.0,29,31,3,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^GSPC/add
^NDX,gated_concat,0.48868778280542985,0.47773804295543426,0.5645161290322581,0.5426356589147286,0.45407819346140876,-0.0409849898366772,-0.9386848553526373,13,221,,2,0.375,29,55,9,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^NDX/gated_concat
^NDX,raw_concat,0.5203619909502263,0.4540920954511558,0.5680473372781065,0.7441860465116279,0.4544994944388271,-0.022459734932701036,-0.22400796511255117,66,221,,2,0.175,29,55,9,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^NDX/raw_concat
^NDX,ungated_concat,0.502262443438914,0.4862637362637362,0.5725190839694656,0.5813953488372093,0.4691607684529828,0.07644884804715701,1.2149335323626311,46,221,,3,0.2,29,55,9,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^NDX/ungated_concat
^NDX,add,0.49321266968325794,0.4830409356725146,0.5691056910569106,0.5426356589147286,0.4674755645433097,-0.02083820285052318,-0.5816181089395406,15,221,,2,0.35,29,55,9,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^NDX/add
^SOX,gated_concat,0.5701357466063348,0.5089692915779872,0.6181818181818182,0.7611940298507462,0.47872705438325613,0.5519986381724105,1.6316547588049266,221,221,,220,0.0,29,226,43,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^SOX/gated_concat
^SOX,raw_concat,0.46153846153846156,0.46043372109722824,0.5773195876288659,0.417910447761194,0.4832732887287699,0.11241596639850715,0.7228297611450308,80,221,,79,0.175,29,226,43,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^SOX/raw_concat
^SOX,ungated_concat,0.5113122171945701,0.48604651162790696,0.5955882352941176,0.6044776119402985,0.4788986103962944,0.10058310205554943,0.4981005852942423,188,221,,187,0.025,29,226,43,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^SOX/ungated_concat
^SOX,add,0.4343891402714932,0.42971862678309697,0.5671641791044776,0.2835820895522388,0.45899811288385656,-0.3792065118828911,-2.457710503123806,86,221,,85,0.15,29,226,43,/home/butter303062/political-sentiment-stock-pred/data/output/fusion_ablation_multi/^SOX/add
