event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
silence_day,233,-0.008216356153549702,-0.007901705334542097,0.024771986129009466,0.3521739130434783,0.6434782608695652,short,0.6434782608695652,0.08070326331665323
posts_low&silence_day,233,-0.008216356153549702,-0.007901705334542097,0.024771986129009466,0.3521739130434783,0.6434782608695652,short,0.6434782608695652,0.08070326331665323
has_attack&short_posts,298,-0.005923663306409913,-0.006288985483401954,0.019703849137398265,0.2684563758389262,0.7114093959731543,short,0.7114093959731543,0.07274750360062489
posts_low,428,-0.005311478461518942,-0.005473648874383175,0.024540703942311455,0.3811764705882353,0.6141176470588235,short,0.6141176470588235,0.06748214621363194
silence_day&volume_drop,147,-0.008556606949135211,-0.008103707005699068,0.026760872619910368,0.36054421768707484,0.6326530612244898,short,0.6326530612244898,0.06563354532361035
volume_drop,329,-0.0058445890611234395,-0.0055299923969748255,0.020637768049247336,0.3768996960486322,0.6139817629179332,short,0.6139817629179332,0.06508897033864358
has_attack&has_exclamation,618,-0.004071244981084643,-0.004487677370617282,0.017763072695626318,0.3333333333333333,0.6407766990291263,short,0.6407766990291263,0.06485271834852094
has_attack,618,-0.004071244981084643,-0.004487677370617282,0.017763072695626318,0.3333333333333333,0.6407766990291263,short,0.6407766990291263,0.06485271834852094
posts_very_high&deal_over_tariff,115,-0.008265433326913946,-0.0076923006385030135,0.02251822959863175,0.25217391304347825,0.7217391304347827,short,0.7217391304347827,0.063972717452157
posts_low&volume_drop,226,-0.006791449872585569,-0.005854546624813106,0.02296230187912465,0.3805309734513274,0.6106194690265486,short,0.6106194690265486,0.062342952525375944
has_attack&lots_of_excl,570,-0.0040503190834575145,-0.004558116268909507,0.01815820371328139,0.3280701754385965,0.643859649122807,short,0.643859649122807,0.06226125559020048
has_attack&has_night_post,562,-0.004073745939939999,-0.004620765607260269,0.017931698154465676,0.3274021352313167,0.6441281138790036,short,0.6441281138790036,0.06220629755024964
posts_very_high&has_attack,201,-0.006294165297500207,-0.006656815794426341,0.02195015200666635,0.2835820895522388,0.681592039800995,short,0.681592039800995,0.06082199800371108
has_attack&exclamation_heavy,598,-0.003875775910384996,-0.004465289017728857,0.017881706691833508,0.33444816053511706,0.6387959866220736,short,0.6387959866220736,0.060544044554399296
has_attack&has_positive,596,-0.0038872186989635615,-0.004455341921352607,0.01794436643622241,0.337248322147651,0.6359060402684564,short,0.6359060402684564,0.06034691248234797
has_deal&short_posts,165,-0.006560524148240438,-0.007256852665689428,0.02043873723034513,0.2787878787878788,0.696969696969697,short,0.696969696969697,0.058734652909340594
posts_very_high&has_deal,133,-0.007306510209414923,-0.006993071618176638,0.02148887074154646,0.2932330827067669,0.6842105263157895,short,0.6842105263157895,0.05765348538962236
posts_very_high&positive_heavy,209,-0.006021522948237822,-0.0063492305695065365,0.021997108504992945,0.3014354066985646,0.6602870813397129,short,0.6602870813397129,0.05747940834560675
deal_heavy&short_posts,62,-0.009555402766237288,-0.007848815008756393,0.02565935351667072,0.22580645161290322,0.7580645161290323,short,0.7580645161290323,0.057036256147955045
has_attack&has_all_caps,145,-0.006575020197377242,-0.007705492314756812,0.021694754959442206,0.2620689655172414,0.7103448275862069,short,0.7103448275862069,0.05624064785594019
short_posts&deal_only,144,-0.006783143926335356,-0.0067035137601215156,0.019989583011447366,0.2847222222222222,0.6875,short,0.6875,0.055960937392266694
short_posts&deal_over_tariff,159,-0.0063511270357994466,-0.0067502117258166905,0.02067588499504523,0.2830188679245283,0.6918238993710691,short,0.6918238993710691,0.0554044850352194
posts_very_high&has_night_post,220,-0.005601295498941414,-0.006266881979566208,0.022154777965321216,0.30454545454545456,0.6590909090909091,short,0.6590909090909091,0.05475769349753304
posts_very_high&deal_only,93,-0.008121084947055778,-0.006993071618176638,0.023283708880960666,0.27956989247311825,0.6989247311827957,short,0.6989247311827957,0.05473762319284504
has_attack&deal_over_tariff,231,-0.005453176399248125,-0.0053583336952992555,0.01919580690323579,0.3246753246753247,0.645021645021645,short,0.645021645021645,0.053460107156518714
