event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&deal_over_tariff,116,0.016943980120994417,0.011265730919318262,0.033457453260798124,0.7241379310344828,0.27586206896551724,long,0.7241379310344828,0.1321495609825987
posts_very_high&has_deal,139,0.015373670097399202,0.010321281016850259,0.036991983786278146,0.697841726618705,0.302158273381295,long,0.697841726618705,0.12648583481611023
has_russia&volume_spike,76,0.018533551528335857,0.011636114601034642,0.03734251482514133,0.75,0.25,long,0.75,0.12117881726537971
posts_very_high&has_attack,202,0.01255893075029937,0.009657283985512355,0.03669430839993951,0.6485148514851485,0.35148514851485146,long,0.6485148514851485,0.11575727020856402
pre_deal&volume_spike,43,0.021253386523142043,0.016944777344694906,0.03156299030345766,0.813953488372093,0.18604651162790697,long,0.813953488372093,0.11343888708268932
posts_very_high&deal_only,96,0.0165486676720637,0.010581616495153767,0.03443028737210113,0.6979166666666666,0.3020833333333333,long,0.6979166666666666,0.11316241855012454
posts_very_high&has_positive,225,0.01146125824259702,0.008997215730801367,0.03614551611869177,0.6355555555555555,0.36444444444444446,long,0.6355555555555555,0.1092639952460916
has_positive&short_posts,462,0.008249834037022678,0.0065672819282910355,0.03190602103934761,0.6147186147186147,0.38311688311688313,long,0.6147186147186147,0.10900403239997615
posts_very_high&short_posts,147,0.013717145267673045,0.011246693979569233,0.04233869321439741,0.6462585034013606,0.35374149659863946,long,0.6462585034013606,0.10748025195948603
has_deal&short_posts,163,0.013009772890941065,0.008593171990878945,0.03507790186049349,0.6441717791411042,0.3496932515337423,long,0.6441717791411042,0.10699542597239607
attack_heavy&short_posts,132,0.013317105703484487,0.010778107646767454,0.0323748237060725,0.6818181818181818,0.3181818181818182,long,0.6818181818181818,0.10431947452395753
posts_very_high&has_russia,122,0.014353844694678623,0.010317906055732351,0.03600414327091777,0.6557377049180327,0.3442622950819672,long,0.6557377049180327,0.10396288304089406
has_attack&volume_spike,122,0.013569647639869514,0.010317906055732351,0.038500952023368444,0.6885245901639344,0.3114754098360656,long,0.6885245901639344,0.10319720649921374
exclamation_heavy&short_posts,446,0.007983841944391501,0.006354088472294461,0.03270566238358385,0.6098654708520179,0.38565022421524664,long,0.6098654708520179,0.10282847743974287
posts_very_high&attack_heavy,159,0.012340919659352736,0.009771958272120518,0.031138310454607042,0.660377358490566,0.33962264150943394,long,0.660377358490566,0.10276335200323401
lots_of_excl&short_posts,382,0.008434796748776544,0.007058744420525231,0.0342815992422379,0.6178010471204188,0.3795811518324607,long,0.6178010471204188,0.10184857182690533
has_positive&has_exclamation,918,0.005796077937723191,0.00506638737773879,0.030519074979437077,0.579520697167756,0.41938997821350765,long,0.579520697167756,0.10177110929983257
posts_very_high&volume_spike,85,0.016176861438346596,0.014176428744270275,0.042036564533525424,0.6823529411764706,0.3176470588235294,long,0.6823529411764706,0.10176836477879526
has_attack&short_posts,309,0.009239417683777772,0.008377280456271174,0.03345959985975672,0.6245954692556634,0.37540453074433655,long,0.6245954692556634,0.10144313679632369
has_deal&volume_spike,84,0.015735771493685678,0.009317814862737972,0.03810040681078655,0.7023809523809523,0.2976190476190476,long,0.7023809523809523,0.1012978922693389
attack_heavy&has_all_caps,92,0.015388513724968977,0.011565551159662402,0.03048723675603184,0.6847826086956522,0.31521739130434784,long,0.6847826086956522,0.10107489806099151
posts_very_high&has_china,132,0.013783222969403656,0.010778107646767454,0.03930616818582152,0.6363636363636364,0.36363636363636365,long,0.6363636363636364,0.1007727481331979
has_attack&has_night_post,363,0.008500263884293867,0.008654367996197898,0.03266487985612683,0.6198347107438017,0.38016528925619836,long,0.6198347107438017,0.10038333358186197
attack_heavy&has_night_post,202,0.010716259750900323,0.010321372187103606,0.030693455176940887,0.6584158415841584,0.3415841584158416,long,0.6584158415841584,0.10028112285735938
has_positive&has_night_post,465,0.007572203383039124,0.007433947568292076,0.030942779011315442,0.6129032258064516,0.3849462365591398,long,0.6129032258064516,0.10007846920667625
positive_heavy&short_posts,284,0.009460075189030161,0.006820664850336833,0.035586282529400354,0.6232394366197183,0.3732394366197183,long,0.6232394366197183,0.09935933691736035
posts_high&attack_heavy,230,0.010034368732397993,0.009411061532040521,0.030545170558214055,0.6521739130434783,0.34782608695652173,long,0.6521739130434783,0.09924700207494709
has_night_post&deal_over_tariff,180,0.011410643544975447,0.009657283985512355,0.03217791174576856,0.6444444444444445,0.35555555555555557,long,0.6444444444444445,0.09865790191652588
attack_heavy&has_uppercase_phrase,138,0.012685706948492111,0.010778107646767454,0.03253056479424866,0.6594202898550725,0.34057971014492755,long,0.6594202898550725,0.09826899707347946
attack_heavy&volume_spike,89,0.014857956769354882,0.01070143589697281,0.030907496503857757,0.6966292134831461,0.30337078651685395,long,0.6966292134831461,0.09764629659580239
posts_very_high&has_uppercase_phrase,129,0.013193232425467315,0.010841951973457276,0.03892459354783672,0.6511627906976745,0.3488372093023256,long,0.6511627906976745,0.09757434494948537
exclamation_heavy,892,0.005626985810787628,0.005016855220223104,0.03094182796457741,0.577354260089686,0.4204035874439462,long,0.577354260089686,0.0970287914168305
attack_heavy&deal_over_tariff,131,0.012528313443020094,0.009771958272120518,0.03187254103572172,0.6717557251908397,0.3282442748091603,long,0.6717557251908397,0.09632513684893151
exclamation_heavy&lots_of_excl,791,0.005872735813920466,0.005043709327585466,0.031788585136419356,0.5777496839443742,0.42098609355246525,long,0.5777496839443742,0.09542637420155456
has_russia&short_posts,140,0.012802921948618953,0.009991830303322846,0.03387837470336555,0.6214285714285714,0.37142857142857144,long,0.6214285714285714,0.09413786243314204
has_china&volume_spike,73,0.016073435192119494,0.011934498385774761,0.04351268149072674,0.684931506849315,0.3150684931506849,long,0.684931506849315,0.09406266471341612
posts_high&has_night_post,302,0.00859553228773572,0.008648124064924878,0.033182339089581174,0.6291390728476821,0.3675496688741722,long,0.6291390728476821,0.09397728746096351
has_attack&has_all_caps,144,0.011935182646777643,0.010858394579424613,0.0338486581498055,0.6527777777777778,0.3472222222222222,long,0.6527777777777778,0.09349226406642487
posts_very_high&pre_deal,72,0.01584537172826281,0.010517772168463946,0.03579677158315064,0.6944444444444444,0.3055555555555556,long,0.6944444444444444,0.09336974832896863
posts_very_high&has_night_post,181,0.010708591648209207,0.009676153976350133,0.03399445088755458,0.6464088397790055,0.35359116022099446,long,0.6464088397790055,0.09312771179398281
has_night_post&has_uppercase_phrase,182,0.010697584335503899,0.010858394579424613,0.03443708766697462,0.6428571428571429,0.35714285714285715,long,0.6428571428571429,0.09277605181981614
short_posts,566,0.006683781791427434,0.005434794743903737,0.033964873917477906,0.5830388692579506,0.411660777385159,long,0.5830388692579506,0.09271030015236073
posts_high&has_attack,361,0.007945259976661238,0.0062366497149217714,0.034430945670272314,0.6121883656509696,0.3878116343490305,long,0.6121883656509696,0.09241591867590176
posts_high&has_positive,422,0.007312249773561479,0.006134043793762922,0.03338605878122675,0.6090047393364929,0.3886255924170616,long,0.6090047393364929,0.09148037064980816
deal_over_tariff&volume_spike,70,0.015232412248606896,0.009317814862737972,0.03286313886001294,0.7142857142857143,0.2857142857142857,long,0.7142857142857143,0.09103107454355303
posts_high&volume_spike,116,0.012869641443749814,0.009411061532040521,0.03817449660375289,0.6551724137931034,0.3448275862068966,long,0.6551724137931034,0.09081363196435188
posts_high&short_posts,242,0.009296013579108472,0.008176616936850345,0.03738292997761612,0.6239669421487604,0.371900826446281,long,0.6239669421487604,0.09023312820075129
has_night_post&deal_only,149,0.011681487607281028,0.009122441075545051,0.03289167356734097,0.6308724832214765,0.3691275167785235,long,0.6308724832214765,0.08995656675410274
posts_high&has_deal,225,0.009393440381551517,0.0067051001011344535,0.03484315406464725,0.6311111111111111,0.3688888888888889,long,0.6311111111111111,0.08892456894535436
attack_heavy&deal_only,107,0.01294953347804439,0.009638413994674577,0.03336147027977841,0.6635514018691588,0.3364485981308411,long,0.6635514018691588,0.0888833843583418
has_action&deal_only,77,0.015280623846824855,0.010321281016850259,0.032031071776289916,0.6623376623376623,0.3246753246753247,long,0.6623376623376623,0.0888108238145996
positive_heavy&has_russia,233,0.009431895918748524,0.008250936595293856,0.03255886671805444,0.6137339055793991,0.38197424892703863,long,0.6137339055793991,0.08836027861643207
has_attack&attack_heavy,277,0.008512762702990648,0.007516469380490776,0.030577581173823563,0.6209386281588448,0.37906137184115524,long,0.6209386281588448,0.08797496237856993
has_night_post&short_posts,258,0.008858135876815033,0.0085953492808728,0.032560513181215466,0.6162790697674418,0.375968992248062,long,0.6162790697674418,0.08768586874061686
has_attack&has_exclamation,638,0.0060133631512828845,0.005141555188565405,0.03143048208968111,0.5768025078369906,0.4231974921630094,long,0.5768025078369906,0.08761024832313451
has_relief&deal_over_tariff,43,0.019069023150542205,0.009638413994674577,0.04217273345005528,0.6976744186046512,0.3023255813953488,long,0.6976744186046512,0.0872399630429108
posts_high&positive_heavy,379,0.007455504319656085,0.005855654802785715,0.0341912145282694,0.5989445910290238,0.39841688654353563,long,0.5989445910290238,0.08693272201996352
has_deal&uppercase_phrase_heavy,23,0.02314189337083587,0.014176428744270275,0.03135449152122512,0.782608695652174,0.21739130434782608,long,0.782608695652174,0.08685753005504059
has_action&deal_over_tariff,93,0.013719434546253672,0.010576063017416537,0.032185842396564426,0.6559139784946236,0.3333333333333333,long,0.6559139784946236,0.08678098451123341
positive_heavy&has_night_post,380,0.007369423405634892,0.006200515592891698,0.032196659600589976,0.6026315789473684,0.39473684210526316,long,0.6026315789473684,0.08657194869353052
attack_heavy&has_russia,152,0.01087140577495208,0.009657283985512355,0.030267920706384555,0.6447368421052632,0.35526315789473684,long,0.6447368421052632,0.08641516983059336
lots_of_excl&volume_spike,128,0.011618222727692747,0.008847968644892235,0.037559931776153195,0.65625,0.34375,long,0.65625,0.0862609027989157
has_deal&has_night_post,207,0.009545336360019387,0.006716208799578904,0.031581287172048327,0.6280193236714976,0.3719806763285024,long,0.6280193236714976,0.08624807611710912
positive_heavy&exclamation_heavy,623,0.005929946530121407,0.004874183831204748,0.03227666610479346,0.5826645264847512,0.4157303370786517,long,0.5826645264847512,0.08624091965416207
has_positive&volume_spike,144,0.010999471773137568,0.008648124064924878,0.037230129150932136,0.6527777777777778,0.3472222222222222,long,0.6527777777777778,0.08616252888957762
has_action&volume_spike,53,0.016461666496800205,0.016485873826428632,0.03805481913461889,0.7169811320754716,0.2830188679245283,long,0.7169811320754716,0.0859249841543572
has_deal&attack_heavy,151,0.010658048440195236,0.008997215730801367,0.03138233197397039,0.6556291390728477,0.3443708609271523,long,0.6556291390728477,0.08586662845518293
attack_heavy&has_china,142,0.011351821449051648,0.010778107646767454,0.032493053022313416,0.6338028169014085,0.36619718309859156,long,0.6338028169014085,0.08573613248480987
has_positive&has_all_caps,178,0.010197028618381242,0.009255976740662364,0.032196862849551096,0.6292134831460674,0.3707865168539326,long,0.6292134831460674,0.08560155613043359
posts_high&deal_over_tariff,193,0.009609745903754921,0.0067051001011344535,0.03313520367949896,0.6321243523316062,0.36787564766839376,long,0.6321243523316062,0.0843904068390296
has_deal&has_exclamation,359,0.0075042095551195705,0.004807825545981137,0.032583470840963205,0.5877437325905293,0.40947075208913647,long,0.5877437325905293,0.08356803381503301
has_attack&has_uppercase_phrase,225,0.009056708412696497,0.009638413994674577,0.035048886916815146,0.6133333333333333,0.38666666666666666,long,0.6133333333333333,0.08332171739680777
has_night_post&has_all_caps,111,0.012008440812744402,0.011246693979569233,0.03436647985448548,0.6576576576576577,0.34234234234234234,long,0.6576576576576577,0.08320472558174
has_attack&deal_over_tariff,226,0.008978620306489927,0.0057878511842544,0.03226905656665666,0.6150442477876106,0.38495575221238937,long,0.6150442477876106,0.08301760247323593
has_russia&sig_potus,29,0.02028693662711078,0.013984406111720471,0.04301337031750861,0.7586206896551724,0.2413793103448276,long,0.7586206896551724,0.08287817026605063
pre_action&deal_only,38,0.018909699316474547,0.01595680427081525,0.03640724582350999,0.7105263157894737,0.2894736842105263,long,0.7105263157894737,0.08282407399939556
short_posts&deal_only,138,0.011444396272431847,0.007752652593555065,0.03262566473808064,0.6159420289855072,0.37681159420289856,long,0.6159420289855072,0.08280799507373884
has_russia&lots_of_excl,277,0.008344515063257032,0.0062366497149217714,0.03235463058312699,0.5956678700361011,0.4007220216606498,long,0.5956678700361011,0.08272659754857814
deal_only&volume_spike,57,0.015527342952194712,0.008997215730801367,0.03423161268175319,0.7017543859649122,0.2982456140350877,long,0.7017543859649122,0.08226587263771103
has_attack&positive_heavy,475,0.006480487849690329,0.005194044949238696,0.033017427289241265,0.5810526315789474,0.4189473684210526,long,0.5810526315789474,0.08206726834835329
