event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_action&deal_only,77,0.009129499398373927,0.005894474684137174,0.02797205481231323,0.7012987012987013,0.2987012987012987,long,0.7012987012987013,0.05618176276823698
posts_very_high&deal_over_tariff,115,0.007619882757607425,0.005802131358998874,0.024532183404047437,0.6782608695652174,0.3217391304347826,long,0.6782608695652174,0.0554235030156318
has_action&deal_over_tariff,93,0.008091158682324658,0.006467661738470687,0.027413468330933336,0.6989247311827957,0.3010752688172043,long,0.6989247311827957,0.05453591460180077
has_deal&has_action,106,0.007680363626867574,0.006290398628208238,0.026254926611376753,0.6886792452830188,0.3113207547169811,long,0.6886792452830188,0.05445674884233789
pre_deal&deal_over_tariff,156,0.005932132269905178,0.005402502979615642,0.019954970564571226,0.7243589743589743,0.27564102564102566,long,0.7243589743589743,0.05366942845067358
positive_heavy&pre_relief,26,0.014533983293317936,0.006548794076554287,0.049557908546647,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.05130627536967208
pre_deal&pre_action,27,0.013914491705932985,0.005260704916782766,0.038363557087941674,0.7037037037037037,0.2962962962962963,long,0.7037037037037037,0.05087905836969576
pre_action&deal_only,38,0.011528669683059985,0.006662138990586652,0.034827881950649335,0.7105263157894737,0.2894736842105263,long,0.7105263157894737,0.05049532385279447
pre_deal&exclamation_heavy,170,0.005476163525683488,0.004745491153578474,0.019394058056343536,0.7058823529411765,0.29411764705882354,long,0.7058823529411765,0.05040030836882657
pre_deal&has_exclamation,176,0.005432856809823381,0.004745491153578474,0.01923291647204221,0.6988636363636364,0.30113636363636365,long,0.6988636363636364,0.050370589820070436
has_deal&pre_deal,176,0.005432856809823381,0.004745491153578474,0.01923291647204221,0.6988636363636364,0.30113636363636365,long,0.6988636363636364,0.050370589820070436
pre_deal,176,0.005432856809823381,0.004745491153578474,0.01923291647204221,0.6988636363636364,0.30113636363636365,long,0.6988636363636364,0.050370589820070436
has_attack&pre_relief,22,0.01550188587106659,0.010700443154635586,0.05478449498566124,0.6818181818181818,0.3181818181818182,long,0.6818181818181818,0.0495751975886147
has_positive&pre_deal,172,0.005383371602798578,0.004906298304194645,0.01932397885002281,0.6976744186046512,0.3023255813953488,long,0.6976744186046512,0.04925738837975554
posts_very_high&deal_only,96,0.007374358347056264,0.006495854729657857,0.026039191078421682,0.6770833333333334,0.3229166666666667,long,0.6770833333333334,0.04892174931237162
pre_deal&lots_of_excl,165,0.005338666641128879,0.004846728103908848,0.01950790380932886,0.7090909090909091,0.2909090909090909,long,0.7090909090909091,0.04862691221718537
has_night_post&china_streak_3d,47,0.0103770857237293,0.008989748222812732,0.019775384975724664,0.6808510638297872,0.3191489361702128,long,0.6808510638297872,0.048436912667670314
pre_deal&deal_only,131,0.005848137259464914,0.005108345129397618,0.021184053305347648,0.7099236641221374,0.2900763358778626,long,0.7099236641221374,0.04751873360179706
has_action&pre_deal,52,0.00927619572349624,0.00557758980045997,0.029513573487978152,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.04630956829242295
has_exclamation&china_streak_3d,72,0.008175040687619033,0.007606466615903362,0.02062225189677677,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04624501365353083
china_streak_3d,72,0.008175040687619033,0.007606466615903362,0.02062225189677677,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04624501365353083
positive_heavy&has_chips,25,0.01037704488828842,0.010038907821340981,0.011226478085381384,0.88,0.12,long,0.88,0.045658997508469044
posts_high&china_streak_3d,41,0.010292721986963464,0.011746790174937738,0.02001274292122046,0.6829268292682927,0.3170731707317073,long,0.6829268292682927,0.045008687157774264
pre_action&has_uppercase_phrase,29,0.01420796378188937,0.0022621756566143514,0.043558223640602786,0.5862068965517241,0.41379310344827586,long,0.5862068965517241,0.044851994867849264
exclamation_heavy&china_streak_3d,68,0.007964663272195346,0.00830794709470184,0.020000864281383375,0.6764705882352942,0.3235294117647059,long,0.6764705882352942,0.04442943545329394
has_positive&china_streak_3d,68,0.007844821466713224,0.00830794709470184,0.020101698766831252,0.6764705882352942,0.3235294117647059,long,0.6764705882352942,0.04376091958773789
short_posts&china_streak_3d,39,0.010072574698627457,0.010455218834574564,0.024565702694288722,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.04354837534498626
has_attack&deal_over_tariff,225,0.004323893396204022,0.004644254203248099,0.020166691358230723,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04323893396204022
deal_heavy&pre_deal,91,0.0066525429249651115,0.005707270946875287,0.024176278667325725,0.6813186813186813,0.31868131868131866,long,0.6813186813186813,0.043237311218072144
posts_high&pre_relief,24,0.012970178954029998,0.006548794076554287,0.0525311764132652,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04236042707994497
pre_deal&short_posts,81,0.006732339232437429,0.0038824967052979442,0.02497356993221805,0.691358024691358,0.30864197530864196,long,0.691358024691358,0.04189011077961067
deal_heavy&has_iran,39,0.009301770158428058,0.007331508319255997,0.018499880747780407,0.717948717948718,0.28205128205128205,long,0.717948717948718,0.041705307912473455
pre_action&deal_over_tariff,43,0.009402836930150737,0.006113135517945789,0.03343567239649552,0.6744186046511628,0.32558139534883723,long,0.6744186046511628,0.041583656478639534
lots_of_excl&china_streak_3d,66,0.007641038033145416,0.007606466615903362,0.020211269146244302,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.041384057621704926
lots_of_excl&has_chips,29,0.008903511316845903,0.010038907821340981,0.02085794688704723,0.8620689655172413,0.13793103448275862,long,0.8620689655172413,0.041333513623622704
posts_very_high&has_deal,138,0.005644976656013479,0.00454449963756709,0.02429786682457702,0.6231884057971014,0.37681159420289856,long,0.6231884057971014,0.04132577990194453
has_night_post&deal_over_tariff,179,0.0045158878760013545,0.0038824967052979442,0.022477127713219615,0.6759776536312849,0.3240223463687151,long,0.6759776536312849,0.04084153018882262
has_action,194,0.0046044474940164495,0.004421846448790401,0.026755249552169267,0.6288659793814433,0.3711340206185567,long,0.6288659793814433,0.040330767859924524
has_action&has_iran,31,0.010689571958641526,0.006709899479488968,0.019758012299783648,0.6774193548387096,0.3225806451612903,long,0.6774193548387096,0.040317979803543846
has_attack&deal_only,192,0.0043099406069419385,0.004443262687236715,0.02091852123412621,0.671875,0.328125,long,0.671875,0.04012456908494879
positive_heavy&pre_deal,138,0.00493738962273344,0.004220517507917965,0.020942626293333745,0.6884057971014492,0.3115942028985507,long,0.6884057971014492,0.03992835903189698
has_action&has_exclamation,192,0.004563543293708273,0.004421846448790401,0.026875791470126812,0.6302083333333334,0.3697916666666667,long,0.6302083333333334,0.03985078960484987
has_action&has_uppercase_phrase,88,0.0070513802719233045,0.005207771429653119,0.03377925459140644,0.6022727272727273,0.3977272727272727,long,0.6022727272727273,0.0398390221196515
has_attack&has_exclamation,642,0.0024507296921742862,0.004001362813673137,0.020631823959674975,0.6339563862928349,0.3660436137071651,long,0.6339563862928349,0.03936609242204341
has_positive,931,0.002051812158897465,0.003480766138413749,0.019920033552283133,0.6262083780880774,0.37379162191192267,long,0.6262083780880774,0.03920408420734802
has_night_post&deal_only,148,0.00471260372119169,0.0036816314218558466,0.023327547790110984,0.6824324324324325,0.31756756756756754,long,0.6824324324324325,0.03912473760643629
pre_deal&has_night_post,101,0.005697092325429834,0.00420951185063001,0.023231664352174983,0.6831683168316832,0.31683168316831684,long,0.6831683168316832,0.03911484930505191
posts_very_high&deal_heavy,80,0.006855550704310524,0.004539125634557384,0.02686532781713996,0.6375,0.3625,long,0.6375,0.03909016736498897
