event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&deal_over_tariff,115,0.011180553942206625,0.010127882572037672,0.02485174753436603,0.7478260869565218,0.25217391304347825,long,0.7478260869565218,0.0896629146651217
posts_very_high&deal_only,96,0.010108643229979638,0.008716617667564708,0.02574020215549354,0.71875,0.28125,long,0.71875,0.07118792647770798
deal_heavy&short_posts,67,0.011424692490053718,0.011501924095290272,0.02625879396112307,0.7611940298507462,0.23880597014925373,long,0.7611940298507462,0.07118316500602731
posts_very_high&has_deal,138,0.008623068728508054,0.007556836899507369,0.024705110053478075,0.6884057971014492,0.3115942028985507,long,0.6884057971014492,0.06973421391807817
has_night_post&deal_over_tariff,179,0.007509729726172111,0.007698566703249643,0.023796907261245247,0.6759776536312849,0.3240223463687151,long,0.6759776536312849,0.06791772996652341
has_positive,931,0.0034624822145440403,0.004940221928050992,0.022399878700600104,0.6272824919441461,0.3727175080558539,long,0.6272824919441461,0.06627131036940273
posts_high&deal_over_tariff,191,0.006951368508671989,0.006288500196744984,0.02259161058042395,0.6858638743455497,0.31413612565445026,long,0.6858638743455497,0.06589082179624901
has_positive&has_exclamation,924,0.0034580750646471953,0.004933496024467576,0.022393366651781963,0.6255411255411255,0.37445887445887444,long,0.6255411255411255,0.06575461951739103
posts_very_high&deal_heavy,80,0.010086281672137239,0.007556836899507369,0.02542706181275744,0.725,0.275,long,0.725,0.06540547323141642
has_exclamation,1016,0.0032557838067375695,0.004882074517686852,0.02254055395051798,0.6240157480314961,0.37598425196850394,long,0.6240157480314961,0.06475867625904992
has_attack&deal_over_tariff,225,0.006299482080177744,0.006708464590806873,0.021922495579581067,0.68,0.32,long,0.68,0.06425471721781299
deal_heavy&deal_over_tariff,141,0.0074568637761681855,0.007818233441631017,0.024101674060676107,0.723404255319149,0.2765957446808511,long,0.723404255319149,0.06405408397316002
has_deal&deal_over_tariff,314,0.005452350711170135,0.0062741391651915945,0.021645871008865135,0.6624203821656051,0.3375796178343949,long,0.6624203821656051,0.06400034190299739
deal_over_tariff,314,0.005452350711170135,0.0062741391651915945,0.021645871008865135,0.6624203821656051,0.3375796178343949,long,0.6624203821656051,0.06400034190299739
has_exclamation&deal_over_tariff,314,0.005452350711170135,0.0062741391651915945,0.021645871008865135,0.6624203821656051,0.3375796178343949,long,0.6624203821656051,0.06400034190299739
