event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
short_posts&china_streak_3d,39,0.02400442827939855,0.021022935221487016,0.03623005163873442,0.7435897435897436,0.2564102564102564,long,0.7435897435897436,0.11146975872227471
has_exclamation&china_streak_3d,72,0.018295891972842166,0.01633867724833138,0.032364174598968426,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.10996576889575234
posts_very_high&deal_over_tariff,115,0.01409689374770551,0.011393503240088476,0.03310823198608844,0.6956521739130435,0.30434782608695654,long,0.6956521739130435,0.10516336960790564
positive_heavy&china_streak_3d,59,0.017930315938874765,0.015018300800598405,0.03160592716482286,0.711864406779661,0.288135593220339,long,0.711864406779661,0.09804178883621699
posts_very_high&deal_only,96,0.014205808331391304,0.011457415296505347,0.034800583321545286,0.6875,0.3125,long,0.6875,0.09569169993813874
posts_low,461,0.0071985497405858715,0.008253642636985137,0.03717157303531391,0.6135371179039302,0.3864628820960699,long,0.6135371179039302,0.09482793961654126
has_china&china_streak_3d,33,0.021167521551421754,0.015018300800598405,0.0274549420090761,0.7575757575757576,0.24242424242424243,long,0.7575757575757576,0.09211981335158038
has_uppercase_phrase&china_streak_3d,33,0.021954781033309015,0.017536417845586794,0.03295530744249569,0.7272727272727273,0.2727272727272727,long,0.7272727272727273,0.09172408366317714
has_night_post&china_streak_3d,47,0.019636846832286295,0.016183896998066993,0.036192286958872714,0.6808510638297872,0.3191489361702128,long,0.6808510638297872,0.09165851187958073
posts_high&china_streak_3d,41,0.02068791527210397,0.017536417845586794,0.03382735039644636,0.6829268292682927,0.3170731707317073,long,0.6829268292682927,0.09046546750296222
has_attack&china_streak_3d,53,0.017162247189444882,0.016493457498595765,0.03392786038667907,0.6792452830188679,0.32075471698113206,long,0.6792452830188679,0.08486697429248227
has_exclamation,1016,0.004382718279756733,0.005844420296098329,0.031447689341593484,0.59251968503937,0.406496062992126,long,0.59251968503937,0.08277385701024643
has_attack&pre_relief,22,0.02577801019112635,0.021537209175707228,0.0730548801570501,0.6818181818181818,0.3181818181818182,long,0.6818181818181818,0.08243835358455547
has_attack&deal_over_tariff,225,0.00860331397347674,0.007757717827868715,0.029709594504129463,0.6311111111111111,0.36444444444444446,long,0.6311111111111111,0.08144470561557979
pre_deal&deal_over_tariff,156,0.010157501378885344,0.00857294935081887,0.029444145486001848,0.6410256410256411,0.3525641025641026,long,0.6410256410256411,0.08132509715367685
posts_very_high&has_deal,138,0.010676396772218044,0.00817245091082508,0.03320334700309873,0.644927536231884,0.35507246376811596,long,0.644927536231884,0.08088633704816788
has_attack&deal_only,192,0.009088212657945053,0.008039813061037848,0.03045188849122646,0.6354166666666666,0.359375,long,0.6354166666666666,0.08001800087388637
deal_heavy&pre_deal,91,0.012175657972678208,0.01160113810476493,0.03290573107639063,0.6813186813186813,0.31868131868131866,long,0.6813186813186813,0.07913405730519957
has_relief&deal_over_tariff,43,0.01673885835609991,0.012191673968793282,0.04498734868735815,0.7209302325581395,0.27906976744186046,long,0.7209302325581395,0.07913221101746147
silence_day,262,0.00816127349334539,0.008206864375030154,0.03804139011134349,0.5984555984555985,0.4015444015444015,long,0.5984555984555985,0.07905703304390552
pre_deal&exclamation_heavy,170,0.009629056618562446,0.00857294935081887,0.028535249330418944,0.6294117647058823,0.36470588235294116,long,0.6294117647058823,0.07902109753211098
positive_heavy&pre_relief,26,0.02237171940754892,0.015089080806675925,0.06762190695359507,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.07897419263887916
has_all_caps&china_streak_3d,22,0.021692511922262573,0.01701493767209128,0.02875634467981509,0.7727272727272727,0.22727272727272727,long,0.7727272727272727,0.07862260438344301
has_relief&deal_only,33,0.018798138379742247,0.012191673968793282,0.05042990404765652,0.7272727272727273,0.2727272727272727,long,0.7272727272727273,0.0785360607714329
