event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
silence_day,211,0.06425134555033477,0.01606420177210599,0.16792617552860223,0.572139303482587,0.4079601990049751,long,0.572139303482587,0.5339803032690198
posts_low&silence_day,211,0.06425134555033477,0.01606420177210599,0.16792617552860223,0.572139303482587,0.4079601990049751,long,0.572139303482587,0.5339803032690198
posts_low,394,0.03522143854796628,0.007664501969781856,0.1345230093631751,0.5390625,0.4427083333333333,long,0.5390625,0.37687239004107465
has_positive&short_posts,444,0.02647541695347474,0.023533719892268046,0.0728922232282281,0.6283783783783784,0.36711711711711714,long,0.6283783783783784,0.3505544840071918
has_exclamation&short_posts,491,0.0251203177468741,0.02304168333848522,0.07253424550832618,0.6171079429735234,0.38085539714867617,long,0.6171079429735234,0.3435002131860259
has_night_post&has_exclamation,828,0.019091122083974194,0.01859502844927652,0.06991718210960082,0.5978260869565217,0.39855072463768115,long,0.5978260869565217,0.3284138661401366
exclamation_heavy&short_posts,424,0.025566944813454267,0.023350896805620747,0.07288059724649268,0.6226415094339622,0.37735849056603776,long,0.6226415094339622,0.3277931189408899
has_night_post&short_posts,458,0.024855988528961415,0.02329924191292343,0.07323192459916925,0.6135371179039302,0.38209606986899564,long,0.6135371179039302,0.32636578357696977
has_positive&has_night_post,782,0.019124121047303533,0.018192946544202226,0.07049181756547848,0.5997442455242967,0.39641943734015345,long,0.5997442455242967,0.3207383938787519
has_positive&has_exclamation,870,0.018076093011216363,0.01575686408104493,0.07024912747672175,0.5942528735632184,0.40229885057471265,long,0.5942528735632184,0.31683670208914216
has_night_post,855,0.0183136803740997,0.01642056631016997,0.07045999193114467,0.5906432748538012,0.4046783625730994,long,0.5906432748538012,0.31628890011568955
has_positive,877,0.018009905347782837,0.01538464729214728,0.07069144505751035,0.5929304446978335,0.40250855188141393,long,0.5929304446978335,0.316238671806882
short_posts,545,0.022429580316840055,0.018867956681794418,0.07322555428089154,0.6018348623853211,0.3926605504587156,long,0.6018348623853211,0.3151350725345168
has_exclamation,941,0.01746543116716462,0.014516244491660668,0.07031003021536479,0.5855472901168969,0.4112646121147715,long,0.5855472901168969,0.3137155880199259
exclamation_heavy,834,0.01817432899851276,0.017045403386710567,0.06996633694691129,0.5947242206235012,0.4028776978417266,long,0.5947242206235012,0.31214547006508103
has_exclamation&exclamation_heavy,834,0.01817432899851276,0.017045403386710567,0.06996633694691129,0.5947242206235012,0.4028776978417266,long,0.5947242206235012,0.31214547006508103
lots_of_excl&short_posts,373,0.026004156306269337,0.023301006289719872,0.0758311032266112,0.6193029490616622,0.3806970509383378,long,0.6193029490616622,0.3110286045139744
has_night_post&exclamation_heavy,763,0.018786077991405793,0.01881710267098069,0.06966332418510643,0.5976408912188729,0.399737876802097,long,0.5976408912188729,0.3101263692031996
has_positive&exclamation_heavy,803,0.01816173167027917,0.016822305210817623,0.07014261649139186,0.5965130759651308,0.40099626400996263,long,0.5965130759651308,0.3069976108647687
posts_very_high&has_positive,229,0.031057881452945864,0.030484444859483206,0.07722610603950399,0.6419213973799127,0.35807860262008734,long,0.6419213973799127,0.30169729859608596
