event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_exclamation,1016,0.009926361489104732,0.015014344909251798,0.039034125336439233,0.7017716535433071,0.29822834645669294,long,0.7017716535433071,0.22204078944950684
exclamation_heavy,900,0.010352173977214711,0.015408781855969278,0.039565961041717106,0.7044444444444444,0.29555555555555557,long,0.7044444444444444,0.21877594338513756
has_exclamation&exclamation_heavy,900,0.010352173977214711,0.015408781855969278,0.039565961041717106,0.7044444444444444,0.29555555555555557,long,0.7044444444444444,0.21877594338513756
has_positive,931,0.010100174604801438,0.015379728926282699,0.03933240703186785,0.7003222341568206,0.2996777658431794,long,0.7003222341568206,0.21582494398660415
has_positive&has_exclamation,924,0.010098199116889918,0.015342776384674739,0.03930957074385156,0.7002164502164502,0.29978354978354976,long,0.7002164502164502,0.2149375157287165
has_positive&exclamation_heavy,860,0.010210816331625475,0.015601860795200428,0.04000361222272019,0.7011627906976744,0.2988372093023256,long,0.7011627906976744,0.20995612602716834
exclamation_heavy&short_posts,450,0.013276214828528978,0.017083274665804726,0.040065423568002516,0.7288888888888889,0.27111111111111114,long,0.7288888888888889,0.20527774020449693
has_exclamation&short_posts,527,0.012291697367259824,0.015804090820806804,0.03927273035934157,0.7229601518026565,0.27703984819734345,long,0.7229601518026565,0.20400063865889026
has_positive&short_posts,464,0.01300014799117322,0.016790120508923922,0.039403102954799644,0.7176724137931034,0.2823275862068966,long,0.7176724137931034,0.20097106755792166
has_exclamation&lots_of_excl,795,0.010136851077310003,0.015775412347998508,0.040568850490307666,0.6993710691823899,0.30062893081761005,long,0.6993710691823899,0.19989148458273437
lots_of_excl,795,0.010136851077310003,0.015775412347998508,0.040568850490307666,0.6993710691823899,0.30062893081761005,long,0.6993710691823899,0.19989148458273437
exclamation_heavy&lots_of_excl,795,0.010136851077310003,0.015775412347998508,0.040568850490307666,0.6993710691823899,0.30062893081761005,long,0.6993710691823899,0.19989148458273437
has_positive&lots_of_excl,779,0.010208818037280387,0.015804090820806804,0.040771877961204364,0.699614890885751,0.30038510911424904,long,0.699614890885751,0.19934403118616004
has_attack,643,0.010994105358003263,0.016181183014369438,0.03892492675640802,0.7122861586314152,0.28771384136858474,long,0.7122861586314152,0.19857285780356596
has_attack&has_exclamation,642,0.010997992349774154,0.01624840942798267,0.03895515269341855,0.7118380062305296,0.2881619937694704,long,0.7118380062305296,0.19836365380741983
short_posts,574,0.011509530721304465,0.016207697716570046,0.03996869966451231,0.7125435540069687,0.2874564459930314,long,0.7125435540069687,0.19648299898301833
has_attack&has_positive,619,0.011014927725965717,0.016527094106375984,0.039390671075564425,0.7124394184168013,0.2875605815831987,long,0.7124394184168013,0.19524275034553623
has_attack&exclamation_heavy,632,0.01086769090546794,0.016326860994399617,0.03903339350655414,0.7104430379746836,0.28955696202531644,long,0.7104430379746836,0.19409979636224473
has_positive&has_uppercase_phrase,280,0.015343359043047584,0.019336767840042013,0.041226819285697096,0.7464285714285714,0.25357142857142856,long,0.7464285714285714,0.1916406866765936
posts_very_high&deal_over_tariff,115,0.022275318535671006,0.02485604426308141,0.04109325089280429,0.7913043478260869,0.20869565217391303,long,0.7913043478260869,0.18902375892033996
lots_of_excl&short_posts,384,0.013280301128789288,0.017370694837507417,0.04186082402368259,0.7213541666666666,0.2786458333333333,long,0.7213541666666666,0.18772498555632117
has_attack&lots_of_excl,592,0.01084557589539041,0.016681014802820582,0.0398928869883348,0.7111486486486487,0.28885135135135137,long,0.7111486486486487,0.18766092828777198
posts_very_high&deal_only,96,0.02347445707094664,0.02653589181440874,0.04160416642923747,0.8125,0.1875,long,0.8125,0.18687643589123548
has_uppercase_phrase&exclamation_heavy,279,0.014790330228142332,0.019203673187303094,0.041455653903484005,0.7419354838709677,0.25806451612903225,long,0.7419354838709677,0.18329309921138573
deal_over_tariff&deal_only,273,0.014951243719998604,0.018912681742023985,0.037081318762402594,0.73992673992674,0.2600732600732601,long,0.73992673992674,0.18278786780909057
has_exclamation&deal_only,273,0.014951243719998604,0.018912681742023985,0.037081318762402594,0.73992673992674,0.2600732600732601,long,0.73992673992674,0.18278786780909057
has_deal&deal_only,273,0.014951243719998604,0.018912681742023985,0.037081318762402594,0.73992673992674,0.2600732600732601,long,0.73992673992674,0.18278786780909057
deal_only,273,0.014951243719998604,0.018912681742023985,0.037081318762402594,0.73992673992674,0.2600732600732601,long,0.73992673992674,0.18278786780909057
short_posts&deal_over_tariff,151,0.019308645572660862,0.021120628048367784,0.03824241613484901,0.7682119205298014,0.23178807947019867,long,0.7682119205298014,0.18227257388979737
has_uppercase_phrase,298,0.014497548033433113,0.01880095253245162,0.04112901196158444,0.7281879194630873,0.27181208053691275,long,0.7281879194630873,0.18224102867000697
has_uppercase_phrase&has_exclamation,294,0.014412486924504838,0.01880095253245162,0.04095737134087985,0.7312925170068028,0.2687074829931973,long,0.7312925170068028,0.18071896098232917
has_deal&deal_over_tariff,314,0.013974438192114566,0.018502738815349473,0.0375452022267061,0.7292993630573248,0.27070063694267515,long,0.7292993630573248,0.18059470613683695
has_exclamation&deal_over_tariff,314,0.013974438192114566,0.018502738815349473,0.0375452022267061,0.7292993630573248,0.27070063694267515,long,0.7292993630573248,0.18059470613683695
deal_over_tariff,314,0.013974438192114566,0.018502738815349473,0.0375452022267061,0.7292993630573248,0.27070063694267515,long,0.7292993630573248,0.18059470613683695
positive_heavy,626,0.010249734445378213,0.015717044371720612,0.0414234486093574,0.7028753993610224,0.2971246006389776,long,0.7028753993610224,0.1802511829265956
positive_heavy&has_exclamation,626,0.010249734445378213,0.015717044371720612,0.0414234486093574,0.7028753993610224,0.2971246006389776,long,0.7028753993610224,0.1802511829265956
has_positive&positive_heavy,626,0.010249734445378213,0.015717044371720612,0.0414234486093574,0.7028753993610224,0.2971246006389776,long,0.7028753993610224,0.1802511829265956
positive_heavy&exclamation_heavy,624,0.010244977547327025,0.015717044371720612,0.041484593864102706,0.7019230769230769,0.2980769230769231,long,0.7019230769230769,0.17963577277687104
has_night_post&deal_over_tariff,179,0.017909421250424766,0.021120628048367784,0.03883999590880472,0.7486033519553073,0.25139664804469275,long,0.7486033519553073,0.17937414110815933
has_uppercase_phrase&lots_of_excl,266,0.01475786469337813,0.019362647347745954,0.04166455645041601,0.7443609022556391,0.2556390977443609,long,0.7443609022556391,0.179162822724066
has_china&deal_only,93,0.022621669295544437,0.02333266542356993,0.0344962142169087,0.8172043010752689,0.1827956989247312,long,0.8172043010752689,0.17827759518370984
has_attack&has_uppercase_phrase,225,0.01572800564507151,0.020267014731480737,0.04045917857386862,0.7511111111111111,0.24888888888888888,long,0.7511111111111111,0.17720219693447234
has_night_post&deal_only,148,0.018993000514316027,0.02129123285178458,0.03856085066631311,0.7635135135135135,0.23648648648648649,long,0.7635135135135135,0.17641729785006818
has_china&short_posts,143,0.01947223848996941,0.021128440117377023,0.042927222486556754,0.7552447552447552,0.24475524475524477,long,0.7552447552447552,0.17586184162524615
exclamation_heavy&deal_only,259,0.014884466827442693,0.018923685769409948,0.03758071096297464,0.7335907335907336,0.26640926640926643,long,0.7335907335907336,0.1757263957227931
posts_very_high&positive_heavy,210,0.016003325412640847,0.020410504978924937,0.04458826457513922,0.7571428571428571,0.24285714285714285,long,0.7571428571428571,0.17558916486516632
