event,regime,n,mean_ret,median_ret,hit_up,hit_down
deal_heavy&deal_only,calm_bull,25,0.008870466699289677,0.01826513011220543,0.64,0.36
deal_heavy&deal_only,neutral,55,0.019439870186274938,0.02586823473091293,0.7818181818181819,0.21818181818181817
deal_heavy&deal_only,oversold,19,0.030281476440405897,0.04335917087230157,0.7894736842105263,0.21052631578947367
deal_heavy&deal_only,risk_off,10,0.05722535267948551,0.05745082796600043,0.9,0.1
deal_heavy&has_night_post,calm_bull,29,0.008316825541930393,0.009999223740344343,0.6551724137931034,0.3448275862068966
deal_heavy&has_night_post,neutral,54,0.022116910202280134,0.0258567541264334,0.7777777777777778,0.2222222222222222
deal_heavy&has_night_post,oversold,15,0.042770561900140905,0.05719033602671053,0.8,0.2
deal_heavy&has_night_post,risk_off,7,0.08517754461890971,0.08005913650210572,1.0,0.0
deal_over_tariff&deal_only,calm_bull,83,0.009944969547230046,0.015064142997343044,0.7349397590361446,0.26506024096385544
deal_over_tariff&deal_only,neutral,144,0.015910988556942764,0.021530962850653368,0.75,0.25
deal_over_tariff&deal_only,oversold,42,0.023642065863264033,0.04133217023190583,0.7380952380952381,0.2619047619047619
deal_over_tariff&deal_only,risk_off,26,0.01956635579709915,0.03400748634784134,0.6923076923076923,0.3076923076923077
has_action&deal_only,calm_bull,22,0.011931091563173528,0.019388307128558324,0.7727272727272727,0.22727272727272727
has_action&deal_only,neutral,34,0.02303978838379692,0.030682849867594064,0.8529411764705882,0.14705882352941177
has_action&deal_only,oversold,18,0.04016001977288032,0.042275250855660196,0.7777777777777778,0.2222222222222222
has_action&deal_only,risk_off,11,0.03375279159439525,0.012303024562325238,0.6363636363636364,0.36363636363636365
has_action&deal_over_tariff,calm_bull,27,0.007741673323631026,0.018476980811799715,0.7037037037037037,0.2962962962962963
has_action&deal_over_tariff,neutral,43,0.02240840784201824,0.03210250109751889,0.8372093023255814,0.16279069767441862
has_action&deal_over_tariff,oversold,20,0.03654488133121416,0.042275250855660196,0.75,0.25
has_action&deal_over_tariff,risk_off,12,0.03761165367003779,0.04431262807972203,0.6666666666666666,0.3333333333333333
has_action&pre_deal,calm_bull,17,0.008585625297251917,0.01826513011220543,0.7647058823529411,0.23529411764705882
has_action&pre_deal,neutral,24,0.025468324559288213,0.03274475911346664,0.8333333333333334,0.16666666666666666
has_action&pre_deal,oversold,11,0.04748657866255022,0.03695718646334534,0.9090909090909091,0.09090909090909091
has_action&pre_deal,risk_off,6,0.07836644695494858,0.08498086103376967,1.0,0.0
has_attack&deal_only,calm_bull,54,0.010280513780938375,0.015789751584402656,0.7222222222222222,0.2777777777777778
has_attack&deal_only,neutral,105,0.016744810508477835,0.020514641633852415,0.7714285714285715,0.22857142857142856
has_attack&deal_only,oversold,31,0.022930865717406608,0.04069356109386768,0.7419354838709677,0.25806451612903225
has_attack&deal_only,risk_off,16,0.022137666067014665,0.02662930311378564,0.6875,0.3125
has_attack&deal_over_tariff,calm_bull,63,0.007389875254564148,0.015385864270599736,0.6825396825396826,0.31746031746031744
has_attack&deal_over_tariff,neutral,125,0.01699218664535751,0.020514641633852415,0.776,0.224
has_attack&deal_over_tariff,oversold,35,0.022957100690038965,0.04069356109386768,0.7428571428571429,0.2571428571428571
has_attack&deal_over_tariff,risk_off,18,0.025131170838996575,0.029396421310732834,0.7222222222222222,0.2777777777777778
has_china&deal_only,calm_bull,21,0.008720110800060368,0.015064142997343044,0.7142857142857143,0.2857142857142857
has_china&deal_only,neutral,55,0.02454548110572219,0.028325399970188236,0.8545454545454545,0.14545454545454545
has_china&deal_only,oversold,17,0.033570085698214375,0.04197077936994398,0.8235294117647058,0.17647058823529413
has_china&deal_only,risk_off,9,0.049279669869276836,0.04335917087230157,0.8888888888888888,0.1111111111111111
has_china&deal_over_tariff,calm_bull,32,0.0029373660968855103,0.01062322705849017,0.625,0.375
has_china&deal_over_tariff,neutral,72,0.020180292038881095,0.0258567541264334,0.8055555555555556,0.19444444444444445
has_china&deal_over_tariff,oversold,21,0.029625463782181977,0.04197077936994398,0.7619047619047619,0.23809523809523808
has_china&deal_over_tariff,risk_off,10,0.05235761653255973,0.05447619161766937,0.9,0.1
has_china&has_exclamation,calm_bull,66,0.003920221515897353,0.009551512087798586,0.6363636363636364,0.36363636363636365
has_china&has_exclamation,neutral,173,0.01276411609424818,0.018635682457796232,0.7456647398843931,0.2543352601156069
has_china&has_exclamation,oversold,64,0.019403771392065908,0.03785503958860437,0.71875,0.28125
has_china&has_exclamation,risk_off,31,0.01876299529228609,0.04069356109386768,0.7741935483870968,0.22580645161290322
has_china&has_uppercase_phrase,calm_bull,29,0.006257604086762807,0.009823440685409635,0.7241379310344828,0.27586206896551724
has_china&has_uppercase_phrase,neutral,67,0.011997335226812612,0.019203673187303094,0.7164179104477612,0.2835820895522388
has_china&has_uppercase_phrase,oversold,26,0.043305541377305995,0.04537831942182735,0.8461538461538461,0.15384615384615385
has_china&has_uppercase_phrase,risk_off,14,0.04624597517654478,0.04717788746403406,0.8571428571428571,0.14285714285714285
has_china&short_posts,calm_bull,35,0.009168713513755726,0.015804090820806804,0.6571428571428571,0.34285714285714286
has_china&short_posts,neutral,78,0.016274619467807012,0.02356911154962127,0.7564102564102564,0.24358974358974358
has_china&short_posts,oversold,27,0.04969464518187614,0.04837230374738377,0.8888888888888888,0.1111111111111111
has_china&short_posts,risk_off,13,0.03405703717499468,0.06559321236303717,0.7692307692307693,0.23076923076923078
has_deal,calm_bull,106,0.0069537409525395125,0.012932092014527719,0.6886792452830188,0.3113207547169811
has_deal,neutral,193,0.013777557817753723,0.02049726945464969,0.7357512953367875,0.26424870466321243
has_deal,oversold,55,0.015961901541909723,0.036457700041911956,0.6727272727272727,0.32727272727272727
has_deal,risk_off,32,0.014689970912036405,0.022710346564706496,0.6875,0.3125
has_deal&deal_over_tariff,calm_bull,95,0.008244039658870026,0.014349675940528828,0.7052631578947368,0.29473684210526313
has_deal&deal_over_tariff,neutral,168,0.015298646129212966,0.021053758065921024,0.75,0.25
has_deal&deal_over_tariff,oversold,47,0.02260658149661414,0.04069356109386768,0.723404255319149,0.2765957446808511
has_deal&deal_over_tariff,risk_off,28,0.021674416741224344,0.03400748634784134,0.7142857142857143,0.2857142857142857
has_deal&has_night_post,calm_bull,63,0.01067921025551615,0.015064142997343044,0.746031746031746,0.25396825396825395
has_deal&has_night_post,neutral,111,0.017183492843475964,0.023628655053396175,0.7387387387387387,0.26126126126126126
has_deal&has_night_post,oversold,31,0.016072425114926826,0.045325535369021175,0.6451612903225806,0.3548387096774194
has_deal&has_night_post,risk_off,16,0.009056943918019755,0.030096694428115023,0.5625,0.4375
has_night_post&deal_only,calm_bull,45,0.014695337361962924,0.01784027213914019,0.8,0.2
has_night_post&deal_only,neutral,79,0.02051007228138507,0.02584527352195387,0.7721518987341772,0.22784810126582278
has_night_post&deal_only,oversold,23,0.024868087697675255,0.045325535369021175,0.6956521739130435,0.30434782608695654
has_night_post&deal_only,risk_off,14,0.01749435505719383,0.030096694428115023,0.5714285714285714,0.42857142857142855
has_night_post&deal_over_tariff,calm_bull,56,0.012159902436030445,0.016270946143140175,0.75,0.25
has_night_post&deal_over_tariff,neutral,96,0.02000949247315779,0.025756397619754345,0.7708333333333334,0.22916666666666666
has_night_post&deal_over_tariff,oversold,26,0.024865708555026608,0.04647693954577381,0.6923076923076923,0.3076923076923077
has_night_post&deal_over_tariff,risk_off,15,0.021665340486854624,0.047628343722526445,0.6,0.4
has_relief&has_action,calm_bull,5,0.020844932192248943,0.02485604426308141,1.0,0.0
has_relief&has_action,neutral,11,0.019151287792109242,0.01088620997198464,0.8181818181818182,0.18181818181818182
has_relief&has_action,oversold,10,0.06157752240145355,0.06479884552213167,0.8,0.2
has_relief&has_action,risk_off,5,0.07213631957543365,0.0837744918989809,0.8,0.2
lots_of_excl&deal_only,calm_bull,76,0.008788153394367684,0.014554016311013718,0.7105263157894737,0.2894736842105263
lots_of_excl&deal_only,neutral,126,0.015923237444134482,0.021530962850653368,0.746031746031746,0.25396825396825395
lots_of_excl&deal_only,oversold,37,0.020903750549887332,0.04069356109386768,0.7027027027027027,0.2972972972972973
lots_of_excl&deal_only,risk_off,21,0.013050745583305042,0.0125650451337036,0.6190476190476191,0.38095238095238093
lots_of_excl&deal_over_tariff,calm_bull,88,0.007109669922096621,0.012932092014527719,0.6818181818181818,0.3181818181818182
lots_of_excl&deal_over_tariff,neutral,149,0.015879977628996483,0.021120628048367784,0.7516778523489933,0.2483221476510067
lots_of_excl&deal_over_tariff,oversold,42,0.020070984153085867,0.03882537377860651,0.6904761904761905,0.30952380952380953
lots_of_excl&deal_over_tariff,risk_off,23,0.01618365544691781,0.018099281527597988,0.6521739130434783,0.34782608695652173
positive_heavy&deal_only,calm_bull,60,0.009403230270141217,0.01522500363397139,0.7333333333333333,0.26666666666666666
positive_heavy&deal_only,neutral,103,0.01574316839917606,0.021128440117377023,0.7281553398058253,0.27184466019417475
positive_heavy&deal_only,oversold,32,0.021627424790386034,0.04266497512112277,0.71875,0.28125
positive_heavy&deal_only,risk_off,19,0.01332228799630565,0.0125650451337036,0.631578947368421,0.3684210526315789
positive_heavy&deal_over_tariff,calm_bull,72,0.007249237658069885,0.013763132265257605,0.6944444444444444,0.3055555555555556
positive_heavy&deal_over_tariff,neutral,126,0.015724881697417977,0.021053758065921024,0.7380952380952381,0.2619047619047619
positive_heavy&deal_over_tariff,oversold,36,0.02065335766245917,0.04266497512112277,0.6944444444444444,0.3055555555555556
positive_heavy&deal_over_tariff,risk_off,20,0.016659130421595652,0.02662930311378564,0.65,0.35
posts_high&deal_only,calm_bull,53,0.011657651727766793,0.016890555643487293,0.7735849056603774,0.22641509433962265
posts_high&deal_only,neutral,78,0.019492314535118037,0.027181240605244628,0.7435897435897436,0.2564102564102564
posts_high&deal_only,oversold,26,0.028727521534544963,0.05045190158483548,0.7692307692307693,0.23076923076923078
posts_high&deal_only,risk_off,14,0.013379314219882603,0.04416095240819706,0.5714285714285714,0.42857142857142855
posts_high&deal_over_tariff,calm_bull,62,0.009347230129321498,0.016270946143140175,0.7258064516129032,0.27419354838709675
posts_high&deal_over_tariff,neutral,97,0.018178511266402162,0.02584527352195387,0.7422680412371134,0.25773195876288657
posts_high&deal_over_tariff,oversold,30,0.026611961415144873,0.05045190158483548,0.7333333333333333,0.26666666666666666
posts_high&deal_over_tariff,risk_off,15,0.017824635705364144,0.047628343722526445,0.6,0.4
posts_very_high&deal_heavy,calm_bull,23,0.009259453631999068,0.01826513011220543,0.7391304347826086,0.2608695652173913
