event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&deal_over_tariff,neutral,67,-0.006301879408205541,-0.010220134568541428,0.2835820895522388,0.7014925373134329
attack_heavy&deal_over_tariff,oversold,69,-0.008172758630082157,-0.00835655977368277,0.3188405797101449,0.6811594202898551
attack_heavy&deal_over_tariff,risk_off,6,-0.019151599875700143,-0.025434495283889413,0.3333333333333333,0.6666666666666666
attack_heavy&has_china,neutral,69,-0.006076262486599666,-0.010951392961805029,0.2318840579710145,0.7536231884057971
attack_heavy&has_china,oversold,75,-0.008716095129087525,-0.009212701888027475,0.30666666666666664,0.6933333333333334
attack_heavy&has_china,risk_off,8,-0.016247421915700597,-0.023154270269514388,0.375,0.625
deal_heavy&deal_only,neutral,54,-0.01321501781641418,-0.011244921959779941,0.24074074074074073,0.7407407407407407
deal_heavy&deal_only,oversold,35,-0.009987864264715426,-0.012404500614974223,0.2571428571428571,0.7428571428571429
deal_heavy&deal_only,risk_off,6,-0.02026065553971218,-0.01926026002070369,0.16666666666666666,0.8333333333333334
deal_heavy&deal_over_tariff,neutral,79,-0.011647729657473507,-0.011538450957754853,0.24050632911392406,0.7468354430379747
deal_heavy&deal_over_tariff,oversold,54,-0.005693826235478138,-0.007617869281147882,0.35185185185185186,0.6481481481481481
deal_heavy&deal_over_tariff,risk_off,8,-0.022646018834667547,-0.02145781068562419,0.125,0.875
deal_heavy&has_attack,neutral,69,-0.0121089220320474,-0.011538450957754853,0.2608695652173913,0.7246376811594203
deal_heavy&has_attack,oversold,47,-0.006598908042501644,-0.007936500427734416,0.3404255319148936,0.6595744680851063
deal_heavy&has_attack,risk_off,7,-0.025540761198458113,-0.03561638323668703,0.14285714285714285,0.8571428571428571
deal_heavy&has_positive,neutral,86,-0.010741996718820557,-0.011506905472204842,0.27906976744186046,0.7209302325581395
deal_heavy&has_positive,oversold,55,-0.004511434807899946,-0.007299238134561348,0.36363636363636365,0.6363636363636364
deal_heavy&has_positive,risk_off,8,-0.022646018834667547,-0.02145781068562419,0.125,0.875
deal_heavy&short_posts,neutral,28,-0.018686733908641152,-0.010479019390195798,0.14285714285714285,0.8571428571428571
deal_heavy&short_posts,oversold,33,-0.007705797294371765,-0.009193069758792527,0.3333333333333333,0.6666666666666666
deal_heavy&short_posts,risk_off,5,-0.020251559571832823,-0.007299238134561348,0.2,0.8
has_action&deal_only,neutral,35,-0.008417781668953614,-0.00980397573383407,0.3142857142857143,0.6571428571428571
has_action&deal_only,oversold,33,-0.015240075992270403,-0.010989065691980104,0.2727272727272727,0.7272727272727273
has_action&deal_only,risk_off,7,-0.023011297331814458,-0.03561638323668703,0.2857142857142857,0.7142857142857143
