event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
silence_day&volume_drop,143,0.016397256430157027,0.013985952123011014,0.05557958342721465,0.6153846153846154,0.3706293706293706,long,0.6153846153846154,0.12066625714665462
silence_day,224,0.013169273207102329,0.01111106230568737,0.05335542971453275,0.5844748858447488,0.3972602739726027,long,0.5844748858447488,0.11519978578714554
has_attack&short_posts,295,0.008935693454881138,0.00668446977028192,0.04080658704923562,0.5864406779661017,0.4,long,0.5864406779661017,0.090004320343465
has_market_brag&volume_spike,36,0.018599668892708553,0.020127935226374016,0.04874163758350797,0.75,0.25,long,0.75,0.08369851001718849
has_action&attack_heavy,102,0.012141971478755833,0.013167007949264287,0.03949084707407095,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.08175193394076402
attack_heavy&pre_action,45,0.01665100256875633,0.01569195869836193,0.04413600880052413,0.7111111111111111,0.28888888888888886,long,0.7111111111111111,0.07942991709282723
has_china&has_all_caps,87,0.012397322734445337,0.008498640326434881,0.04462997661761957,0.5977011494252874,0.3793103448275862,long,0.5977011494252874,0.06911489053054776
has_attack&has_all_caps,146,0.01027837866431056,0.005211113387287969,0.04062293454118993,0.5547945205479452,0.4246575342465753,long,0.5547945205479452,0.06890221833373371
posts_very_high&has_action,97,0.010586447137476657,0.012820479303039312,0.03922278060094641,0.6597938144329897,0.3402061855670103,long,0.6597938144329897,0.06879301442193089
short_posts,525,0.005353005608440305,0.00475069838148845,0.0429589567504937,0.5580952380952381,0.41904761904761906,long,0.5580952380952381,0.06845192519130329
deal_only&china_streak_3d,27,0.02066105161124729,0.01999993456521043,0.038317205837019315,0.6296296296296297,0.37037037037037035,long,0.6296296296296297,0.06759576102046812
attack_heavy&short_posts,150,0.008809120253237447,0.007727236706536855,0.03896140582010487,0.6133333333333333,0.36666666666666664,long,0.6133333333333333,0.06617207242329594
exclamation_heavy&short_posts,410,0.005889394004278217,0.0043477679902372834,0.04027887669794456,0.5536585365853659,0.4268292682926829,long,0.5536585365853659,0.06602441147544326
has_action&short_posts,103,0.010233834017087213,0.012387294960106932,0.04038081634514972,0.6310679611650486,0.36893203883495146,long,0.6310679611650486,0.06554402585191327
has_action&has_attack,148,0.008678332874976592,0.01021028512523836,0.0422642392322771,0.6148648648648649,0.38513513513513514,long,0.6148648648648649,0.06491526569459484
posts_very_high&has_market_brag,61,0.011728162193410841,0.010781768515276235,0.04087474494927814,0.7049180327868853,0.29508196721311475,long,0.7049180327868853,0.06457040366742477
attack_heavy&has_positive,294,0.0065477772935398125,0.0056011406872436,0.03948718081528351,0.5748299319727891,0.41496598639455784,long,0.5748299319727891,0.06453672740084973
has_china&uppercase_phrase_heavy,34,0.014710463961269894,0.01917649693369816,0.03700410160844705,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.06307059390369132
has_positive&short_posts,424,0.005547277040193123,0.004338466414683051,0.03986878570051745,0.5518867924528302,0.4221698113207547,long,0.5518867924528302,0.06303950363550798
has_attack&china_streak_3d,63,0.012969756722799748,0.012820479303039312,0.04419844983573301,0.6031746031746031,0.38095238095238093,long,0.6031746031746031,0.06209335868735126
attack_heavy&deal_over_tariff,142,0.00847951115702848,0.008364532747107911,0.038001432613112805,0.6126760563380281,0.38028169014084506,long,0.6126760563380281,0.06190787490688968
posts_high&china_streak_3d,50,0.01408129891041588,0.01516291118578239,0.03619431589123506,0.62,0.36,long,0.62,0.06173328807431284
has_action&volume_spike,65,0.011831808105431772,0.013513536595489262,0.0401115082356775,0.6461538461538462,0.35384615384615387,long,0.6461538461538462,0.06163731747884235
attack_heavy&deal_only,116,0.009212839182467998,0.00851757348966753,0.03843356426396062,0.6206896551724138,0.3793103448275862,long,0.6206896551724138,0.0615881263521308
has_exclamation&short_posts,472,0.005116528824758405,0.0043477679902372834,0.04224826275622889,0.5529661016949152,0.423728813559322,long,0.5529661016949152,0.061467412710021326
lots_of_excl&short_posts,363,0.005815512207317021,0.004390765271960806,0.04030325729894579,0.5537190082644629,0.4297520661157025,long,0.5537190082644629,0.06135228138294341
attack_heavy&positive_heavy,258,0.00667702630156329,0.0056011406872436,0.0405198568897435,0.5697674418604651,0.4186046511627907,long,0.5697674418604651,0.061106944540206064
has_attack&uppercase_phrase_heavy,42,0.013568973225728214,0.015842640306229838,0.03432121784007036,0.6904761904761905,0.30952380952380953,long,0.6904761904761905,0.06071840270399807
attack_heavy&has_market_brag,76,0.010568961436076168,0.010703504826534704,0.043071684295608294,0.6578947368421053,0.34210526315789475,long,0.6578947368421053,0.06061715110267702
posts_high&has_market_brag,105,0.009111997617350674,0.010335985750774324,0.039529762506450614,0.6476190476190476,0.3523809523809524,long,0.6476190476190476,0.06046831414845981
deal_heavy&deal_only,88,0.010883290116806598,0.012834042887500341,0.04359964616751761,0.5909090909090909,0.4090909090909091,long,0.5909090909090909,0.06032845647943665
has_night_post&short_posts,441,0.0051451369918265565,0.004414925968148298,0.0429840652783454,0.5555555555555556,0.41950113378684806,long,0.5555555555555556,0.06002659823797649
has_russia&deal_only,96,0.01010812919138674,0.008830417953698433,0.042355693406526104,0.6041666666666666,0.375,long,0.6041666666666666,0.05983608370148683
uppercase_phrase_heavy&deal_over_tariff,24,0.017013647931938065,0.024918013782361914,0.0413239676310793,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.0590392378035259
has_deal&uppercase_phrase_heavy,27,0.015711561934035466,0.02155705172361877,0.03930420984063135,0.7037037037037037,0.2962962962962963,long,0.7037037037037037,0.05745013857603074
has_action&positive_heavy,149,0.007636873294573045,0.010935639393768515,0.04291483710281114,0.6040268456375839,0.3959731543624161,long,0.6040268456375839,0.056307333382862826
posts_high&has_action,133,0.007820486150216775,0.01215454917951142,0.04000354500580367,0.6240601503759399,0.37593984962406013,long,0.6240601503759399,0.05628413851123965
positive_heavy&uppercase_phrase_heavy,38,0.012814789537866156,0.016119988351194214,0.03574058348735829,0.7105263157894737,0.2894736842105263,long,0.7105263157894737,0.05612850099875544
has_action&has_uppercase_phrase,91,0.009259852360796362,0.012209866559979465,0.045061886100116307,0.6263736263736264,0.37362637362637363,long,0.6263736263736264,0.055329688074606954
