event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&deal_over_tariff,115,0.014602307551032473,0.015058475037589503,0.03199553310003773,0.7043478260869566,0.2956521739130435,long,0.7043478260869566,0.11029544822220715
posts_very_high&deal_only,96,0.015438665614825512,0.015933634662170904,0.031724212192503785,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.10714775035302758
short_posts&deal_over_tariff,151,0.01236161415379985,0.012059713796074067,0.030175642527400202,0.695364238410596,0.304635761589404,long,0.695364238410596,0.10562725876651756
deal_over_tariff&deal_only,273,0.009476437926768116,0.011869482180230762,0.028124654859543192,0.673992673992674,0.326007326007326,long,0.673992673992674,0.10553138106628747
exclamation_heavy&china_streak_3d,68,0.017392207369939097,0.014550882275702448,0.02730121885161458,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.1054557471307424
posts_high&deal_only,159,0.0117712019897808,0.013279803951801616,0.02976821925151673,0.6981132075471698,0.3018867924528302,long,0.6981132075471698,0.10362039148222701
deal_over_tariff,314,0.008598537289428476,0.011020939736040791,0.02863765635116166,0.6687898089171974,0.33121019108280253,long,0.6687898089171974,0.10190114166381661
has_positive,931,0.0051968665481222885,0.008136252311871539,0.02863378303479979,0.631578947368421,0.3684210526315789,long,0.631578947368421,0.10014840804904723
has_exclamation&exclamation_heavy,900,0.0051794632652086454,0.00813006380432868,0.02908091170159143,0.6377777777777778,0.3622222222222222,long,0.6377777777777778,0.09910039714099209
short_posts&china_streak_3d,39,0.02092291481028085,0.020360297016223772,0.029479106296029175,0.7435897435897436,0.2564102564102564,long,0.7435897435897436,0.09716008390295024
posts_high&deal_over_tariff,191,0.010223592322911939,0.012804651749793061,0.03034429171971429,0.6858638743455497,0.31413612565445026,long,0.6858638743455497,0.09690766631435346
has_positive&short_posts,464,0.006954254968635519,0.008691522807146246,0.029553401931707055,0.6400862068965517,0.3599137931034483,long,0.6400862068965517,0.09588442506663852
lots_of_excl&deal_only,242,0.009104611195961558,0.011716416193608747,0.027881182445810594,0.6652892561983471,0.3347107438016529,long,0.6652892561983471,0.09422791845397746
