event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_china&china_streak_3d,33,0.03692894090018139,0.032072836781867675,0.04651718189905805,0.7878787878787878,0.21212121212121213,long,0.7878787878787878,0.1671410901895819
posts_low,461,0.012244607903630885,0.014271845344772549,0.04644039717463534,0.6337719298245614,0.36622807017543857,long,0.6337719298245614,0.166620466287459
exclamation_heavy&china_streak_3d,68,0.026548000139290873,0.0246697891483596,0.04602272435542301,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.16097089518118918
lots_of_excl&china_streak_3d,66,0.026621207200848686,0.0246697891483596,0.04672050192736746,0.7272727272727273,0.2727272727272727,long,0.7272727272727273,0.15728851612906627
has_positive&china_streak_3d,68,0.026190772217383872,0.0246697891483596,0.046270094050368915,0.7205882352941176,0.27941176470588236,long,0.7205882352941176,0.15562878509322184
silence_day,262,0.014956061110942854,0.01575715608289263,0.049177594071001314,0.6303501945525292,0.36964980544747084,long,0.6303501945525292,0.1525983254565175
posts_low&silence_day,262,0.014956061110942854,0.01575715608289263,0.049177594071001314,0.6303501945525292,0.36964980544747084,long,0.6303501945525292,0.1525983254565175
china_streak_3d,72,0.025009811075334724,0.02397486193561804,0.045841017392512805,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.15031915956429062
has_exclamation&china_streak_3d,72,0.025009811075334724,0.02397486193561804,0.045841017392512805,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.15031915956429062
short_posts&china_streak_3d,39,0.0332311084182784,0.027110152366476514,0.050336945572002495,0.717948717948718,0.28205128205128205,long,0.717948717948718,0.14899460911763707
has_uppercase_phrase&china_streak_3d,33,0.0329869972028847,0.022108493377863914,0.04481616920180171,0.7575757575757576,0.24242424242424243,long,0.7575757575757576,0.14355747875238323
posts_very_high&deal_only,96,0.020361438761300133,0.019607012566905002,0.040949085334195785,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.14131288361665206
positive_heavy&china_streak_3d,59,0.02578111954562744,0.023789522301840504,0.047356320095229755,0.711864406779661,0.288135593220339,long,0.711864406779661,0.14096946685549008
posts_high&china_streak_3d,41,0.02957245792786181,0.023789522301840504,0.048427258245953404,0.7073170731707317,0.2926829268292683,long,0.7073170731707317,0.1339348180837146
short_posts,574,0.008628325767352753,0.012005797681990504,0.04171994393092418,0.6393728222996515,0.3606271777003484,long,0.6393728222996515,0.13217114485280043
has_attack&deal_only,192,0.013996668931678708,0.014600866381241473,0.037187777235411064,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.12929568920740436
has_positive&short_posts,464,0.00930148218164835,0.012475833076274534,0.039673774668688065,0.6443965517241379,0.35560344827586204,long,0.6443965517241379,0.1291113304753587
has_positive,931,0.006942947552287297,0.010019374918221802,0.0394926958023877,0.6047261009667024,0.3952738990332975,long,0.6047261009667024,0.12810835038088178
posts_very_high&deal_over_tariff,115,0.017820311298316342,0.018606329018705292,0.042460354046340354,0.6695652173913044,0.33043478260869563,long,0.6695652173913044,0.12795494996914766
has_exclamation,1016,0.0065777619108916136,0.009620162987574843,0.0397929976613814,0.6053149606299213,0.39468503937007876,long,0.6053149606299213,0.1269130880460225
has_china&deal_only,93,0.019113308122015563,0.014132779746640178,0.03750632962761764,0.6881720430107527,0.3118279569892473,long,0.6881720430107527,0.12684529439378459
has_positive&has_exclamation,924,0.006882170125680314,0.009940921922800161,0.039546005003199956,0.6028138528138528,0.3971861471861472,long,0.6028138528138528,0.12610857365252084
has_deal&deal_only,273,0.011770665677374993,0.013003694749806227,0.0384954228474272,0.6446886446886447,0.3553113553113553,long,0.6446886446886447,0.12538118464585163
has_exclamation&deal_only,273,0.011770665677374993,0.013003694749806227,0.0384954228474272,0.6446886446886447,0.3553113553113553,long,0.6446886446886447,0.12538118464585163
deal_only,273,0.011770665677374993,0.013003694749806227,0.0384954228474272,0.6446886446886447,0.3553113553113553,long,0.6446886446886447,0.12538118464585163
deal_over_tariff&deal_only,273,0.011770665677374993,0.013003694749806227,0.0384954228474272,0.6446886446886447,0.3553113553113553,long,0.6446886446886447,0.12538118464585163
has_night_post&china_streak_3d,47,0.02598070753831801,0.023789522301840504,0.048016896431328865,0.7021276595744681,0.2978723404255319,long,0.7021276595744681,0.12505929757813936
has_exclamation&short_posts,527,0.00841792928662765,0.011514790118863028,0.040675632227008617,0.6413662239089184,0.3586337760910816,long,0.6413662239089184,0.12394147659691503
deal_over_tariff&china_streak_3d,20,0.03942670779862385,0.02612659444175036,0.05820237457885371,0.7,0.3,long,0.7,0.12342511827344163
exclamation_heavy&deal_only,259,0.011805328131847143,0.013175893120087157,0.038705739119661194,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.1232359628447345
posts_high&deal_only,159,0.014376307041468249,0.01369300056927858,0.038852039447172707,0.6792452830188679,0.32075471698113206,long,0.6792452830188679,0.12313245343687901
pre_deal&deal_only,131,0.015646939859948514,0.01369300056927858,0.03847971690495171,0.6870229007633588,0.31297709923664124,long,0.6870229007633588,0.1230371534697148
exclamation_heavy&short_posts,450,0.009009720141558332,0.01224693107762076,0.04120685824934506,0.6422222222222222,0.35777777777777775,long,0.6422222222222222,0.12274473908740648
short_posts&deal_over_tariff,151,0.015275914972999757,0.01341335556688139,0.040852520502139916,0.6423841059602649,0.3576158940397351,long,0.6423841059602649,0.12058422403130847
has_attack&china_streak_3d,53,0.024381763712514076,0.022108493377863914,0.047283521510696695,0.6792452830188679,0.32075471698113206,long,0.6792452830188679,0.12056734129012613
short_posts&deal_only,138,0.015540276572730985,0.014025108399080777,0.04036777748342807,0.6594202898550725,0.34057971014492755,long,0.6594202898550725,0.12038173349324335
has_night_post&deal_only,148,0.015217624285967374,0.013553990125616311,0.03993859899883273,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.12008457704670945
has_positive&deal_only,259,0.011405168060932187,0.013003694749806227,0.03863505437657068,0.640926640926641,0.3590733590733591,long,0.640926640926641,0.11764132171314819
posts_very_high&china_streak_3d,25,0.034466080772520766,0.028556231590156855,0.05510092647122028,0.68,0.32,long,0.68,0.11718467462657062
has_positive&exclamation_heavy,860,0.006651914339342841,0.009940921922800161,0.04022304298448365,0.6,0.4,long,0.6,0.11704345249271672
lots_of_excl&deal_only,242,0.01166320057138041,0.012937918671518611,0.038687413603056844,0.6446280991735537,0.35537190082644626,long,0.6446280991735537,0.11695927285822334
attack_heavy&deal_only,107,0.016118255181881848,0.017022749889327393,0.03355063462912732,0.7009345794392523,0.29906542056074764,long,0.7009345794392523,0.11686579068055898
has_exclamation&exclamation_heavy,900,0.006457895600220659,0.009747334835429,0.04025276340535856,0.6011111111111112,0.3988888888888889,long,0.6011111111111112,0.1164573839906459
exclamation_heavy,900,0.006457895600220659,0.009747334835429,0.04025276340535856,0.6011111111111112,0.3988888888888889,long,0.6011111111111112,0.1164573839906459
pre_deal&pre_action,27,0.030075489469918167,0.020429472107827085,0.04819312533386708,0.7407407407407407,0.25925925925925924,long,0.7407407407407407,0.11576061294311339
pre_deal&short_posts,81,0.01774858528076052,0.015905511439435527,0.0390015767660493,0.7160493827160493,0.2839506172839506,long,0.7160493827160493,0.11437977180934555
has_iran&deal_only,58,0.019717287131223026,0.022797606651028035,0.03206226042550746,0.7586206896551724,0.2413793103448276,long,0.7586206896551724,0.11391629211035954
pre_deal&exclamation_heavy,170,0.01300440797736105,0.015063210639431834,0.039077714760346514,0.6705882352941176,0.32941176470588235,long,0.6705882352941176,0.11370275206028645
has_attack&deal_over_tariff,225,0.011819123100565258,0.013414979681954042,0.038846014762348266,0.64,0.36,long,0.64,0.11346358176542648
deal_over_tariff,314,0.010216105767618215,0.012589896544879298,0.039604137899793314,0.6242038216560509,0.37579617834394907,long,0.6242038216560509,0.11299952759034204
has_exclamation&deal_over_tariff,314,0.010216105767618215,0.012589896544879298,0.039604137899793314,0.6242038216560509,0.37579617834394907,long,0.6242038216560509,0.11299952759034204
has_deal&deal_over_tariff,314,0.010216105767618215,0.012589896544879298,0.039604137899793314,0.6242038216560509,0.37579617834394907,long,0.6242038216560509,0.11299952759034204
