event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_china&china_streak_3d,33,0.03692894090018139,0.032072836781867675,0.04651718189905805,0.7878787878787878,0.21212121212121213,long,0.7878787878787878,0.1671410901895819
posts_low,461,0.012244607903630885,0.014271845344772549,0.04644039717463534,0.6337719298245614,0.36622807017543857,long,0.6337719298245614,0.166620466287459
exclamation_heavy&china_streak_3d,68,0.026548000139290873,0.0246697891483596,0.04602272435542301,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.16097089518118918
posts_low&silence_day,262,0.014956061110942854,0.01575715608289263,0.049177594071001314,0.6303501945525292,0.36964980544747084,long,0.6303501945525292,0.1525983254565175
short_posts&china_streak_3d,39,0.0332311084182784,0.027110152366476514,0.050336945572002495,0.717948717948718,0.28205128205128205,long,0.717948717948718,0.14899460911763707
has_uppercase_phrase&china_streak_3d,33,0.0329869972028847,0.022108493377863914,0.04481616920180171,0.7575757575757576,0.24242424242424243,long,0.7575757575757576,0.14355747875238323
posts_very_high&deal_only,96,0.020361438761300133,0.019607012566905002,0.040949085334195785,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.14131288361665206
positive_heavy&china_streak_3d,59,0.02578111954562744,0.023789522301840504,0.047356320095229755,0.711864406779661,0.288135593220339,long,0.711864406779661,0.14096946685549008
posts_high&china_streak_3d,41,0.02957245792786181,0.023789522301840504,0.048427258245953404,0.7073170731707317,0.2926829268292683,long,0.7073170731707317,0.1339348180837146
short_posts,574,0.008628325767352753,0.012005797681990504,0.04171994393092418,0.6393728222996515,0.3606271777003484,long,0.6393728222996515,0.13217114485280043
has_attack&deal_only,192,0.013996668931678708,0.014600866381241473,0.037187777235411064,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.12929568920740436
has_positive&short_posts,464,0.00930148218164835,0.012475833076274534,0.039673774668688065,0.6443965517241379,0.35560344827586204,long,0.6443965517241379,0.1291113304753587
has_positive,931,0.006942947552287297,0.010019374918221802,0.0394926958023877,0.6047261009667024,0.3952738990332975,long,0.6047261009667024,0.12810835038088178
posts_very_high&deal_over_tariff,115,0.017820311298316342,0.018606329018705292,0.042460354046340354,0.6695652173913044,0.33043478260869563,long,0.6695652173913044,0.12795494996914766
has_china&deal_only,93,0.019113308122015563,0.014132779746640178,0.03750632962761764,0.6881720430107527,0.3118279569892473,long,0.6881720430107527,0.12684529439378459
has_deal&deal_only,273,0.011770665677374993,0.013003694749806227,0.0384954228474272,0.6446886446886447,0.3553113553113553,long,0.6446886446886447,0.12538118464585163
has_night_post&china_streak_3d,47,0.02598070753831801,0.023789522301840504,0.048016896431328865,0.7021276595744681,0.2978723404255319,long,0.7021276595744681,0.12505929757813936
deal_over_tariff&china_streak_3d,20,0.03942670779862385,0.02612659444175036,0.05820237457885371,0.7,0.3,long,0.7,0.12342511827344163
posts_high&deal_only,159,0.014376307041468249,0.01369300056927858,0.038852039447172707,0.6792452830188679,0.32075471698113206,long,0.6792452830188679,0.12313245343687901
pre_deal&deal_only,131,0.015646939859948514,0.01369300056927858,0.03847971690495171,0.6870229007633588,0.31297709923664124,long,0.6870229007633588,0.1230371534697148
exclamation_heavy&short_posts,450,0.009009720141558332,0.01224693107762076,0.04120685824934506,0.6422222222222222,0.35777777777777775,long,0.6422222222222222,0.12274473908740648
short_posts&deal_over_tariff,151,0.015275914972999757,0.01341335556688139,0.040852520502139916,0.6423841059602649,0.3576158940397351,long,0.6423841059602649,0.12058422403130847
has_attack&china_streak_3d,53,0.024381763712514076,0.022108493377863914,0.047283521510696695,0.6792452830188679,0.32075471698113206,long,0.6792452830188679,0.12056734129012613
has_night_post&deal_only,148,0.015217624285967374,0.013553990125616311,0.03993859899883273,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.12008457704670945
posts_very_high&china_streak_3d,25,0.034466080772520766,0.028556231590156855,0.05510092647122028,0.68,0.32,long,0.68,0.11718467462657062
lots_of_excl&deal_only,242,0.01166320057138041,0.012937918671518611,0.038687413603056844,0.6446280991735537,0.35537190082644626,long,0.6446280991735537,0.11695927285822334
attack_heavy&deal_only,107,0.016118255181881848,0.017022749889327393,0.03355063462912732,0.7009345794392523,0.29906542056074764,long,0.7009345794392523,0.11686579068055898
has_exclamation&exclamation_heavy,900,0.006457895600220659,0.009747334835429,0.04025276340535856,0.6011111111111112,0.3988888888888889,long,0.6011111111111112,0.1164573839906459
pre_deal&pre_action,27,0.030075489469918167,0.020429472107827085,0.04819312533386708,0.7407407407407407,0.25925925925925924,long,0.7407407407407407,0.11576061294311339
pre_deal&short_posts,81,0.01774858528076052,0.015905511439435527,0.0390015767660493,0.7160493827160493,0.2839506172839506,long,0.7160493827160493,0.11437977180934555
has_iran&deal_only,58,0.019717287131223026,0.022797606651028035,0.03206226042550746,0.7586206896551724,0.2413793103448276,long,0.7586206896551724,0.11391629211035954
pre_deal&exclamation_heavy,170,0.01300440797736105,0.015063210639431834,0.039077714760346514,0.6705882352941176,0.32941176470588235,long,0.6705882352941176,0.11370275206028645
has_attack&deal_over_tariff,225,0.011819123100565258,0.013414979681954042,0.038846014762348266,0.64,0.36,long,0.64,0.11346358176542648
deal_over_tariff,314,0.010216105767618215,0.012589896544879298,0.039604137899793314,0.6242038216560509,0.37579617834394907,long,0.6242038216560509,0.11299952759034204
deal_heavy&deal_only,100,0.017283848721314027,0.016801396270827995,0.04266382139769334,0.65,0.35,long,0.65,0.11234501668854117
positive_heavy&deal_only,198,0.012117801464570544,0.012937918671518611,0.04064537292069396,0.6515151515151515,0.3484848484848485,long,0.6515151515151515,0.11109152997476472
pre_deal&deal_over_tariff,156,0.013306671846473645,0.013553990125616311,0.039339707390278936,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.11080018539542964
has_action&china_streak_3d,22,0.03239441176737537,0.03150980460709163,0.05336635877712746,0.7272727272727273,0.2727272727272727,long,0.7272727272727273,0.11050418871556873
has_night_post&short_posts,258,0.010534300263225351,0.012822239234614119,0.043878765855496306,0.6511627906976745,0.3488372093023256,long,0.6511627906976745,0.11018059714980365
has_positive&lots_of_excl,779,0.006593693793499825,0.009392463712701637,0.0408662593273501,0.5930680359435173,0.4069319640564827,long,0.5930680359435173,0.10914454171764154
posts_very_high&pre_action,34,0.025415133929162833,0.025866906483861585,0.04983325679684853,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.10896648775146994
attack_heavy&deal_over_tariff,131,0.014162355677373022,0.015551741775486683,0.035758430326373325,0.6717557251908397,0.3282442748091603,long,0.6717557251908397,0.10888862694333616
volume_drop,326,0.009892695119904257,0.012745098859591963,0.042038729803317215,0.6073619631901841,0.39263803680981596,long,0.6073619631901841,0.10848533017920546
has_deal&china_streak_3d,24,0.03295570868392351,0.02612659444175036,0.05862471683531871,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.10763289384989484
posts_high&attack_heavy,229,0.010999483606144743,0.013176307232049433,0.03947180501387019,0.6462882096069869,0.3537117903930131,long,0.6462882096069869,0.10757621776265083
lots_of_excl&deal_over_tariff,282,0.010243487930086862,0.012589896544879298,0.03964724546970585,0.624113475177305,0.375886524822695,long,0.624113475177305,0.10735838597611023
has_attack&short_posts,310,0.009506390159899262,0.011808127847568128,0.042306427040232256,0.6387096774193548,0.36129032258064514,long,0.6387096774193548,0.10690548248723572
lots_of_excl&short_posts,384,0.008636708535760802,0.011591673043417239,0.043265932861985636,0.6276041666666666,0.3723958333333333,long,0.6276041666666666,0.10621838503563988
attack_heavy&has_exclamation,277,0.010084743380611091,0.012872142593230995,0.038586217080908015,0.631768953068592,0.36823104693140796,long,0.631768953068592,0.10603836326832786
has_positive&has_night_post,466,0.008152264524939628,0.01136357907610619,0.04206001586767793,0.6008583690987125,0.39914163090128757,long,0.6008583690987125,0.10574098124827093
posts_very_high&has_deal,138,0.013881887095340101,0.015603395401827425,0.04296506874712311,0.644927536231884,0.35507246376811596,long,0.644927536231884,0.1051717187375583
has_night_post&deal_over_tariff,179,0.012541238717759083,0.012823705494955595,0.04172244173534316,0.6201117318435754,0.37988826815642457,long,0.6201117318435754,0.10404875735897996
