event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_night_post&deal_only,168,0.004896854739210145,0.006141245432689346,0.017398258200479723,0.6488095238095238,0.35119047619047616,long,0.6488095238095238,0.041180259434314
has_deal&has_market_brag,79,0.006406299270381239,0.006302531244670728,0.015592295563925654,0.7215189873417721,0.27848101265822783,long,0.7215189873417721,0.04108360385325773
has_attack&short_posts,290,0.00393114176873484,0.0042271868941790025,0.016941637956445068,0.603448275862069,0.39655172413793105,long,0.603448275862069,0.04039780381664812
deal_over_tariff&tariff_streak_3d,20,0.011274151398524673,0.007792073405853306,0.02450615135827834,0.75,0.25,long,0.75,0.03781465337358824
posts_high&has_market_brag,107,0.005139616447168238,0.0061351275440442166,0.015383818090831109,0.7102803738317757,0.2897196261682243,long,0.7102803738317757,0.037761776169743445
posts_very_high&has_market_brag,63,0.006493297730625807,0.007963576638505332,0.0162545462586736,0.7301587301587301,0.2698412698412698,long,0.7301587301587301,0.03763161644100258
has_attack&has_night_post,561,0.0027061600335452625,0.00344814882402944,0.01664058118846399,0.5793226381461676,0.4206773618538324,long,0.5793226381461676,0.03713260400483774
has_market_brag&has_all_caps,53,0.006577440518582924,0.009070396566444039,0.015219409853469349,0.7735849056603774,0.22641509433962265,long,0.7735849056603774,0.037042718497831834
has_attack&has_market_brag,133,0.0044896695054154525,0.00506779901083676,0.015853225833695535,0.6917293233082706,0.3082706766917293,long,0.6917293233082706,0.035815942129730306
silence_day&volume_drop,140,0.0054297995110464976,0.005365929044917395,0.0228084600684894,0.5571428571428572,0.44285714285714284,long,0.5571428571428572,0.03579434164085338
has_attack&lots_of_excl,567,0.0025847926479821348,0.003384017541575801,0.016799414111723747,0.5784832451499118,0.42151675485008816,long,0.5784832451499118,0.03560475682874702
posts_high&deal_only,109,0.0053084376886105835,0.0061599495899269385,0.019675975027568935,0.6330275229357798,0.3669724770642202,long,0.6330275229357798,0.03508347194610783
posts_very_high&deal_only,69,0.006583464912271134,0.005890868390585835,0.021397949473429326,0.6376811594202898,0.36231884057971014,long,0.6376811594202898,0.03487246574785552
has_night_post&deal_over_tariff,225,0.003785335232424172,0.004640360686426703,0.018337169796318997,0.6133333333333333,0.38666666666666666,long,0.6133333333333333,0.034825084138302376
posts_high&deal_over_tariff,156,0.0046239593605090674,0.006006704833018794,0.019656210429449292,0.6025641025641025,0.3974358974358974,long,0.6025641025641025,0.03480002555639921
short_posts&deal_only,97,0.005634925069173068,0.005671292212976686,0.02034782995175985,0.6185567010309279,0.38144329896907214,long,0.6185567010309279,0.034328397358801006
posts_high&has_attack,353,0.003071939389729987,0.004098242366852967,0.01764723661977367,0.5892351274787535,0.41076487252124644,long,0.5892351274787535,0.034008589886233224
has_market_brag&has_night_post,151,0.00407390994184304,0.0046950546529365145,0.014930170701082195,0.6754966887417219,0.32450331125827814,long,0.6754966887417219,0.033816069105998506
has_deal&has_attack,269,0.0035384002860444365,0.004098242366852967,0.017941091875062244,0.5799256505576208,0.4200743494423792,long,0.5799256505576208,0.033655451397280794
positive_heavy&deal_only,141,0.004497343667295433,0.0061599495899269385,0.018373021948514992,0.624113475177305,0.375886524822695,long,0.624113475177305,0.033329530160160895
has_attack&deal_only,136,0.0045251476912127764,0.006141245432689346,0.018464438195392764,0.625,0.375,long,0.625,0.03298239813066497
has_attack&positive_heavy,468,0.002621498648512293,0.0033956026493779934,0.017205105524066316,0.5769230769230769,0.4230769230769231,long,0.5769230769230769,0.03271828083151369
has_deal&has_night_post,323,0.0031036376274141994,0.003788206886180312,0.017625376131257173,0.5851393188854489,0.4148606811145511,long,0.5851393188854489,0.03263860222561416
has_attack&deal_over_tariff,186,0.003968985602638948,0.005781080301781261,0.018661277942787047,0.6021505376344086,0.3978494623655914,long,0.6021505376344086,0.03259425613854418
has_deal&short_posts,160,0.004323562119934938,0.004608530415694201,0.019090669474396096,0.59375,0.40625,long,0.59375,0.03247172177252368
attack_heavy&deal_only,80,0.0053591396523101935,0.006960986189816443,0.016396954400222343,0.675,0.325,long,0.675,0.03235518152139649
lots_of_excl&deal_only,166,0.004010769746060724,0.006006704833018794,0.017910396265775425,0.6204819277108434,0.3795180722891566,long,0.6204819277108434,0.03206349878298849
posts_high&short_posts,236,0.0035264592367277624,0.004592344591877406,0.018523299033523934,0.5889830508474576,0.4110169491525424,long,0.5889830508474576,0.0319078591915259
has_market_brag&deal_over_tariff,52,0.00604098693284949,0.006315827907071081,0.015668618480020775,0.7307692307692307,0.2692307692307692,long,0.7307692307692307,0.03183389805193374
has_market_brag&deal_only,36,0.0067893496821393295,0.006985619319474723,0.010762177945213417,0.7777777777777778,0.2222222222222222,long,0.7777777777777778,0.03168363184998354
posts_high&has_deal,225,0.003666307221199067,0.004098242366852967,0.01852788376850645,0.5733333333333334,0.4266666666666667,long,0.5733333333333334,0.03153024210231198
open_tariff&has_all_caps,24,0.009559567100883187,0.01392772311302426,0.02104249827793049,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.03122141541208118
has_night_post&lots_of_excl,685,0.0020878303087182755,0.002645356779712449,0.01665606138786419,0.5678832116788322,0.4321167883211679,long,0.5678832116788322,0.03103126738336271
has_market_brag&lots_of_excl,161,0.0036964863931769755,0.004395743907437577,0.015321955817891754,0.6583850931677019,0.3416149068322981,long,0.6583850931677019,0.030880337565630547
posts_very_high&has_attack,211,0.0036093382006902016,0.0043478158736534045,0.019308084711349302,0.5876777251184834,0.41232227488151657,long,0.5876777251184834,0.030811159028954004
posts_very_high&short_posts,161,0.004007463485814921,0.004909577267106391,0.02004313277013924,0.5962732919254659,0.40372670807453415,long,0.5962732919254659,0.03031990728762201
has_attack&has_all_caps,146,0.0038645650752275116,0.005754849469047807,0.016431428904254447,0.6438356164383562,0.3561643835616438,long,0.6438356164383562,0.030064366043566215
