event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_uppercase_phrase&deal_over_tariff,94,0.008591205833224013,0.00652864394223851,0.03197055594498309,0.648936170212766,0.35106382978723405,long,0.648936170212766,0.054053028586955335
has_deal&has_attack,264,0.00523839724448768,0.004022201674384829,0.027350070928308937,0.6060606060606061,0.3939393939393939,long,0.6060606060606061,0.05158417017328134
deal_heavy&pre_deal,95,0.008388371836712987,0.005586606430264318,0.030557827727442397,0.6210526315789474,0.37894736842105264,long,0.6210526315789474,0.05077709869087901
has_iran&pre_deal,40,0.012137885689557426,0.005392908738867108,0.03526813391618053,0.65,0.35,long,0.65,0.049898374185094393
has_attack&deal_over_tariff,187,0.005873937817845021,0.005561870457397644,0.02774133696507923,0.6203208556149733,0.37967914438502676,long,0.6203208556149733,0.04982720546783966
deal_heavy&deal_over_tariff,120,0.00723864113614638,0.005650411754607454,0.029329076271103774,0.625,0.375,long,0.625,0.04955958794940246
has_attack&pre_deal,128,0.007003663534120788,0.005391893874409637,0.02862816202771004,0.625,0.375,long,0.625,0.04952337978125751
lots_of_excl&deal_over_tariff,225,0.0054222045079368245,0.005121639250909249,0.02654811092551064,0.6088888888888889,0.39111111111111113,long,0.6088888888888889,0.049522801172489674
has_positive&deal_over_tariff,235,0.005187968474947789,0.005121639250909249,0.026623781578889373,0.6127659574468085,0.3872340425531915,long,0.6127659574468085,0.04873330768787563
has_attack&has_iran,91,0.008561473733696048,0.0036901264644610965,0.030373894070253486,0.5934065934065934,0.4065934065934066,long,0.5934065934065934,0.04846426071314339
positive_heavy&deal_over_tariff,193,0.005606770554761358,0.005121639250909249,0.02734501970342006,0.616580310880829,0.38341968911917096,long,0.616580310880829,0.04802651689819953
exclamation_heavy&deal_over_tariff,240,0.005091862116160794,0.005057863301189847,0.026100431664453343,0.6083333333333333,0.39166666666666666,long,0.6083333333333333,0.04798702979754967
has_deal&has_positive,338,0.004415383492321038,0.003917669293503456,0.02682416643679153,0.5887573964497042,0.41124260355029585,long,0.5887573964497042,0.04779287493714692
posts_very_high&pre_deal,73,0.00919046161398703,0.00396042521454798,0.03239618557298554,0.6027397260273972,0.3972602739726027,long,0.6027397260273972,0.04732913550477391
deal_over_tariff,249,0.004938384348771337,0.004994087351470444,0.026387506682249495,0.606425702811245,0.39357429718875503,long,0.606425702811245,0.0472565661954266
has_deal&deal_over_tariff,249,0.004938384348771337,0.004994087351470444,0.026387506682249495,0.606425702811245,0.39357429718875503,long,0.606425702811245,0.0472565661954266
has_deal,352,0.004269558896692737,0.0038836354828155617,0.02664642698244213,0.5852272727272727,0.4147727272727273,long,0.5852272727272727,0.046879060287814106
