event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
lots_of_excl&deal_over_tariff,226,0.005765707299055539,0.0033783691200611754,0.02474510351732092,0.5707964601769911,0.42920353982300885,long,0.5707964601769911,0.04947525964087095
has_night_post&deal_over_tariff,227,0.005534463254428216,0.003508851724082662,0.02505666921297503,0.5726872246696035,0.42731277533039647,long,0.5726872246696035,0.0477535796290469
positive_heavy&deal_over_tariff,193,0.005755050047521017,0.0033670574517676854,0.024601489778231084,0.5751295336787565,0.42487046632124353,long,0.5751295336787565,0.04598258994313443
deal_over_tariff,249,0.005124011098436998,0.0033670574517676854,0.02455102706777346,0.5662650602409639,0.43373493975903615,long,0.5662650602409639,0.04578566231180892
has_deal&deal_over_tariff,249,0.005124011098436998,0.0033670574517676854,0.02455102706777346,0.5662650602409639,0.43373493975903615,long,0.5662650602409639,0.04578566231180892
has_exclamation&deal_over_tariff,247,0.005089406561438496,0.0033670574517676854,0.024617728841341387,0.5668016194331984,0.4331983805668016,long,0.5668016194331984,0.04533636586685166
exclamation_heavy&deal_over_tariff,241,0.005156075474441993,0.0033670574517676854,0.02480978133321263,0.5643153526970954,0.43568464730290457,long,0.5643153526970954,0.0451699544899508
has_attack&deal_over_tariff,187,0.005776698055486834,0.0033670574517676854,0.02499557383993718,0.5668449197860963,0.43315508021390375,long,0.5668449197860963,0.0447780038991552
has_night_post&deal_only,169,0.006228755587046929,0.0028329447216437487,0.025810082503685303,0.5502958579881657,0.44970414201183434,long,0.5502958579881657,0.044559559199643425
deal_heavy&has_uppercase_phrase,65,0.008115859457714316,0.005788895423107787,0.024064453162028755,0.676923076923077,0.3230769230769231,long,0.676923076923077,0.04429253284724015
posts_very_high&pre_relief,22,-0.014405763282055966,-0.010607903895307913,0.02287884690682518,0.36363636363636365,0.6363636363636364,short,0.6363636363636364,0.04299846671937155
positive_heavy&deal_only,135,0.006725995426728701,0.0023446800730746453,0.025454918214077128,0.5481481481481482,0.45185185185185184,long,0.5481481481481482,0.042837232273437234
has_uppercase_phrase&deal_over_tariff,97,0.006782931231611889,0.004115129677129126,0.023090874005487816,0.6391752577319587,0.36082474226804123,long,0.6391752577319587,0.04269954392916955
lots_of_excl&deal_only,167,0.006102847627074628,0.002222124223359101,0.025715244719457207,0.5389221556886228,0.46107784431137727,long,0.5389221556886228,0.04250272750601558
has_positive&deal_over_tariff,235,0.004822649837928693,0.003260943929587201,0.02444388709505517,0.5659574468085107,0.4340425531914894,long,0.5659574468085107,0.04184113334797401
deal_heavy&deal_over_tariff,124,0.0058770387119888405,0.004235835965173851,0.025435941418891165,0.6370967741935484,0.3629032258064516,long,0.6370967741935484,0.04169411885914725
deal_over_tariff&deal_only,187,0.005519823281462109,0.002222124223359101,0.025308921147823814,0.5401069518716578,0.45989304812834225,long,0.5401069518716578,0.04076859497306051
has_deal&deal_only,187,0.005519823281462109,0.002222124223359101,0.025308921147823814,0.5401069518716578,0.45989304812834225,long,0.5401069518716578,0.04076859497306051
deal_only,187,0.005519823281462109,0.002222124223359101,0.025308921147823814,0.5401069518716578,0.45989304812834225,long,0.5401069518716578,0.04076859497306051
has_exclamation&deal_only,185,0.005477900598907625,0.002222124223359101,0.025404170641414377,0.5405405405405406,0.4594594594594595,long,0.5405405405405406,0.04027432618693313
has_all_caps&deal_over_tariff,66,0.007762847697630472,0.006597583704186172,0.023825609055296765,0.6363636363636364,0.36363636363636365,long,0.6363636363636364,0.040132700888566235
exclamation_heavy&deal_only,179,0.0055806836841515205,0.002222124223359101,0.025679120240585888,0.5363128491620112,0.46368715083798884,long,0.5363128491620112,0.04004350873999687
has_deal&lots_of_excl,320,0.004030003684107225,0.003046944325615475,0.024554918783193182,0.546875,0.453125,long,0.546875,0.03942470956916775
deal_heavy&deal_only,62,0.007823886942084166,0.0037787183104972533,0.028308916017279456,0.6290322580645161,0.3709677419354839,long,0.6290322580645161,0.03875175077591303
posts_high&deal_over_tariff,153,0.005315910574493326,0.0033896807883546654,0.023473585920945575,0.5882352941176471,0.4117647058823529,long,0.5882352941176471,0.03867893081465972
has_attack&has_iran,89,0.006457516713766213,0.006147654026361193,0.0261553954005786,0.6179775280898876,0.38202247191011235,long,0.6179775280898876,0.037647247146838016
has_iran&has_exclamation,118,0.005822940010764647,0.0041981968381640256,0.024509657401434036,0.5932203389830508,0.4067796610169492,long,0.5932203389830508,0.03752315542818167
has_iran,118,0.005822940010764647,0.0041981968381640256,0.024509657401434036,0.5932203389830508,0.4067796610169492,long,0.5932203389830508,0.03752315542818167
