event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
deal_heavy&deal_only,62,0.008330798566630396,0.007469154096326869,0.022495415600818924,0.6935483870967742,0.3064516129032258,long,0.6935483870967742,0.04549453646692781
has_tariff&pre_relief,22,-0.014182300939844537,-0.009954838031755564,0.025731428704630945,0.3181818181818182,0.6818181818181818,short,0.6818181818181818,0.045355150799185534
attack_heavy&deal_only,76,0.007522380839207863,0.007010747855784483,0.01989487215358462,0.6447368421052632,0.35526315789473684,long,0.6447368421052632,0.042280936756677746
deal_heavy&has_russia,61,0.007385876665645271,0.006711410749571822,0.025891573611318042,0.6885245901639344,0.3114754098360656,long,0.6885245901639344,0.039717913361212866
has_attack&deal_over_tariff,186,0.004775605308457281,0.0055821437328811285,0.025434782409377178,0.6075268817204301,0.3924731182795699,long,0.6075268817204301,0.0395685738645745
has_attack&deal_only,137,0.005490856022525087,0.005825243568231997,0.024629449695966917,0.6058394160583942,0.39416058394160586,long,0.6058394160583942,0.03893658558919538
has_relief&deal_only,24,0.011907395681082253,0.005781157923751001,0.03198320799844834,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.03888939144542892
positive_heavy&has_all_caps,148,0.005332357673415075,0.004789508467742509,0.025745944594070983,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.038571904864213136
deal_only&volume_spike,25,0.010670892716807243,0.007246268522036692,0.023199687207566738,0.72,0.28,long,0.72,0.03841521378050607
has_action&deal_only,49,0.008208271070276309,0.009782591199430035,0.022541150583355932,0.6530612244897959,0.3469387755102041,long,0.6530612244897959,0.037523524892691694
posts_high&has_attack,349,0.003605332249246494,0.003195047683553165,0.026220313254603615,0.5530085959885387,0.4469914040114613,long,0.5530085959885387,0.03724687906204839
posts_very_high&has_attack,208,0.004493370920122677,0.0035308692666417008,0.027717195456117515,0.5721153846153846,0.42788461538461536,long,0.5721153846153846,0.03707554675018371
deal_heavy&has_attack,117,0.0054873602673442675,0.006249726273376277,0.025783830508265274,0.6239316239316239,0.37606837606837606,long,0.6239316239316239,0.037033384440828425
attack_heavy&has_russia,145,0.005400889213383845,0.004285790109071819,0.02548769816033534,0.5655172413793104,0.43448275862068964,long,0.5655172413793104,0.03677859378171267
positive_heavy&has_russia,219,0.004378755489283559,0.0038810516667200368,0.02561721318215427,0.5662100456621004,0.4337899543378995,long,0.5662100456621004,0.03669022056176229
posts_very_high&positive_heavy,215,0.004401823909342767,0.0029719026218402167,0.027766682942830863,0.5674418604651162,0.4325581395348837,long,0.5674418604651162,0.036624631672114195
lots_of_excl&short_posts,373,0.0034000522366991644,0.0028818504551302304,0.0242152966653013,0.5549597855227882,0.4450402144772118,long,0.5549597855227882,0.03644194253301262
open_tariff&tariff_only,31,0.009633881587146035,0.009862055976665118,0.022072219596742562,0.6774193548387096,0.3225806451612903,long,0.6774193548387096,0.03633622045514053
deal_heavy&deal_over_tariff,122,0.0050210962141825025,0.006309504746864092,0.0246951775470283,0.6475409836065574,0.3524590163934426,long,0.6475409836065574,0.03591250664447999
deal_heavy&lots_of_excl,140,0.004716938912994374,0.004854387457247977,0.02461178493217866,0.6285714285714286,0.37142857142857144,long,0.6285714285714286,0.03508156072618295
tariff_only&tariff_rising,57,0.007429698631911285,0.005566118050462698,0.029561821209868333,0.6140350877192983,0.38596491228070173,long,0.6140350877192983,0.03444306684422935
has_night_post&deal_only,171,0.004377145411658165,0.00472440967240062,0.0237806715164608,0.5906432748538012,0.4093567251461988,long,0.5906432748538012,0.03380759623808191
has_deal&has_attack,265,0.003709782367144345,0.003195047683553165,0.025184065058149085,0.5584905660377358,0.44150943396226416,long,0.5584905660377358,0.033727737651271315
has_russia&deal_over_tariff,92,0.005377830982681725,0.006429485890061426,0.026886201749147486,0.6521739130434783,0.34782608695652173,long,0.6521739130434783,0.03364065828755587
attack_heavy&deal_over_tariff,112,0.005158709319301339,0.006201962579919784,0.023368850039015645,0.6160714285714286,0.38392857142857145,long,0.6160714285714286,0.03363420265003722
pre_deal&deal_only,83,0.00596063465689168,0.004716995754614262,0.02404464971819767,0.6144578313253012,0.3855421686746988,long,0.6144578313253012,0.033367497261313474
has_night_post&deal_over_tariff,228,0.00368542649517722,0.004720702713507441,0.02458561104465169,0.5921052631578947,0.40789473684210525,long,0.5921052631578947,0.03294989983651756
has_attack&has_all_caps,148,0.0045528770286026934,0.004789508467742509,0.025809004258067453,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.0329334884044367
posts_high&tariff_only,66,0.006810008798863463,0.005325050551617583,0.02731319145773991,0.5909090909090909,0.4090909090909091,long,0.5909090909090909,0.03269191132874467
posts_very_high&attack_heavy,163,0.00443765697379449,0.003601504475187589,0.024811528937756518,0.5705521472392638,0.4294478527607362,long,0.5705521472392638,0.03232532314313417
positive_heavy&deal_only,140,0.0045740127703159375,0.004720702713507441,0.02427739528182149,0.5928571428571429,0.40714285714285714,long,0.5928571428571429,0.0320856947383252
posts_very_high&pre_deal,74,0.006246452513723139,0.005653397916718594,0.028781229507664083,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.03194995563081121
posts_high&has_all_caps,140,0.00452123848515768,0.004789508467742509,0.026644226966848754,0.5928571428571429,0.40714285714285714,long,0.5928571428571429,0.03171549472169861
has_russia&tariff_rising,38,0.008427195438110657,0.005714149147286296,0.03489222377729261,0.6052631578947368,0.39473684210526316,long,0.6052631578947368,0.03144264726269076
deal_heavy&has_uppercase_phrase,64,0.006252619418730518,0.006718944536636684,0.025725516746982795,0.625,0.375,long,0.625,0.03126309709365259
has_all_caps&exclamation_heavy,180,0.003927059813851295,0.004370096891913033,0.02512395488406512,0.5888888888888889,0.4111111111111111,long,0.5888888888888889,0.03102681019069305
posts_very_high&tariff_rising,30,0.009408617805891039,0.0066581392012622365,0.03758686981441401,0.6,0.4,long,0.6,0.030919873243387706
has_attack&pre_deal,129,0.004871656079451423,0.0027473415333105766,0.027834820951113653,0.5581395348837209,0.4418604651162791,long,0.5581395348837209,0.030882628875310132
posts_very_high&tariff_only,36,0.008739507193013378,0.00596619423753042,0.02687205844913458,0.5833333333333334,0.4166666666666667,long,0.5833333333333334,0.03058827517554683
attack_heavy&short_posts,148,0.00422737308464561,0.004561095030812146,0.024679066891746468,0.5945945945945946,0.40540540540540543,long,0.5945945945945946,0.030578937579417164
posts_very_high&deal_only,64,0.006253377640514736,0.005075857799748507,0.027511904462708455,0.609375,0.390625,long,0.609375,0.03048521599750934
posts_very_high&has_russia,117,0.004834186626971683,0.003978850278805401,0.027388843783853468,0.5811965811965812,0.4188034188034188,long,0.5811965811965812,0.03039060839979981
has_action&deal_over_tariff,72,0.005602858734808235,0.0059071048866300435,0.026366953977193998,0.6388888888888888,0.3611111111111111,long,0.6388888888888888,0.030373948774834396
deal_heavy&pre_deal,95,0.00498416602044744,0.004285790109071819,0.025859550132201613,0.6210526315789474,0.37894736842105264,long,0.6210526315789474,0.03017051399704716
posts_very_high&deal_heavy,75,0.005679577874880377,0.004285790109071819,0.028724542161688908,0.6133333333333333,0.38666666666666666,long,0.6133333333333333,0.030167773497499783
