event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&has_all_caps,103,0.008708939174129252,0.006514660233510439,0.026723090747205788,0.6213592233009708,0.3786407766990291,long,0.6213592233009708,0.05491950560013767
has_attack&short_posts,290,0.005157261167037716,0.0037105930612154614,0.025005257957027342,0.5689655172413793,0.43103448275862066,long,0.5689655172413793,0.049969392570941976
attack_heavy&short_posts,146,0.007187838582873303,0.0036513869896980244,0.029239487181212758,0.5684931506849316,0.4315068493150685,long,0.5684931506849316,0.049374189561326734
posts_high&short_posts,236,0.0054499261235180585,0.004065402200254198,0.024952067935015847,0.5889830508474576,0.4110169491525424,long,0.5889830508474576,0.04931163631279975
attack_heavy&has_all_caps,102,0.008283919757710288,0.004011566943266542,0.02902117813279842,0.5784313725490197,0.4215686274509804,long,0.5784313725490197,0.04839358648644534
posts_high&has_all_caps,137,0.007029718005746316,0.0043860289770289995,0.026692104407164238,0.583941605839416,0.41605839416058393,long,0.583941605839416,0.048047147278390094
posts_very_high&short_posts,158,0.006766789562800633,0.0041502020641778214,0.02748558721852009,0.5632911392405063,0.43670886075949367,long,0.5632911392405063,0.04791198167181609
posts_low&silence_day,229,0.005552707494593771,0.0035879078696070543,0.028912911083589597,0.5570175438596491,0.44298245614035087,long,0.5570175438596491,0.04680490967233132
pre_deal&short_posts,65,0.008302064642032219,0.007863668153230474,0.023929495141128083,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.046338497298761314
has_attack&has_all_caps,145,0.0064255893528665535,0.0043860289770289995,0.026408081216441157,0.5862068965517241,0.41379310344827586,long,0.5862068965517241,0.045357372847910256
has_positive&short_posts,414,0.003956650901635922,0.0035650631011998613,0.023896463200199263,0.5555555555555556,0.4444444444444444,long,0.5555555555555556,0.04472552007154157
positive_heavy&has_all_caps,143,0.0065829997464461,0.004385835173171593,0.02624764457166663,0.5664335664335665,0.43356643356643354,long,0.5664335664335665,0.044590345612738475
lots_of_excl&short_posts,358,0.004013816310894615,0.003649839334186722,0.02460823280189837,0.5642458100558659,0.43575418994413406,long,0.5642458100558659,0.04285163031818798
has_iran&open_deal,23,-0.01193696684836506,-0.007220313815197166,0.024288213082867462,0.2608695652173913,0.7391304347826086,short,0.7391304347826086,0.042313504016094634
positive_heavy&short_posts,272,0.004583959745751059,0.003590633262669285,0.02530808245265767,0.5588235294117647,0.4411764705882353,long,0.5588235294117647,0.042247394598930677
has_russia&pre_action,34,0.00983449442918796,0.007815867468499604,0.02778418579079463,0.7352941176470589,0.2647058823529412,long,0.7352941176470589,0.04216504700494051
has_deal&short_posts,159,0.0054130209262110845,0.0043860289770289995,0.022262408668760048,0.6163522012578616,0.3836477987421384,long,0.6163522012578616,0.042069487324760534
has_attack&positive_heavy,459,0.0035581557566359526,0.0035714295871240864,0.023231314187302576,0.55119825708061,0.44880174291938996,long,0.55119825708061,0.04201836347991318
attack_heavy&positive_heavy,254,0.004778629321428165,0.0035149660379001357,0.024670454497765795,0.5511811023622047,0.44881889763779526,long,0.5511811023622047,0.041977301916669305
has_attack&has_night_post,552,0.0031128777515317388,0.0035149660379001357,0.02257230324145595,0.552536231884058,0.447463768115942,long,0.552536231884058,0.04041032711053628
has_market_brag&has_all_caps,53,0.009343193729933077,0.0035088663721241087,0.028334409592702784,0.5849056603773585,0.41509433962264153,long,0.5849056603773585,0.03978497715458935
exclamation_heavy&short_posts,400,0.0035013856893257376,0.0035397569162238796,0.02378208723500462,0.555,0.445,long,0.555,0.038865381151515686
has_russia&lots_of_excl,259,0.003980681091602222,0.0035461002921197693,0.021234063915339656,0.5714285714285714,0.42857142857142855,long,0.5714285714285714,0.03660742820053126
has_action&uppercase_phrase_heavy,27,0.010379970797202258,0.007272825900522362,0.033119711535721116,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.03595727360367107
has_russia&uppercase_phrase_heavy,28,0.010488353579979345,0.005666479416074788,0.030357528312755486,0.6428571428571429,0.35714285714285715,long,0.6428571428571429,0.03567802530232202
has_russia&short_posts,135,0.005429759631577263,0.0036898417301589603,0.022116250937895075,0.5555555555555556,0.4444444444444444,long,0.5555555555555556,0.0350489477116801
has_night_post&short_posts,427,0.002987418629333267,0.0035088663721241087,0.02397075514502466,0.5526932084309133,0.44730679156908665,long,0.5526932084309133,0.03411883160214407
short_posts&deal_only,137,0.004810222870745611,0.00420185876278123,0.021014918817417745,0.6058394160583942,0.39416058394160586,long,0.6058394160583942,0.03411010118305026
has_deal&has_all_caps,94,0.005605199510728396,0.006537696612757715,0.02425567038952161,0.6170212765957447,0.3829787234042553,long,0.6170212765957447,0.03353166681633104
has_tariff&short_posts,43,0.008751239143370757,0.004385835173171593,0.03062762922196554,0.5813953488372093,0.4186046511627907,long,0.5813953488372093,0.03336378645006921
short_posts,508,0.0026812871461961347,0.0032733323284940274,0.023576883913953486,0.5511811023622047,0.44881889763779526,long,0.5511811023622047,0.033309606439072534
posts_very_high&has_china,139,0.0048967196637802815,0.0036898417301589603,0.024757450933052354,0.5755395683453237,0.4244604316546763,long,0.5755395683453237,0.03322674728451731
has_attack&has_russia,244,0.003733645753730495,0.003533582997897966,0.02153776145795472,0.569672131147541,0.430327868852459,long,0.569672131147541,0.0332240825392239
has_deal&has_attack,262,0.0035577112455623017,0.003644516031177991,0.019799945651813484,0.5763358778625954,0.42366412213740456,long,0.5763358778625954,0.0331892163522687
posts_very_high&uppercase_phrase_heavy,40,0.008361134942664375,0.005666479416074788,0.028729097838527954,0.625,0.375,long,0.625,0.03305028780355097
has_attack&has_china,235,0.0036270451397898786,0.0038023834459717243,0.022886946317762044,0.5914893617021276,0.4085106382978723,long,0.5914893617021276,0.03288772480014608
has_attack&deal_over_tariff,230,0.0037535019282865785,0.00361032331393929,0.018871874051426586,0.5739130434782609,0.4260869565217391,long,0.5739130434782609,0.032669813594425966
has_all_caps&short_posts,123,0.005084807830422293,0.0043860289770289995,0.0274237226125391,0.5772357723577236,0.42276422764227645,long,0.5772357723577236,0.03255219941355787
positive_heavy&uppercase_phrase_heavy,42,0.008084431425664387,0.005666479416074788,0.029383036116750205,0.6190476190476191,0.38095238095238093,long,0.6190476190476191,0.03243382613948947
has_tariff&has_all_caps,41,0.008255284039653695,0.0052540106845357926,0.03276492179988254,0.6097560975609756,0.3902439024390244,long,0.6097560975609756,0.03223146909829215
posts_high&has_russia,178,0.004213640533058688,0.003623100813771818,0.02261237584312588,0.5674157303370787,0.43258426966292135,long,0.5674157303370787,0.0318983967662055
has_relief&has_all_caps,26,0.010736608590697746,0.006843435116583696,0.031962115040561206,0.5769230769230769,0.4230769230769231,long,0.5769230769230769,0.031584332719486
has_relief&attack_heavy,47,0.008136101305261328,0.0034482768089241222,0.029397041420895866,0.5531914893617021,0.44680851063829785,long,0.5531914893617021,0.030856081040666762
positive_heavy&has_russia,219,0.0036029891662843617,0.0036363646893291524,0.021364718965856913,0.5707762557077626,0.4292237442922374,long,0.5707762557077626,0.030433430670334303
has_china&short_posts,147,0.00413942980635214,0.003533476105539668,0.024282140825420913,0.5986394557823129,0.4013605442176871,long,0.5986394557823129,0.03004446862043274
