event,regime,n,mean_ret,median_ret,hit_up,hit_down
china_streak_3d,calm_bull,10,0.004013111885514509,0.004480958885078601,0.7,0.3
china_streak_3d,neutral,32,0.00516326458669988,0.0020306145038807566,0.5625,0.4375
china_streak_3d,oversold,26,0.007224234913290563,0.01027477273463473,0.6923076923076923,0.3076923076923077
china_streak_3d,risk_off,17,0.02041184008340283,0.024046279894210043,0.8235294117647058,0.17647058823529413
deal_heavy&deal_over_tariff,calm_bull,37,0.004501791555940146,0.0059041115445208625,0.7027027027027027,0.2972972972972973
deal_heavy&deal_over_tariff,neutral,58,0.0024285454710426687,0.0013996323909234443,0.5517241379310345,0.4482758620689655
deal_heavy&deal_over_tariff,oversold,45,0.005820647284897894,0.007417571239970444,0.6222222222222222,0.37777777777777777
deal_heavy&deal_over_tariff,risk_off,15,0.011393961625992525,0.012430653339704723,0.6666666666666666,0.3333333333333333
deal_heavy&short_posts,calm_bull,24,0.0039927667702939484,0.005361681593262557,0.7083333333333334,0.2916666666666667
deal_heavy&short_posts,neutral,29,0.006455831816874174,0.0033078821970207173,0.5862068965517241,0.41379310344827586
deal_heavy&short_posts,oversold,14,0.01432899105323539,0.013067315928292689,0.7142857142857143,0.2857142857142857
deal_heavy&short_posts,risk_off,7,0.02691982720680854,0.014265847901870021,0.8571428571428571,0.14285714285714285
has_action&deal_only,calm_bull,22,0.0036904777358694515,0.00480146501481582,0.5909090909090909,0.4090909090909091
has_action&deal_only,neutral,31,6.493374327557729e-05,0.0028356152588189243,0.6129032258064516,0.3870967741935484
has_action&deal_only,oversold,23,0.02018935056344352,0.019476231736831107,0.7391304347826086,0.2608695652173913
has_action&deal_only,risk_off,10,0.027004565388702117,0.03180253455506554,0.8,0.2
has_action&deal_over_tariff,calm_bull,27,0.0033247086998549964,0.0047103553763570005,0.5555555555555556,0.4444444444444444
has_action&deal_over_tariff,neutral,36,0.0006126415595066172,0.0038977913211266646,0.6111111111111112,0.3888888888888889
has_action&deal_over_tariff,oversold,29,0.017681991161214175,0.019476231736831107,0.7586206896551724,0.2413793103448276
has_action&deal_over_tariff,risk_off,11,0.02511299990485404,0.030484321609077103,0.8181818181818182,0.18181818181818182
has_action&pre_deal,calm_bull,17,0.004437707241076655,0.004862131084361732,0.6470588235294118,0.35294117647058826
has_action&pre_deal,neutral,18,0.003996564935885978,0.007779523422090873,0.7222222222222222,0.2777777777777778
has_action&pre_deal,oversold,17,0.018192933749783518,0.019476231736831107,0.8235294117647058,0.17647058823529413
has_action&pre_deal,risk_off,5,0.03914306551873712,0.030484321609077103,1.0,0.0
has_attack&deal_only,calm_bull,54,0.00199282446118517,0.0023331090581142355,0.6111111111111112,0.3888888888888889
has_attack&deal_only,neutral,91,0.0042103505022059,0.004595811265732497,0.6263736263736264,0.37362637362637363
has_attack&deal_only,oversold,46,0.004280791800788041,0.006923592276456225,0.5434782608695652,0.45652173913043476
has_attack&deal_only,risk_off,18,0.011089923346866093,0.013734434717806998,0.6111111111111112,0.3888888888888889
has_attack&deal_over_tariff,calm_bull,63,0.0019971867849544207,0.001870370594211579,0.6031746031746031,0.3968253968253968
has_attack&deal_over_tariff,neutral,104,0.0037522021448662037,0.0029935035277867117,0.6057692307692307,0.3942307692307692
has_attack&deal_over_tariff,oversold,57,0.006228640006166858,0.008769275948513178,0.6140350877192983,0.38596491228070173
has_attack&deal_over_tariff,risk_off,21,0.012070830440497568,0.014103567150849594,0.6666666666666666,0.3333333333333333
has_attack&pre_deal,calm_bull,35,0.001636747772349894,0.002795847522016892,0.6,0.4
has_attack&pre_deal,neutral,58,0.006246713912697994,0.004992623681690511,0.6551724137931034,0.3448275862068966
has_attack&pre_deal,oversold,36,0.004192626471871174,0.0062633754401497654,0.6111111111111112,0.3888888888888889
has_attack&pre_deal,risk_off,10,0.01997111183022655,0.013734434717806998,0.8,0.2
has_attack&pre_relief,calm_bull,5,-0.00029619192273455663,0.0017530894876987002,0.6,0.4
has_attack&pre_relief,neutral,6,0.009476344964156835,0.010331674421526382,0.6666666666666666,0.3333333333333333
has_attack&pre_relief,oversold,11,0.014271549069950762,0.027458308357901418,0.7272727272727273,0.2727272727272727
has_attack&pre_relief,risk_off,6,-0.008122375616472777,0.0008695047315690485,0.5,0.5
has_china&pre_action,calm_bull,7,0.005985060250526951,0.0026100374047410835,0.5714285714285714,0.42857142857142855
has_china&pre_action,neutral,14,-0.003052767983494274,0.005230760892040887,0.5714285714285714,0.42857142857142855
has_china&pre_action,oversold,12,0.040169388686881365,0.030147588100399192,0.9166666666666666,0.08333333333333333
has_china&pre_action,risk_off,5,0.05446544680426988,0.03356073339575327,1.0,0.0
has_deal&has_action,calm_bull,29,0.003245506463943749,0.0047103553763570005,0.5517241379310345,0.4482758620689655
has_deal&has_action,neutral,37,0.0008845748517210014,0.004959967383434405,0.6216216216216216,0.3783783783783784
has_deal&has_action,oversold,39,0.012061360731383518,0.011502977452459096,0.717948717948718,0.28205128205128205
has_deal&has_action,risk_off,13,0.021595971149699543,0.01887548209527079,0.7692307692307693,0.23076923076923078
has_night_post&deal_over_tariff,calm_bull,56,0.002171516173695013,0.0018117300409551396,0.5357142857142857,0.4642857142857143
has_night_post&deal_over_tariff,neutral,81,0.003603915757638104,0.0028356152588189243,0.5925925925925926,0.4074074074074074
has_night_post&deal_over_tariff,oversold,41,0.006701410254314472,0.007417571239970444,0.6097560975609756,0.3902439024390244
has_night_post&deal_over_tariff,risk_off,18,0.010537672797566684,0.009924112289837583,0.6111111111111112,0.3888888888888889
has_relief&pre_deal,calm_bull,9,0.005513728176950826,0.0047103553763570005,0.6666666666666666,0.3333333333333333
has_relief&pre_deal,neutral,8,0.00894863675747487,0.006402630249837671,0.75,0.25
has_relief&pre_deal,oversold,8,0.014700956076259777,0.004409607065212318,0.75,0.25
has_relief&pre_deal,risk_off,5,0.024421119502213994,0.007417571239970444,0.8,0.2
has_russia&deal_over_tariff,calm_bull,36,0.0017169323681131678,0.0001783276424940361,0.5277777777777778,0.4722222222222222
has_russia&deal_over_tariff,neutral,56,0.0034307921651878792,0.0033799215801292304,0.625,0.375
has_russia&deal_over_tariff,oversold,23,0.011793817714334772,0.014103567150849594,0.6956521739130435,0.30434782608695654
has_russia&deal_over_tariff,risk_off,11,0.01576260105813461,0.01743208773167737,0.7272727272727273,0.2727272727272727
has_tariff&has_all_caps,calm_bull,9,0.008486060175410488,0.010113656232511481,0.7777777777777778,0.2222222222222222
has_tariff&has_all_caps,neutral,15,0.0005961663035469744,-0.00045878115962227906,0.4666666666666667,0.5333333333333333
has_tariff&has_all_caps,oversold,11,0.01685858957640394,0.014265847901870021,1.0,0.0
has_tariff&has_all_caps,risk_off,7,0.016323929292357597,0.014265847901870021,1.0,0.0
has_uppercase_phrase&china_streak_3d,calm_bull,7,0.004049791024861154,0.00784363252132314,0.5714285714285714,0.42857142857142855
has_uppercase_phrase&china_streak_3d,neutral,16,0.008189243845740143,0.004710565952393053,0.5625,0.4375
