event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_very_high&pre_relief,22,-0.015051340672751918,-0.004726028376720426,0.03393123615490242,0.36363636363636365,0.6363636363636364,short,0.6363636363636364,0.044925392589602625
has_deal&pre_relief,25,-0.01241801636992974,-0.004310503956959422,0.031511568680119964,0.4,0.6,short,0.6,0.037254049109789224
attack_heavy&pre_relief,26,-0.01159226350179432,-0.004726028376720426,0.03129086607319068,0.38461538461538464,0.6153846153846154,short,0.6153846153846154,0.03637487864760534
posts_high&pre_relief,33,-0.010219427534894701,-0.004310503956959422,0.029301956463977173,0.3939393939393939,0.6060606060606061,short,0.6060606060606061,0.0355794798096717
silence_day&volume_drop,143,0.004993953998306341,0.006507592190889477,0.027038447251673193,0.5874125874125874,0.4125874125874126,long,0.5874125874125874,0.0350796946871838
has_relief&volume_spike,32,-0.01068703685822554,-0.0013550313809677639,0.03267819293812222,0.46875,0.53125,short,0.53125,0.032116723991277886
has_china&pre_relief,21,-0.01324422888606293,-0.002493874531921736,0.03617808822827424,0.47619047619047616,0.5238095238095238,short,0.5238095238095238,0.03179140453851164
pre_tariff&pre_deal,30,-0.009469665020904062,-0.0027427585607244787,0.031090120650261982,0.43333333333333335,0.5666666666666667,short,0.5666666666666667,0.029391578482478448
has_attack&pre_relief,35,-0.008157502087116714,-0.002493874531921736,0.029536095990148253,0.42857142857142855,0.5714285714285714,short,0.5714285714285714,0.027577390387533776
silence_day,224,0.0033794882852396604,0.004282655246252709,0.02544037046245394,0.5426008968609866,0.45739910313901344,long,0.5426008968609866,0.027444508771729867
posts_low&silence_day,224,0.0033794882852396604,0.004282655246252709,0.02544037046245394,0.5426008968609866,0.45739910313901344,long,0.5426008968609866,0.027444508771729867
has_russia&volume_drop,25,0.00849058089039494,0.008196845842853406,0.014382361974177851,0.64,0.36,long,0.64,0.027169858849263803
pre_relief&lots_of_excl,40,-0.007774670768068434,-0.0019601322844118862,0.027280725992137655,0.45,0.55,short,0.55,0.027044234453529645
pre_tariff&exclamation_heavy,60,-0.005788524303728861,-0.0049187857450362915,0.023275302920901908,0.4166666666666667,0.5833333333333334,short,0.5833333333333334,0.026155334598701892
volume_drop,309,0.0027427600513316693,0.0023612674812552026,0.021116028877497812,0.5275080906148867,0.47249190938511326,long,0.5275080906148867,0.025432917352581234
posts_low&volume_drop,209,0.0031734484467347652,0.0031055900621117516,0.023795413975858125,0.5406698564593302,0.45933014354066987,long,0.5406698564593302,0.024804858157619354
pre_tariff&volume_spike,22,-0.009685781557047994,-0.0020808643733654653,0.033594452920781115,0.45454545454545453,0.5454545454545454,short,0.5454545454545454,0.024780186797119103
positive_heavy&pre_tariff,53,-0.005990699987560945,-0.00424320088239083,0.024437275868120393,0.4339622641509434,0.5660377358490566,short,0.5660377358490566,0.02468657786216327
has_relief&pre_deal,31,-0.007402243403298848,-0.00254464489135231,0.03223388641480459,0.41935483870967744,0.5806451612903226,short,0.5806451612903226,0.02393067891825345
has_positive&pre_tariff,62,-0.005372445396349611,-0.0035222057024983933,0.023009069661074827,0.43548387096774194,0.5645161290322581,short,0.5645161290322581,0.02388054366732963
pre_deal&volume_spike,52,-0.005692830380879728,-0.0023499298447841044,0.02505301707881877,0.4230769230769231,0.5769230769230769,short,0.5769230769230769,0.023683605970131978
positive_heavy&pre_relief,41,-0.006889004286327771,-0.0014263900369020366,0.02752803425934509,0.4634146341463415,0.5365853658536586,short,0.5365853658536586,0.02366939773137588
pre_relief&exclamation_heavy,41,-0.006889004286327771,-0.0014263900369020366,0.02752803425934509,0.4634146341463415,0.5365853658536586,short,0.5365853658536586,0.02366939773137588
has_positive&pre_relief,41,-0.006889004286327771,-0.0014263900369020366,0.02752803425934509,0.4634146341463415,0.5365853658536586,short,0.5365853658536586,0.02366939773137588
has_deal&pre_tariff,40,-0.007067164500333891,-0.002022412411483987,0.02775946339630136,0.475,0.525,short,0.525,0.02346575324114794
open_deal&volume_spike,22,-0.008440291846899105,-0.0019580864684903276,0.026895661342689413,0.4090909090909091,0.5909090909090909,short,0.5909090909090909,0.023393191484121
has_china&has_all_caps,87,0.0038602988088420965,0.00484271473015685,0.02267834342433004,0.6436781609195402,0.3563218390804598,long,0.6436781609195402,0.02317657855060251
pre_tariff&lots_of_excl,60,-0.005224402148273129,-0.0035222057024983933,0.023223653164462586,0.43333333333333335,0.5666666666666667,short,0.5666666666666667,0.022931892182705693
