event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_low&silence_day,233,-0.04833385706939007,-0.05529955773538253,0.06576433000984135,0.1784037558685446,0.8169014084507042,short,0.8169014084507042,0.6026970403953533
posts_low,428,-0.034461177974433356,-0.038369551159227466,0.059991908926311316,0.21568627450980393,0.7818627450980392,short,0.7818627450980392,0.5574199694686369
volume_drop,329,-0.03127976306853041,-0.035596051977777154,0.06027226275916563,0.24316109422492402,0.7537993920972644,short,0.7537993920972644,0.42767827196443464
short_posts,545,-0.022566148000300327,-0.026159366352010882,0.054060733767076104,0.21834862385321102,0.7798165137614679,short,0.7798165137614679,0.41081672022308513
silence_day&volume_drop,147,-0.04283289794524305,-0.053949914518439335,0.0706844594402147,0.20408163265306123,0.7891156462585034,short,0.7891156462585034,0.40980455406107286
has_positive&short_posts,434,-0.02466480211055396,-0.02621985633344115,0.05394038404710407,0.20506912442396313,0.7926267281105991,short,0.7926267281105991,0.40727824556185815
posts_low&volume_drop,226,-0.03400117959785587,-0.036958974731404304,0.06198745757400445,0.21238938053097345,0.7831858407079646,short,0.7831858407079646,0.40032529375781883
has_exclamation&short_posts,489,-0.02293443090922841,-0.025257204367418296,0.05379980994963314,0.21267893660531698,0.7852760736196319,short,0.7852760736196319,0.3982582333463562
has_exclamation,944,-0.01784885462526404,-0.02277376837015388,0.051043552953952194,0.2764830508474576,0.7213983050847458,short,0.7213983050847458,0.3956138315425678
exclamation_heavy&short_posts,413,-0.024572536514074216,-0.026760571798949973,0.05552259268306366,0.20823244552058112,0.7893462469733656,short,0.7893462469733656,0.39417816491997404
has_attack&short_posts,298,-0.027617448816929898,-0.02854128361745978,0.05338050602955415,0.18456375838926176,0.8120805369127517,short,0.8120805369127517,0.38716027685887316
has_night_post&has_exclamation,825,-0.018372727696269374,-0.02286408236624149,0.051793382690671144,0.2727272727272727,0.7248484848484849,short,0.7248484848484849,0.3825144519571166
has_attack,618,-0.02059162265031872,-0.024059192971712662,0.04999331200797942,0.2588996763754045,0.7378640776699029,short,0.7378640776699029,0.37771234218775446
has_night_post&short_posts,456,-0.022583487104463635,-0.026183135398106072,0.05484961209034504,0.22149122807017543,0.7763157894736842,short,0.7763157894736842,0.3743793126859946
has_exclamation&exclamation_heavy,826,-0.01749449075428238,-0.02154267461284065,0.05182152222502952,0.2845036319612591,0.7130750605326877,short,0.7130750605326877,0.35853088760246044
lots_of_excl&short_posts,366,-0.023691875281353574,-0.027288781876880885,0.05729943484001051,0.21584699453551912,0.7814207650273224,short,0.7814207650273224,0.3541807295663229
has_exclamation&lots_of_excl,749,-0.017522079848047233,-0.02286408236624149,0.053058891460162697,0.28304405874499333,0.7142857142857143,short,0.7142857142857143,0.34252993193266906
has_china&short_posts,148,-0.03336371831711441,-0.03589148884740623,0.05620577049348881,0.17567567567567569,0.8243243243243243,short,0.8243243243243243,0.3345826517485633
posts_high&short_posts,227,-0.027968580242895155,-0.03518519516017371,0.06319131935106581,0.20704845814977973,0.788546255506608,short,0.788546255506608,0.3322848367221942
has_attack&positive_heavy,459,-0.020326801086574836,-0.025257204367418296,0.05220698948569405,0.26143790849673204,0.7363834422657952,short,0.7363834422657952,0.3206855526644341
positive_heavy&short_posts,278,-0.024301158480896895,-0.02920099165860346,0.06047729179765068,0.21942446043165467,0.7805755395683454,short,0.7805755395683454,0.31627459887358034
positive_heavy&exclamation_heavy,599,-0.01775493287041297,-0.02286408236624149,0.05359521528397436,0.2838063439065108,0.7145242070116862,short,0.7145242070116862,0.3104912690661057
posts_high&positive_heavy,365,-0.02202511784069438,-0.029691211132391926,0.05955341387115073,0.2602739726027397,0.736986301369863,short,0.736986301369863,0.31011593918600583
has_action&short_posts,103,-0.03665568198379958,-0.038976878218578204,0.060550627268951086,0.17475728155339806,0.8252427184466019,short,0.8252427184466019,0.3070022916925955
posts_high&has_attack,340,-0.022462471539126703,-0.030741502425690848,0.05924723724956937,0.2529411764705882,0.7411764705882353,short,0.7411764705882353,0.3069860367874413
has_uppercase_phrase&short_posts,154,-0.030048760994563425,-0.0363425689240065,0.06684511666943242,0.18181818181818182,0.8116883116883117,short,0.8116883116883117,0.3026747706241167
has_attack&has_china,228,-0.026093368861428573,-0.02919602178291225,0.05424040157778374,0.2324561403508772,0.7631578947368421,short,0.7631578947368421,0.3006851488476218
has_all_caps&short_posts,121,-0.03306374873383982,-0.03935186794878465,0.06070947633799913,0.17355371900826447,0.8264462809917356,short,0.8264462809917356,0.3005795339439984
has_uppercase_phrase,295,-0.02335636818884,-0.032215632471350064,0.06276418571631585,0.2440677966101695,0.7491525423728813,short,0.7491525423728813,0.3005291330473103
has_china,297,-0.02361485559328633,-0.026159366352010882,0.052926912565827024,0.25925925925925924,0.7373737373737373,short,0.7373737373737373,0.30008976564104567
posts_high&has_night_post,386,-0.020949284561789495,-0.027744151157099828,0.06146321329960823,0.266839378238342,0.727979274611399,short,0.727979274611399,0.29962763306709883
has_attack&has_all_caps,145,-0.03127433181977985,-0.041223396750773245,0.05855801392016157,0.21379310344827587,0.7862068965517242,short,0.7862068965517242,0.29607987581097256
has_attack&has_uppercase_phrase,214,-0.025741827164638346,-0.03314644179327331,0.060657269551419826,0.22429906542056074,0.7663551401869159,short,0.7663551401869159,0.28858671288462656
posts_high&has_china,202,-0.02664824033170679,-0.03413915892699387,0.05774123421492962,0.2376237623762376,0.7574257425742574,short,0.7574257425742574,0.28686943797220604
has_action,186,-0.02803765567885027,-0.03517163431916226,0.058878784461477277,0.25268817204301075,0.7473118279569892,short,0.7473118279569892,0.28575907154994906
has_action&has_attack,146,-0.031008893660039116,-0.036245610710990084,0.056522502213275254,0.23972602739726026,0.7602739726027398,short,0.7602739726027398,0.2848608872122324
has_attack&attack_heavy,284,-0.022189863355647613,-0.029046157629535663,0.055843857763829274,0.23943661971830985,0.7535211267605634,short,0.7535211267605634,0.2817793942629223
has_attack&deal_over_tariff,231,-0.023851379391918143,-0.026771665960171664,0.053143372939892616,0.22077922077922077,0.7748917748917749,short,0.7748917748917749,0.28090569341493477
posts_high&has_action,133,-0.03055897476929784,-0.03824088117318347,0.06367607545669808,0.20300751879699247,0.7969924812030075,short,0.7969924812030075,0.28087871181747853
has_action&has_all_caps,54,-0.0448651904594923,-0.05282112540234374,0.04935924382536187,0.14814814814814814,0.8518518518518519,short,0.8518518518518519,0.2808474386984913
positive_heavy&has_china,255,-0.023685912929784027,-0.025257204367418296,0.05064880623239126,0.25882352941176473,0.7372549019607844,short,0.7372549019607844,0.27885464782338126
posts_very_high&short_posts,155,-0.028095583555536374,-0.038976878218578204,0.06864258798500761,0.2064516129032258,0.7935483870967742,short,0.7935483870967742,0.27757306395380477
has_all_caps&exclamation_heavy,178,-0.0274283151823451,-0.037400063162596864,0.0605515715293416,0.24157303370786518,0.7584269662921348,short,0.7584269662921348,0.27753828396660835
posts_very_high&has_action,96,-0.033662869717929304,-0.03899561598193574,0.0640194204455028,0.16666666666666666,0.8333333333333334,short,0.8333333333333334,0.2748561802890476
attack_heavy&positive_heavy,247,-0.02272150783220394,-0.030640748686550534,0.054792406953250425,0.23076923076923078,0.7651821862348178,short,0.7651821862348178,0.27324390036131047
posts_very_high&positive_heavy,209,-0.024206080423306332,-0.03634663618700906,0.06580608545674538,0.22966507177033493,0.7655502392344498,short,0.7655502392344498,0.2678991350769028
has_action&attack_heavy,100,-0.03227344116333499,-0.03862761745923837,0.05802098662451707,0.17,0.83,short,0.83,0.26786956165568043
posts_high&deal_over_tariff,192,-0.025031755680965526,-0.030401594316224967,0.05863678369349593,0.22395833333333334,0.7708333333333334,short,0.7708333333333334,0.26736368129284627
posts_high&has_all_caps,133,-0.02964925063987329,-0.041223396750773245,0.061708993731783936,0.22556390977443608,0.7744360902255639,short,0.7744360902255639,0.2648043564331613
has_night_post&deal_over_tariff,284,-0.020572670330309566,-0.02139030018021376,0.051678976614896295,0.24647887323943662,0.75,short,0.75,0.26002260215605494
attack_heavy&pre_action,43,-0.043567326791481065,-0.04391895701538595,0.035642484147105094,0.09302325581395349,0.9069767441860465,short,0.9069767441860465,0.25911424690765555
positive_heavy&has_uppercase_phrase,232,-0.02281402479907188,-0.03417986234852777,0.06447670171858833,0.2543103448275862,0.7413793103448276,short,0.7413793103448276,0.25762402653638644
posts_very_high&has_all_caps,101,-0.03145464136106274,-0.041292641289970455,0.06394469953236297,0.18811881188118812,0.8118811881188119,short,0.8118811881188119,0.25664801126359316
has_action&uppercase_phrase_heavy,26,-0.05426140816282579,-0.05282112540234374,0.0448232667507782,0.07692307692307693,0.9230769230769231,short,0.9230769230769231,0.25539690374517376
has_action&has_china,88,-0.035595162333145795,-0.03860887969588084,0.050168989481607425,0.23863636363636365,0.7613636363636364,short,0.7613636363636364,0.254228622625401
positive_heavy&uppercase_phrase_heavy,40,-0.045677996543388916,-0.04751130949958926,0.04833582854194126,0.125,0.875,short,0.875,0.2527813890532127
posts_high&attack_heavy,231,-0.02207248996568717,-0.03084225616483116,0.059531177123291486,0.23809523809523808,0.7532467532467533,short,0.7532467532467533,0.2526938000173708
has_deal&short_posts,165,-0.02414415094540159,-0.025257204367418296,0.055514325260888515,0.18181818181818182,0.8121212121212121,short,0.8121212121212121,0.2518690266501991
has_deal&has_attack,263,-0.020626983135836885,-0.02205878342632439,0.0541947317154221,0.23954372623574144,0.752851711026616,short,0.752851711026616,0.2518390251331817
has_action&has_uppercase_phrase,91,-0.03280192040081345,-0.041266823611072034,0.0721937435068424,0.1978021978021978,0.8021978021978022,short,0.8021978021978022,0.25101601713218424
uppercase_phrase_heavy&volume_spike,24,-0.053405390755333106,-0.049023416016980736,0.040854267909703985,0.041666666666666664,0.9583333333333334,short,0.9583333333333334,0.25073058399032233
attack_heavy&short_posts,141,-0.026539057111998568,-0.037300183637354434,0.0626156951719382,0.19858156028368795,0.7943262411347518,short,0.7943262411347518,0.25031908081783294
posts_very_high&has_attack,201,-0.023153809677060672,-0.036144585234971105,0.0684080911530156,0.23880597014925373,0.7562189054726368,short,0.7562189054726368,0.24823785982131483
positive_heavy&has_all_caps,149,-0.027263697778093596,-0.03785492778850441,0.0588520350392587,0.2550335570469799,0.7449664429530202,short,0.7449664429530202,0.2479217355523013
has_attack&deal_only,196,-0.022929935171807598,-0.024350508591791498,0.05547150367785419,0.22448979591836735,0.7704081632653061,short,0.7704081632653061,0.24731572935306764
has_all_caps&has_uppercase_phrase,133,-0.028196189112018648,-0.03785492778850441,0.06403051714989695,0.24060150375939848,0.7593984962406015,short,0.7593984962406015,0.24693688648435005
posts_high&has_uppercase_phrase,194,-0.023861335294693857,-0.03498393077250378,0.06830339389249569,0.24742268041237114,0.7422680412371134,short,0.7422680412371134,0.24669274104487937
has_night_post&china_streak_3d,74,-0.035032524304519176,-0.037775675773736195,0.05163289846530329,0.1891891891891892,0.8108108108108109,short,0.8108108108108109,0.24434689377814883
posts_very_high&deal_over_tariff,115,-0.027868708058186534,-0.03901435374529327,0.06696219579094648,0.1826086956521739,0.8173913043478261,short,0.8173913043478261,0.2442844200788225
has_night_post&deal_only,244,-0.02071724056105525,-0.02179869593732814,0.05332221787021364,0.24180327868852458,0.7540983606557377,short,0.7540983606557377,0.24403651748762129
positive_heavy&deal_over_tariff,242,-0.02082973657523031,-0.02372990047659701,0.05547155962166745,0.24793388429752067,0.7520661157024794,short,0.7520661157024794,0.24369548480425587
has_china&deal_over_tariff,127,-0.027458380993228962,-0.02489955587884307,0.04757107609204868,0.2125984251968504,0.7874015748031497,short,0.7874015748031497,0.24365373112369412
volume_spike,176,-0.024180950320136063,-0.027023536286228833,0.05382987291916493,0.23295454545454544,0.7556818181818182,short,0.7556818181818182,0.2424201255693949
uppercase_phrase_heavy&short_posts,33,-0.04637953089028842,-0.04608294768854848,0.045825227275058805,0.09090909090909091,0.9090909090909091,short,0.9090909090909091,0.24220920065118864
has_action&pre_action,85,-0.03283553851822547,-0.03533565629981128,0.05264891432770403,0.2,0.8,short,0.8,0.2421829657183462
exclamation_heavy&deal_over_tariff,299,-0.019013397998805283,-0.020848896521439286,0.05185811788614185,0.2608695652173913,0.7357859531772575,short,0.7357859531772575,0.24190610334277474
has_attack&china_streak_3d,58,-0.03916624734951693,-0.039864461651714034,0.0502379329422053,0.1896551724137931,0.8103448275862069,short,0.8103448275862069,0.24171067071443167
has_attack&open_deal,71,-0.03319284685964132,-0.03084225616483116,0.04675723754738318,0.14084507042253522,0.8591549295774648,short,0.8591549295774648,0.24029523720118456
attack_heavy&has_china,144,-0.02590022741539905,-0.03574012076739119,0.0571715011906356,0.2222222222222222,0.7708333333333334,short,0.7708333333333334,0.23957710359244122
deal_over_tariff&volume_spike,68,-0.032778561899415214,-0.030287231453867802,0.03867768575188264,0.10294117647058823,0.8823529411764706,short,0.8823529411764706,0.23849906994200398
