event,regime,n,mean_ret,median_ret,hit_up,hit_down
deal_only&volume_spike,calm_bull,15,0.08533901232166956,0.10862086977015162,0.8666666666666667,0.13333333333333333
deal_only&volume_spike,neutral,18,0.05659074589337603,0.060813383275285626,0.7222222222222222,0.2777777777777778
deal_only&volume_spike,oversold,23,0.0939310223132845,0.09466417096484792,0.7391304347826086,0.2608695652173913
deal_only&volume_spike,risk_off,8,0.15644773622827307,0.16346057150688353,1.0,0.0
deal_over_tariff&volume_spike,calm_bull,17,0.07690482666999834,0.08390412465624908,0.8823529411764706,0.11764705882352941
deal_over_tariff&volume_spike,neutral,27,0.060465589772283196,0.06439382556349504,0.7037037037037037,0.2962962962962963
deal_over_tariff&volume_spike,oversold,26,0.08999053053935405,0.10746388715471888,0.7307692307692307,0.2692307692307692
deal_over_tariff&volume_spike,risk_off,8,0.15644773622827307,0.16346057150688353,1.0,0.0
has_action&has_china,calm_bull,19,0.094011185335931,0.09409899312491854,0.8947368421052632,0.10526315789473684
has_action&has_china,neutral,42,0.09021147294269427,0.08442519745909316,0.7857142857142857,0.21428571428571427
has_action&has_china,oversold,29,0.07177171352771132,0.07810127731611138,0.7241379310344828,0.27586206896551724
has_action&has_china,risk_off,7,0.11081404702593313,0.13961063023471443,0.7142857142857143,0.2857142857142857
has_attack&deal_over_tariff,calm_bull,63,0.03368707935827998,0.030685951861003202,0.6349206349206349,0.3492063492063492
has_attack&deal_over_tariff,neutral,86,0.06216270885800341,0.06021899550440801,0.7209302325581395,0.26744186046511625
has_attack&deal_over_tariff,oversold,89,0.046952128775634615,0.0514706466653021,0.5955056179775281,0.39325842696629215
has_attack&deal_over_tariff,risk_off,21,0.1287389305620951,0.10222230948212885,0.8095238095238095,0.19047619047619047
has_attack&has_china,calm_bull,47,0.05569301757709958,0.04514362439208486,0.7021276595744681,0.2978723404255319
has_attack&has_china,neutral,105,0.07713891990764733,0.06932152924328672,0.7428571428571429,0.2571428571428571
has_attack&has_china,oversold,82,0.02253373958310322,0.004143357848791829,0.524390243902439,0.47560975609756095
has_attack&has_china,risk_off,18,0.05943423148894648,0.04206799065309452,0.5555555555555556,0.4444444444444444
has_china&has_all_caps,calm_bull,22,0.08363786011189517,0.07033511930517977,0.8181818181818182,0.18181818181818182
has_china&has_all_caps,neutral,42,0.09429310956005638,0.10241910875701243,0.7857142857142857,0.21428571428571427
has_china&has_all_caps,oversold,25,0.017631780261247076,0.07184737394924223,0.52,0.48
has_china&has_all_caps,risk_off,5,0.06320046330974809,0.07184737394924223,0.6,0.4
has_china&has_night_post,calm_bull,53,0.04977701126420477,0.042613600075247504,0.6981132075471698,0.3018867924528302
has_china&has_night_post,neutral,122,0.07515033877826714,0.07405446255017545,0.7459016393442623,0.2540983606557377
has_china&has_night_post,oversold,107,0.031046938939791213,0.021882005346293365,0.5794392523364486,0.4205607476635514
has_china&has_night_post,risk_off,26,0.05551801688558685,0.037286176238385926,0.5769230769230769,0.4230769230769231
has_china&lots_of_excl,calm_bull,54,0.046553079870955534,0.03959954095611795,0.7037037037037037,0.2962962962962963
has_china&lots_of_excl,neutral,124,0.07288242947428798,0.06954445428943579,0.7419354838709677,0.25806451612903225
has_china&lots_of_excl,oversold,99,0.025394071875063533,0.019867519476113094,0.5353535353535354,0.46464646464646464
has_china&lots_of_excl,risk_off,22,0.051058897546905936,0.037286176238385926,0.5454545454545454,0.45454545454545453
has_china&pre_action,calm_bull,8,0.11737091243410562,0.1274601428426151,0.875,0.125
has_china&pre_action,neutral,25,0.08009135637571323,0.07834154576476604,0.8,0.2
has_china&pre_action,oversold,12,0.08220261861864434,0.0819282057436792,0.75,0.25
has_china&short_posts,calm_bull,25,0.06510288957344243,0.042613600075247504,0.72,0.28
has_china&short_posts,neutral,69,0.0749101563103189,0.08563869279500391,0.6666666666666666,0.3333333333333333
has_china&short_posts,oversold,56,0.05353376548230693,0.0819282057436792,0.7142857142857143,0.2857142857142857
has_china&short_posts,risk_off,13,0.02507929054686932,-0.007009553007486624,0.46153846153846156,0.5384615384615384
has_deal&has_attack,calm_bull,67,0.03496217332880604,0.0365854818369884,0.6567164179104478,0.3283582089552239
has_deal&has_attack,neutral,100,0.061443038418252494,0.05527879273085767,0.74,0.25
has_deal&has_attack,oversold,103,0.0342247196950515,0.025167655628041352,0.5533980582524272,0.4368932038834951
has_deal&has_attack,risk_off,23,0.11791031206814102,0.09395995218020259,0.782608695652174,0.21739130434782608
has_deal&has_night_post,calm_bull,79,0.034510667378498935,0.030685951861003202,0.6708860759493671,0.31645569620253167
has_deal&has_night_post,neutral,123,0.055441769758934036,0.05622007638559756,0.7398373983739838,0.25203252032520324
has_deal&has_night_post,oversold,127,0.029884931677635087,0.019867519476113094,0.5590551181102362,0.4330708661417323
has_deal&has_night_post,risk_off,32,0.07925839227765696,0.07555553730220776,0.71875,0.28125
has_deal&lots_of_excl,calm_bull,84,0.0321062364357937,0.027783694675904247,0.6547619047619048,0.3333333333333333
has_deal&lots_of_excl,neutral,121,0.056353665222603426,0.05622007638559756,0.7355371900826446,0.256198347107438
has_deal&lots_of_excl,oversold,125,0.02714689714375177,0.019867519476113094,0.536,0.456
has_deal&lots_of_excl,risk_off,28,0.08978291610995139,0.08579431176983499,0.75,0.25
has_deal&volume_spike,calm_bull,19,0.0724453392279003,0.05335609572088784,0.8947368421052632,0.10526315789473684
has_deal&volume_spike,neutral,35,0.05979971736119238,0.052305237307284536,0.7714285714285715,0.22857142857142856
has_deal&volume_spike,oversold,31,0.07100414178362453,0.09395995218020259,0.6451612903225806,0.3548387096774194
has_deal&volume_spike,risk_off,9,0.13584648715981307,0.14950184513258713,0.8888888888888888,0.1111111111111111
has_night_post&deal_over_tariff,calm_bull,74,0.03428645399212999,0.028979920310644003,0.6621621621621622,0.32432432432432434
has_night_post&deal_over_tariff,neutral,105,0.055498208451604275,0.06137195352448521,0.7238095238095238,0.26666666666666666
has_night_post&deal_over_tariff,oversold,110,0.03947824768286801,0.03469270188796292,0.5909090909090909,0.4
has_night_post&deal_over_tariff,risk_off,29,0.08501948868972245,0.09158870768315142,0.7241379310344828,0.27586206896551724
has_relief&has_attack,calm_bull,19,0.05824029703693643,0.05271574948658997,0.6842105263157895,0.3157894736842105
has_relief&has_attack,neutral,22,0.040761914088214876,0.030030589265216512,0.6818181818181818,0.3181818181818182
has_relief&has_attack,oversold,36,0.09449847818632791,0.08579431176983499,0.8333333333333334,0.16666666666666666
has_relief&has_attack,risk_off,11,0.11695299428770313,0.07999991585651856,0.9090909090909091,0.09090909090909091
has_relief&short_posts,calm_bull,10,0.06782791980913865,0.05601388997588452,0.8,0.2
has_relief&short_posts,neutral,12,0.08116028252704019,0.03517156909208674,0.75,0.25
has_relief&short_posts,oversold,27,0.08524573224317812,0.09158870768315142,0.8148148148148148,0.18518518518518517
has_relief&short_posts,risk_off,7,0.10853210799711517,0.07184737394924223,1.0,0.0
positive_heavy&has_china,calm_bull,48,0.032154382515127984,0.022003117575363662,0.6458333333333334,0.3541666666666667
positive_heavy&has_china,neutral,117,0.07048012393475138,0.06763291347590994,0.7094017094017094,0.2905982905982906
positive_heavy&has_china,oversold,89,0.030833468905275132,0.021882005346293365,0.550561797752809,0.449438202247191
positive_heavy&has_china,risk_off,24,0.046712159367688556,0.008502883470453027,0.5416666666666666,0.4583333333333333
posts_high&deal_over_tariff,calm_bull,54,0.043473371057882654,0.04921881013254037,0.6666666666666666,0.3148148148148148
posts_high&deal_over_tariff,neutral,72,0.06236501131571494,0.06269623595466578,0.7222222222222222,0.2777777777777778
posts_high&deal_over_tariff,oversold,73,0.046479125782547884,0.06319696307663003,0.6027397260273972,0.3835616438356164
posts_high&deal_over_tariff,risk_off,17,0.09203878175971003,0.09158870768315142,0.7058823529411765,0.29411764705882354
posts_high&has_china,calm_bull,40,0.03809575530391152,0.02030236685502551,0.625,0.375
posts_high&has_china,neutral,92,0.09210078914539757,0.08735377539143441,0.8152173913043478,0.18478260869565216
posts_high&has_china,oversold,70,0.03243835242228623,0.04685869041174762,0.5857142857142857,0.4142857142857143
posts_high&has_china,risk_off,17,0.05701430961291182,0.07184737394924223,0.5294117647058824,0.47058823529411764
posts_high&has_deal,calm_bull,59,0.04299503668829595,0.0514706466653021,0.6779661016949152,0.3050847457627119
