event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_exclamation,1016,0.011553126335976749,0.018085143543005056,0.050603012964232544,0.7214566929133859,0.2785433070866142,long,0.7214566929133859,0.2656786422536656
exclamation_heavy,900,0.01200713485772959,0.019281058762512515,0.05210378466056954,0.73,0.27,long,0.73,0.262956253384278
has_exclamation&exclamation_heavy,900,0.01200713485772959,0.019281058762512515,0.05210378466056954,0.73,0.27,long,0.73,0.262956253384278
has_positive&has_exclamation,924,0.011912150478758338,0.019132754576590583,0.051405353876794076,0.724025974025974,0.275974025974026,long,0.724025974025974,0.26216837555694245
has_positive,931,0.011744083011686793,0.019000966243472694,0.051428442339986356,0.7228786251342643,0.2771213748657358,long,0.7228786251342643,0.259035529359921
has_china&short_posts,143,0.025751190017819815,0.02276278949049204,0.06238602851918469,0.8251748251748252,0.17482517482517482,long,0.8251748251748252,0.25410387742679885
has_positive&exclamation_heavy,860,0.011875937179751649,0.019508156325771298,0.05273846624393352,0.7244186046511628,0.2755813953488372,long,0.7244186046511628,0.25229387819729915
has_china&deal_only,93,0.029844730738642394,0.02640698559352872,0.052412417469998744,0.8494623655913979,0.15053763440860216,long,0.8494623655913979,0.24448559853384672
lots_of_excl,795,0.011859038711479869,0.019489457721581394,0.0533643949803815,0.7257861635220125,0.2742138364779874,long,0.7257861635220125,0.24268433027409403
has_exclamation&lots_of_excl,795,0.011859038711479869,0.019489457721581394,0.0533643949803815,0.7257861635220125,0.2742138364779874,long,0.7257861635220125,0.24268433027409403
exclamation_heavy&lots_of_excl,795,0.011859038711479869,0.019489457721581394,0.0533643949803815,0.7257861635220125,0.2742138364779874,long,0.7257861635220125,0.24268433027409403
exclamation_heavy&short_posts,450,0.014781952616086648,0.02011090326463716,0.05716822879849702,0.7622222222222222,0.23777777777777778,long,0.7622222222222222,0.23901197962443277
has_positive&lots_of_excl,779,0.011747132008490719,0.01957891126003064,0.05360390913619739,0.7227214377406932,0.2772785622593068,long,0.7227214377406932,0.23695807615274106
has_positive&short_posts,464,0.014236690417895364,0.019484350436499542,0.05601905867795803,0.7543103448275862,0.24568965517241378,long,0.7543103448275862,0.23132261614639393
has_attack&has_exclamation,642,0.01232523834301112,0.01930398248197962,0.05234888279441503,0.735202492211838,0.26479750778816197,long,0.735202492211838,0.22959890417055492
has_exclamation&short_posts,527,0.013389930402457706,0.018611377018854736,0.05476121753246371,0.7419354838709677,0.25806451612903225,long,0.7419354838709677,0.2280603410525149
has_attack,643,0.012201109564891024,0.01925913896285736,0.05240271271148045,0.7340590979782271,0.26594090202177295,long,0.7340590979782271,0.22710978138511587
has_attack&has_positive,619,0.012386079278112928,0.0195268549299612,0.052705558131878306,0.7318255250403877,0.2681744749596123,long,0.7318255250403877,0.22552086722822293
has_attack&exclamation_heavy,632,0.012146477547535582,0.01939240045028079,0.05237557473842719,0.7373417721518988,0.2626582278481013,long,0.7373417721518988,0.22515299547744017
pre_deal&pre_action,27,0.04840784808028153,0.04410147254942265,0.06248422645462492,0.8888888888888888,0.1111111111111111,long,0.8888888888888888,0.22358627296032837
pre_deal&deal_only,131,0.024326525886668598,0.021113641434473696,0.052100619325623224,0.8015267175572519,0.1984732824427481,long,0.8015267175572519,0.22316893569234714
has_action,194,0.020765876486454966,0.022746056903401257,0.05714536590120289,0.7680412371134021,0.23195876288659795,long,0.7680412371134021,0.22214455362004903
short_posts,574,0.012635271262531235,0.01817887171041843,0.054110819393418975,0.7299651567944251,0.2700348432055749,long,0.7299651567944251,0.220974747770633
deal_over_tariff&deal_only,273,0.017772911919785774,0.02008038032549364,0.049779709588762384,0.7509157509157509,0.2490842490842491,long,0.7509157509157509,0.22051144040581377
has_exclamation&deal_only,273,0.017772911919785774,0.02008038032549364,0.049779709588762384,0.7509157509157509,0.2490842490842491,long,0.7509157509157509,0.22051144040581377
deal_only,273,0.017772911919785774,0.02008038032549364,0.049779709588762384,0.7509157509157509,0.2490842490842491,long,0.7509157509157509,0.22051144040581377
has_deal&deal_only,273,0.017772911919785774,0.02008038032549364,0.049779709588762384,0.7509157509157509,0.2490842490842491,long,0.7509157509157509,0.22051144040581377
has_action&pre_deal,52,0.035284935970431676,0.026666515047823358,0.052505970196806084,0.8653846153846154,0.1346153846153846,long,0.8653846153846154,0.22019131019917232
has_action&lots_of_excl,178,0.0210594983790526,0.02368793534452085,0.05730993162264558,0.7752808988764045,0.2247191011235955,long,0.7752808988764045,0.21782970717450525
has_attack&lots_of_excl,592,0.01212724163529534,0.019508156325771298,0.05347846431599997,0.7364864864864865,0.2635135135135135,long,0.7364864864864865,0.21731398055784115
has_relief&deal_only,33,0.04437561637723931,0.029170093392654417,0.06922291293551373,0.8484848484848485,0.15151515151515152,long,0.8484848484848485,0.21629449185509464
lots_of_excl&short_posts,384,0.014570519935665832,0.02031113355917835,0.05948670220520276,0.7526041666666666,0.24739583333333334,long,0.7526041666666666,0.21488558350845074
has_action&has_exclamation,192,0.020244635377321827,0.022746056903401257,0.05691358303146585,0.765625,0.234375,long,0.765625,0.21477151445714485
short_posts&china_streak_3d,39,0.041592756249051316,0.03847002059927496,0.060839181659192436,0.8205128205128205,0.1794871794871795,long,0.8205128205128205,0.21312548063441883
has_positive&deal_only,259,0.017632988913773497,0.02008038032549364,0.05077667924605654,0.7451737451737451,0.2548262548262548,long,0.7451737451737451,0.2114624995683866
has_action&exclamation_heavy,185,0.020133441005449556,0.023125827265951804,0.05749902740839957,0.7675675675675676,0.23243243243243245,long,0.7675675675675676,0.21019408312782786
has_attack&has_uppercase_phrase,225,0.01812302461713726,0.025628677172829795,0.06054056926377291,0.7688888888888888,0.2311111111111111,long,0.7688888888888888,0.2090188839176497
has_china,307,0.015776502229393745,0.0205319926612475,0.05608868214953196,0.755700325732899,0.24429967426710097,long,0.755700325732899,0.20889570959135928
has_china&has_exclamation,307,0.015776502229393745,0.0205319926612475,0.05608868214953196,0.755700325732899,0.24429967426710097,long,0.755700325732899,0.20889570959135928
deal_heavy&deal_only,100,0.02673930862605369,0.027674229756677327,0.05994592323874508,0.78,0.22,long,0.78,0.2085666072832188
has_action&has_positive,185,0.02009145306176232,0.023125827265951804,0.05763351100047715,0.7621621621621621,0.23783783783783785,long,0.7621621621621621,0.20827857398867877
has_action&has_uppercase_phrase,88,0.027798352573371262,0.023412461600187173,0.06216133770784535,0.7954545454545454,0.20454545454545456,long,0.7954545454545454,0.20743200387520028
exclamation_heavy&deal_only,259,0.01734447933403994,0.02008038032549364,0.05076233489949089,0.7413127413127413,0.25868725868725867,long,0.7413127413127413,0.2069248332519369
posts_high&pre_relief,24,0.05037200186499052,0.030189387631002873,0.0795050653748895,0.8333333333333334,0.16666666666666666,long,0.8333333333333334,0.205642836486249
has_positive&has_china,299,0.015798971295271334,0.0205319926612475,0.05637629736148932,0.7525083612040134,0.24749163879598662,long,0.7525083612040134,0.205577572719632
has_night_post&deal_only,148,0.021638696099482047,0.026485374928887584,0.05401757201587192,0.7635135135135135,0.23648648648648649,long,0.7635135135135135,0.20099195448302265
has_attack&pre_relief,22,0.05212511563148832,0.034804185239005414,0.08381799093132947,0.8181818181818182,0.18181818181818182,long,0.8181818181818182,0.2000360158695421
has_positive&positive_heavy,626,0.011066234340127679,0.019630466731653917,0.0557839081759689,0.7220447284345048,0.2779552715654952,long,0.7220447284345048,0.19991764667468784
positive_heavy,626,0.011066234340127679,0.019630466731653917,0.0557839081759689,0.7220447284345048,0.2779552715654952,long,0.7220447284345048,0.19991764667468784
positive_heavy&has_exclamation,626,0.011066234340127679,0.019630466731653917,0.0557839081759689,0.7220447284345048,0.2779552715654952,long,0.7220447284345048,0.19991764667468784
has_china&exclamation_heavy,300,0.015355211733655233,0.020595265989898248,0.05645652467163018,0.75,0.25,long,0.75,0.19947005162751485
posts_very_high&has_action,88,0.027493317395190432,0.024731696027116334,0.062122720438099674,0.7727272727272727,0.22727272727272727,long,0.7727272727272727,0.19929422876399006
positive_heavy&exclamation_heavy,624,0.011040256842417698,0.019630466731653917,0.05587133152846751,0.7211538461538461,0.27884615384615385,long,0.7211538461538461,0.19888379389241176
has_china&lots_of_excl,282,0.01582199832468118,0.020916108132294275,0.05706173984293562,0.74822695035461,0.25177304964539005,long,0.74822695035461,0.19880130701456525
pre_action&deal_only,38,0.03940400719653734,0.03563603662228476,0.055239665029184676,0.8157894736842105,0.18421052631578946,long,0.8157894736842105,0.1981573954157415
short_posts&deal_over_tariff,151,0.020619268982430782,0.019682022203277194,0.056292555114003266,0.7814569536423841,0.2185430463576159,long,0.7814569536423841,0.19800073288916378
deal_over_tariff,314,0.015221193498623123,0.01979071816098954,0.05210074765720426,0.732484076433121,0.267515923566879,long,0.732484076433121,0.19756577794844615
has_deal&deal_over_tariff,314,0.015221193498623123,0.01979071816098954,0.05210074765720426,0.732484076433121,0.267515923566879,long,0.732484076433121,0.19756577794844615
has_exclamation&deal_over_tariff,314,0.015221193498623123,0.01979071816098954,0.05210074765720426,0.732484076433121,0.267515923566879,long,0.732484076433121,0.19756577794844615
positive_heavy&lots_of_excl,605,0.011089785864839092,0.019939351645829273,0.05636873742150368,0.7223140495867768,0.27768595041322314,long,0.7223140495867768,0.1970275286675886
has_positive&has_uppercase_phrase,280,0.016150485287367233,0.022746056903401257,0.0615794037298669,0.7285714285714285,0.2714285714285714,long,0.7285714285714285,0.1968959251149743
has_uppercase_phrase&exclamation_heavy,279,0.0160334034826203,0.023306035511766243,0.061777151458899414,0.7347670250896058,0.26523297491039427,long,0.7347670250896058,0.19677842545923285
has_uppercase_phrase,298,0.015688023769744902,0.022580325356154507,0.06097244513785973,0.7248322147651006,0.2751677852348993,long,0.7248322147651006,0.19629708834227
lots_of_excl&deal_only,242,0.017211500413504735,0.019989897222097763,0.05197120912628051,0.731404958677686,0.26859504132231404,long,0.731404958677686,0.195832295659165
has_relief&has_night_post,61,0.029904473023982307,0.029170093392654417,0.06893227723010863,0.8360655737704918,0.16393442622950818,long,0.8360655737704918,0.19527264652343562
has_exclamation&china_streak_3d,72,0.02956843465395624,0.02643177859186996,0.0510381194487034,0.7777777777777778,0.2222222222222222,long,0.7777777777777778,0.19514171276024847
china_streak_3d,72,0.02956843465395624,0.02643177859186996,0.0510381194487034,0.7777777777777778,0.2222222222222222,long,0.7777777777777778,0.19514171276024847
has_action&short_posts,104,0.023930702010307107,0.022198951890475715,0.0633700093055148,0.7980769230769231,0.20192307692307693,long,0.7980769230769231,0.19476766676030755
posts_very_high&has_relief,46,0.03466467714334965,0.030148739458931928,0.07696670943319076,0.8260869565217391,0.17391304347826086,long,0.8260869565217391,0.19421905668475012
posts_very_high&has_china,130,0.021912325122458602,0.023198615603981287,0.061162052630733335,0.7769230769230769,0.2230769230769231,long,0.7769230769230769,0.1941056427501835
positive_heavy&short_posts,282,0.015116814703630356,0.021085105324937792,0.06435302745963196,0.7588652482269503,0.24113475177304963,long,0.7588652482269503,0.1926413481458333
has_uppercase_phrase&has_exclamation,294,0.01530625569859935,0.022580325356154507,0.06101817156363701,0.7244897959183674,0.2755102040816326,long,0.7244897959183674,0.1901406185516881
has_china&deal_over_tariff,125,0.02131436222577824,0.02274984813874914,0.0586680050815764,0.792,0.208,long,0.792,0.1887350368222197
has_positive&deal_over_tariff,300,0.014981313110444934,0.01979071816098954,0.05301981310198092,0.7266666666666667,0.2733333333333333,long,0.7266666666666667,0.18855834042542208
has_relief&has_action,26,0.04565315805085242,0.02616328687691971,0.07196391564993042,0.8076923076923077,0.19230769230769232,long,0.8076923076923077,0.1880197391895028
short_posts&deal_only,138,0.02031249701581902,0.019390827400508015,0.05807140144181692,0.782608695652174,0.21739130434782608,long,0.782608695652174,0.18674437399992214
has_deal,359,0.013674644020102825,0.017837700556387226,0.05113191660748756,0.7186629526462396,0.28133704735376047,long,0.7186629526462396,0.18620378778726346
has_deal&has_exclamation,359,0.013674644020102825,0.017837700556387226,0.05113191660748756,0.7186629526462396,0.28133704735376047,long,0.7186629526462396,0.18620378778726346
has_attack&deal_only,192,0.018144537793207228,0.020221447863448705,0.0540552766253139,0.7395833333333334,0.2604166666666667,long,0.7395833333333334,0.18594462958132416
has_china&has_uppercase_phrase,124,0.022020785552755596,0.0237413323845288,0.06681492498474803,0.7580645161290323,0.24193548387096775,long,0.7580645161290323,0.18588734248326697
has_action&has_night_post,125,0.022568646768141746,0.02640698559352872,0.05928480203708173,0.736,0.264,long,0.736,0.18571130426818483
posts_high&has_china,205,0.017264277491582734,0.021227137478707858,0.06276939904161784,0.751219512195122,0.24878048780487805,long,0.751219512195122,0.1856915742942907
exclamation_heavy&china_streak_3d,68,0.028797125763274922,0.02643177859186996,0.05079415984578754,0.7794117647058824,0.22058823529411764,long,0.7794117647058824,0.18508471575051294
has_deal&short_posts,163,0.01887295471909408,0.019682022203277194,0.05662731888433852,0.7668711656441718,0.2331288343558282,long,0.7668711656441718,0.18478048757349966
