event,regime,n,mean_ret,median_ret,hit_up,hit_down
china_streak_3d,calm_bull,10,0.0119504338159935,0.017935885736414137,0.7,0.3
china_streak_3d,neutral,38,0.017217206735509406,0.020346276347252168,0.7368421052631579,0.2631578947368421
china_streak_3d,oversold,20,0.05506319622396636,0.05454004130763801,0.85,0.15
china_streak_3d,risk_off,13,0.07618528727344745,0.09916286153092035,0.9230769230769231,0.07692307692307693
deal_heavy&deal_only,calm_bull,25,0.015972967813299918,0.019682022203277194,0.8,0.2
deal_heavy&deal_only,neutral,55,0.013066902075171536,0.026591566704148972,0.7636363636363637,0.23636363636363636
deal_heavy&deal_only,oversold,18,0.07990086003858059,0.0728440678099681,0.7777777777777778,0.2222222222222222
deal_heavy&deal_only,risk_off,10,0.12925345282489303,0.11225061904377753,1.0,0.0
has_action&pre_deal,calm_bull,17,0.006772514160044227,0.00962406112297498,0.7058823529411765,0.29411764705882354
has_action&pre_deal,neutral,26,0.028074197336435736,0.03131852493131737,0.9230769230769231,0.07692307692307693
has_action&pre_deal,oversold,7,0.11722493061722039,0.0796474499648876,1.0,0.0
has_action&pre_deal,risk_off,6,0.1382285327123303,0.11261448602523949,1.0,0.0
has_attack&deal_only,calm_bull,54,0.012818744396118,0.01585392213257708,0.7407407407407407,0.25925925925925924
has_attack&deal_only,neutral,107,0.008951710379860593,0.019899414118701886,0.7289719626168224,0.27102803738317754
has_attack&deal_only,oversold,28,0.055647344103643345,0.06289317767116198,0.75,0.25
has_attack&deal_only,risk_off,16,0.07844102119489708,0.0922607408032502,0.8125,0.1875
has_attack&pre_relief,calm_bull,5,0.028233892897687695,0.03120868186935133,1.0,0.0
has_attack&pre_relief,neutral,8,0.00967991710663238,0.0173814688337105,0.625,0.375
has_attack&pre_relief,oversold,9,0.10312708250569394,0.13260436426576683,0.8888888888888888,0.1111111111111111
has_attack&pre_relief,risk_off,6,0.1346283064149734,0.1628349532399037,1.0,0.0
has_china&deal_only,calm_bull,21,0.017801093870027467,0.01738841877988717,0.9047619047619048,0.09523809523809523
has_china&deal_only,neutral,55,0.021768551383803535,0.026591566704148972,0.8363636363636363,0.16363636363636364
