event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_exclamation,1016,0.011553126335976749,0.018085143543005056,0.050603012964232544,0.7214566929133859,0.2785433070866142,long,0.7214566929133859,0.2656786422536656
has_exclamation&exclamation_heavy,900,0.01200713485772959,0.019281058762512515,0.05210378466056954,0.73,0.27,long,0.73,0.262956253384278
has_china&short_posts,143,0.025751190017819815,0.02276278949049204,0.06238602851918469,0.8251748251748252,0.17482517482517482,long,0.8251748251748252,0.25410387742679885
has_china&deal_only,93,0.029844730738642394,0.02640698559352872,0.052412417469998744,0.8494623655913979,0.15053763440860216,long,0.8494623655913979,0.24448559853384672
has_exclamation&lots_of_excl,795,0.011859038711479869,0.019489457721581394,0.0533643949803815,0.7257861635220125,0.2742138364779874,long,0.7257861635220125,0.24268433027409403
exclamation_heavy&short_posts,450,0.014781952616086648,0.02011090326463716,0.05716822879849702,0.7622222222222222,0.23777777777777778,long,0.7622222222222222,0.23901197962443277
has_positive&short_posts,464,0.014236690417895364,0.019484350436499542,0.05601905867795803,0.7543103448275862,0.24568965517241378,long,0.7543103448275862,0.23132261614639393
has_attack&has_exclamation,642,0.01232523834301112,0.01930398248197962,0.05234888279441503,0.735202492211838,0.26479750778816197,long,0.735202492211838,0.22959890417055492
has_exclamation&short_posts,527,0.013389930402457706,0.018611377018854736,0.05476121753246371,0.7419354838709677,0.25806451612903225,long,0.7419354838709677,0.2280603410525149
pre_deal&pre_action,27,0.04840784808028153,0.04410147254942265,0.06248422645462492,0.8888888888888888,0.1111111111111111,long,0.8888888888888888,0.22358627296032837
pre_deal&deal_only,131,0.024326525886668598,0.021113641434473696,0.052100619325623224,0.8015267175572519,0.1984732824427481,long,0.8015267175572519,0.22316893569234714
has_action,194,0.020765876486454966,0.022746056903401257,0.05714536590120289,0.7680412371134021,0.23195876288659795,long,0.7680412371134021,0.22214455362004903
has_deal&deal_only,273,0.017772911919785774,0.02008038032549364,0.049779709588762384,0.7509157509157509,0.2490842490842491,long,0.7509157509157509,0.22051144040581377
has_action&pre_deal,52,0.035284935970431676,0.026666515047823358,0.052505970196806084,0.8653846153846154,0.1346153846153846,long,0.8653846153846154,0.22019131019917232
has_relief&deal_only,33,0.04437561637723931,0.029170093392654417,0.06922291293551373,0.8484848484848485,0.15151515151515152,long,0.8484848484848485,0.21629449185509464
lots_of_excl&short_posts,384,0.014570519935665832,0.02031113355917835,0.05948670220520276,0.7526041666666666,0.24739583333333334,long,0.7526041666666666,0.21488558350845074
short_posts&china_streak_3d,39,0.041592756249051316,0.03847002059927496,0.060839181659192436,0.8205128205128205,0.1794871794871795,long,0.8205128205128205,0.21312548063441883
has_attack&has_uppercase_phrase,225,0.01812302461713726,0.025628677172829795,0.06054056926377291,0.7688888888888888,0.2311111111111111,long,0.7688888888888888,0.2090188839176497
has_china&has_exclamation,307,0.015776502229393745,0.0205319926612475,0.05608868214953196,0.755700325732899,0.24429967426710097,long,0.755700325732899,0.20889570959135928
deal_heavy&deal_only,100,0.02673930862605369,0.027674229756677327,0.05994592323874508,0.78,0.22,long,0.78,0.2085666072832188
has_action&has_uppercase_phrase,88,0.027798352573371262,0.023412461600187173,0.06216133770784535,0.7954545454545454,0.20454545454545456,long,0.7954545454545454,0.20743200387520028
posts_high&pre_relief,24,0.05037200186499052,0.030189387631002873,0.0795050653748895,0.8333333333333334,0.16666666666666666,long,0.8333333333333334,0.205642836486249
has_night_post&deal_only,148,0.021638696099482047,0.026485374928887584,0.05401757201587192,0.7635135135135135,0.23648648648648649,long,0.7635135135135135,0.20099195448302265
has_attack&pre_relief,22,0.05212511563148832,0.034804185239005414,0.08381799093132947,0.8181818181818182,0.18181818181818182,long,0.8181818181818182,0.2000360158695421
has_positive&positive_heavy,626,0.011066234340127679,0.019630466731653917,0.0557839081759689,0.7220447284345048,0.2779552715654952,long,0.7220447284345048,0.19991764667468784
