event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_exclamation,1016,0.020369962916203438,0.027456589844100043,0.054722219525853565,0.7312992125984252,0.2687007874015748,long,0.7312992125984252,0.47482349256450496
has_exclamation&exclamation_heavy,900,0.021060518041290947,0.028275457284486882,0.05559053206588378,0.7333333333333333,0.26666666666666666,long,0.7333333333333333,0.4633313969084008
exclamation_heavy&short_posts,450,0.025707357896664583,0.032912592831217835,0.05845818565143244,0.7822222222222223,0.21777777777777776,long,0.7822222222222223,0.4265734784988411
lots_of_excl,795,0.020733119344443714,0.02798046826547762,0.056935281658535224,0.7295597484276729,0.27044025157232704,long,0.7295597484276729,0.4264902201676368
has_exclamation&short_posts,527,0.023796682880333413,0.030642769332380748,0.05722590956372596,0.7760910815939279,0.2239089184060721,long,0.7760910815939279,0.42396931314725084
has_attack&has_exclamation,642,0.022001860337772475,0.02997076603099036,0.054474213723949706,0.7507788161993769,0.24922118380062305,long,0.7507788161993769,0.4185418867759549
has_positive&short_posts,464,0.024883809895600486,0.031717029531595387,0.057521613184868266,0.7801724137931034,0.21982758620689655,long,0.7801724137931034,0.4181830781795786
lots_of_excl&short_posts,384,0.025782568976663266,0.03300015024206371,0.06084036501727958,0.7708333333333334,0.22916666666666666,long,0.7708333333333334,0.3894505192141081
has_china&short_posts,143,0.038391102518950046,0.04253281536395681,0.06313971402861113,0.8111888111888111,0.1888111888111888,long,0.8111888111888111,0.3724093317472868
positive_heavy,626,0.02046563186253426,0.029157244110659453,0.058672849535644674,0.7188498402555911,0.28115015974440893,long,0.7188498402555911,0.3680870216020458
has_action,194,0.03382485332490805,0.03846571317062231,0.061675335839342045,0.7783505154639175,0.22164948453608246,long,0.7783505154639175,0.36670092407085747
has_attack&short_posts,310,0.026107865295784474,0.03360508091901826,0.058972765213957994,0.7967741935483871,0.2032258064516129,long,0.7967741935483871,0.3662582952232252
has_attack&has_uppercase_phrase,225,0.03104334328730956,0.04156465967574685,0.061861562155931756,0.7822222222222223,0.21777777777777776,long,0.7822222222222223,0.36424189457109885
deal_over_tariff&deal_only,273,0.02898065177348694,0.031476751368453515,0.05347998341919082,0.7582417582417582,0.24175824175824176,long,0.7582417582417582,0.3630756892176259
positive_heavy&short_posts,282,0.027783774735789992,0.03478148210193177,0.06491583815760987,0.7695035460992907,0.23049645390070922,long,0.7695035460992907,0.35902643676283064
has_uppercase_phrase,298,0.027993042775678753,0.03762972020654676,0.0645380037925597,0.7416107382550335,0.25838926174496646,long,0.7416107382550335,0.35837214772808357
deal_over_tariff,314,0.026681027252039895,0.03144387016159811,0.05641052123165536,0.7388535031847133,0.2611464968152866,long,0.7388535031847133,0.34932181443322813
posts_high&lots_of_excl,419,0.02293398127736457,0.03320299884103761,0.06394550417474838,0.7279236276849642,0.2720763723150358,long,0.7279236276849642,0.341721482250774
has_china&deal_only,93,0.04273927060962995,0.04525633179412303,0.054287081436664504,0.8279569892473119,0.17204301075268819,long,0.8279569892473119,0.3412529049945248
has_night_post&has_exclamation,486,0.02147983122740253,0.0321657963516101,0.06021374451588674,0.720164609053498,0.27983539094650206,long,0.720164609053498,0.3410207258126427
pre_deal&deal_only,131,0.03640930915367429,0.041457146285043045,0.055476109483780525,0.816793893129771,0.183206106870229,long,0.816793893129771,0.34037728385336463
