event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&deal_over_tariff,calm_bull,35,0.004194538130195826,0.001121899881249444,0.5142857142857142,0.4857142857142857
attack_heavy&deal_over_tariff,neutral,38,0.0085466087695268,0.0070902647082473624,0.6842105263157895,0.3157894736842105
attack_heavy&deal_over_tariff,oversold,30,0.0078351328316097,0.0011198288871606676,0.5333333333333333,0.4666666666666667
attack_heavy&deal_over_tariff,risk_off,10,0.01690361590732333,0.01789607744392019,0.8,0.2
attack_heavy&has_china,calm_bull,34,0.005942694525570571,0.003394294135272369,0.6176470588235294,0.38235294117647056
attack_heavy&has_china,neutral,65,0.0031778870268699957,0.00272112077487896,0.5692307692307692,0.4307692307692308
attack_heavy&has_china,oversold,43,0.01007581261708,0.012483468170206624,0.6976744186046512,0.3023255813953488
attack_heavy&has_china,risk_off,15,0.019624481157890596,0.01551150628658271,1.0,0.0
deal_heavy&short_posts,calm_bull,24,0.003163311784149206,0.002164034479381738,0.625,0.375
deal_heavy&short_posts,neutral,30,0.007853353237338838,0.003589157892356587,0.6666666666666666,0.3333333333333333
deal_heavy&short_posts,oversold,13,0.012501106338646966,0.014582084663614658,0.6923076923076923,0.3076923076923077
deal_heavy&short_posts,risk_off,7,0.025677979348944113,0.01639318563958092,0.8571428571428571,0.14285714285714285
deal_over_tariff&volume_spike,calm_bull,17,0.008564969217618238,0.0024394483689638147,0.7058823529411765,0.29411764705882354
deal_over_tariff&volume_spike,neutral,17,0.009796836331912992,0.011697055184730853,0.6470588235294118,0.35294117647058826
deal_over_tariff&volume_spike,oversold,18,0.007809494979809841,0.00398229536424588,0.5555555555555556,0.4444444444444444
deal_over_tariff&volume_spike,risk_off,7,0.015472462030333938,0.01639318563958092,0.7142857142857143,0.2857142857142857
has_action&deal_only,calm_bull,14,0.0009527828710275291,-0.00030128270841461857,0.5,0.5
has_action&deal_only,neutral,22,0.012091264739791042,0.007639330655693444,0.8181818181818182,0.18181818181818182
has_action&deal_only,oversold,20,0.018905939500950115,0.01604975368938255,0.75,0.25
has_action&deal_only,risk_off,9,0.031143384503345157,0.027973582328501223,1.0,0.0
has_action&deal_over_tariff,calm_bull,22,0.0034171848468720293,0.001614563491407539,0.5909090909090909,0.4090909090909091
has_action&deal_over_tariff,neutral,29,0.009947730379101724,0.0071484364028227,0.7931034482758621,0.20689655172413793
has_action&deal_over_tariff,oversold,28,0.018797371539770097,0.020003328578379942,0.7857142857142857,0.21428571428571427
has_action&deal_over_tariff,risk_off,11,0.029238900958117764,0.02750279639809672,1.0,0.0
has_action&has_china,calm_bull,21,0.008200531456112051,0.003657204833660277,0.6666666666666666,0.3333333333333333
has_action&has_china,neutral,33,0.0043819510695809975,0.0051353510288811854,0.6060606060606061,0.3939393939393939
has_action&has_china,oversold,34,0.009832011617679392,0.012329449637695111,0.7352941176470589,0.2647058823529412
has_action&has_china,risk_off,12,0.01475036848236542,0.01585806972399595,0.9166666666666666,0.08333333333333333
has_action&pre_deal,calm_bull,17,0.002922025865622905,0.001714808075850005,0.5882352941176471,0.4117647058823529
has_action&pre_deal,neutral,15,0.006312615506336757,0.004321471342245253,0.6666666666666666,0.3333333333333333
has_action&pre_deal,oversold,20,0.016022840025187994,0.017573774450084012,0.75,0.25
has_action&pre_deal,risk_off,9,0.02483786990494309,0.019398969248259457,1.0,0.0
has_attack&deal_only,calm_bull,38,0.0014434271484343847,0.00016243538363402976,0.5,0.5
has_attack&deal_only,neutral,58,0.007341555009706318,0.0069938616649273255,0.7068965517241379,0.29310344827586204
has_attack&deal_only,oversold,40,0.006870149958844973,0.00039119473840076857,0.55,0.45
has_attack&deal_only,risk_off,11,0.02463743212436957,0.01639318563958092,0.9090909090909091,0.09090909090909091
has_attack&deal_over_tariff,calm_bull,48,0.0026292569539780528,0.0008334227891846346,0.5208333333333334,0.4791666666666667
has_attack&deal_over_tariff,neutral,73,0.005951443849948804,0.005426925134006222,0.6575342465753424,0.3424657534246575
has_attack&deal_over_tariff,oversold,56,0.009188958357116478,0.004528167222144552,0.625,0.375
has_attack&deal_over_tariff,risk_off,15,0.022246907098599653,0.019398969248259457,0.8666666666666667,0.13333333333333333
has_attack&tariff_only,calm_bull,23,0.003348169383388526,0.0022306643680234384,0.6521739130434783,0.34782608695652173
has_attack&tariff_only,neutral,42,0.00518112423623842,0.006577458516623502,0.6428571428571429,0.35714285714285715
