event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_action&deal_over_tariff,79,0.005380973246828722,0.003704089049704651,0.01572345035023143,0.6835443037974683,0.31645569620253167,long,0.6835443037974683,0.03269196663415354
pre_action&short_posts,37,0.008266390422429291,0.0006330295486443038,0.025181645790897052,0.6216216216216216,0.3783783783783784,long,0.6216216216216216,0.03125668292471584
posts_low&has_attack,30,0.007358041244964519,0.00315863310778286,0.014224512110716712,0.7666666666666667,0.23333333333333334,long,0.7666666666666667,0.030897932961723554
has_china&pre_action,33,0.008297562511473447,0.004307419569164139,0.024830604402893208,0.6363636363636364,0.36363636363636365,long,0.6363636363636364,0.030332824875006586
posts_high&pre_action,57,0.00629073548960899,0.003201957471006933,0.02099924346640872,0.631578947368421,0.3684210526315789,long,0.631578947368421,0.029996217740608264
has_action&deal_only,56,0.005776338477958086,0.004005754309434395,0.016998679228067283,0.6785714285714286,0.32142857142857145,long,0.6785714285714286,0.029332036511186425
positive_heavy&pre_action,62,0.005844234398143486,0.0028191266127330916,0.020675321480850835,0.6290322580645161,0.3709677419354839,long,0.6290322580645161,0.028946521920541084
has_attack&pre_action,64,0.005356764825128587,0.0030550577556613945,0.019039360104172825,0.65625,0.34375,long,0.65625,0.028123015331925082
has_action&pre_action,75,0.0051591206340727185,0.0017507533144689447,0.019066125814007136,0.6266666666666667,0.37333333333333335,long,0.6266666666666667,0.02799902505651819
pre_action,75,0.0051591206340727185,0.0017507533144689447,0.019066125814007136,0.6266666666666667,0.37333333333333335,long,0.6266666666666667,0.02799902505651819
pre_action&has_exclamation,74,0.005221277364951563,0.002240424249809636,0.019188619331354986,0.6216216216216216,0.3783783783783784,long,0.6216216216216216,0.027920213585499815
pre_action&exclamation_heavy,73,0.005135908555375688,0.0017507533144689447,0.01930725910089612,0.6164383561643836,0.3835616438356164,long,0.6164383561643836,0.027050068314701647
pre_action&lots_of_excl,70,0.005222088648421156,0.002240424249809636,0.019627081235928913,0.6142857142857143,0.38571428571428573,long,0.6142857142857143,0.026838835938215372
has_positive&pre_action,72,0.005137572263711322,0.002240424249809636,0.01941770044290761,0.6111111111111112,0.3888888888888889,long,0.6111111111111112,0.026640622701045447
has_attack&tariff_only,109,0.003688097569537131,0.0021605126279586884,0.013033950303655653,0.6422018348623854,0.3577981651376147,long,0.6422018348623854,0.024727897561940354
posts_very_high&sig_potus,29,-0.006792428316975512,-0.0027652403144732274,0.019332325142104884,0.3448275862068966,0.6551724137931034,short,0.6551724137931034,0.023965123193918865
pre_action&deal_over_tariff,36,0.005592789812940674,0.004483732018036979,0.018809035903896272,0.6944444444444444,0.3055555555555556,long,0.6944444444444444,0.023303290887252807
has_russia&pre_action,35,0.005442990192038533,0.004097381912668174,0.018012978405354114,0.7142857142857143,0.2857142857142857,long,0.7142857142857143,0.023000831596234755
has_deal&has_action,106,0.003542970206233973,0.0029270898511132293,0.014847338718254216,0.6132075471698113,0.3867924528301887,long,0.6132075471698113,0.022368039668442377
has_action&pre_deal,52,0.004909244990817416,0.0028251881673959645,0.015771413383872262,0.6153846153846154,0.38461538461538464,long,0.6153846153846154,0.02178527327779315
pre_action&deal_only,28,0.005950509604230916,0.004497783761027163,0.021043719153413475,0.6785714285714286,0.32142857142857145,long,0.6785714285714286,0.021366271653645096
deal_heavy&short_posts,67,0.0035740560984677742,0.0027628315736780706,0.015430467411217537,0.7164179104477612,0.2835820895522388,long,0.7164179104477612,0.02095874148710746
short_posts&china_streak_3d,39,0.004982656792295592,0.0047078080405855705,0.016620080378839913,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.02074445446306144
posts_very_high&pre_action,34,0.006045860222723265,0.0033061235450102533,0.024840760116252462,0.5882352941176471,0.4117647058823529,long,0.5882352941176471,0.02073712948332827
pre_deal&pre_action,27,0.005890522887285088,0.004097381912668174,0.020073861458347355,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.020405369847850182
has_action&has_attack,148,0.0028459932010907597,0.001662199282765453,0.02008649734309723,0.5878378378378378,0.41216216216216217,long,0.5878378378378378,0.020352710405970503
pre_action&has_night_post,47,0.0049390782601756575,0.003704089049704651,0.020730432636013974,0.5957446808510638,0.40425531914893614,long,0.5957446808510638,0.020172281035982825
