event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_action&deal_only,56,0.0074725988813457945,0.0062421483428748425,0.016818631519708114,0.7321428571428571,0.26785714285714285,long,0.7321428571428571,0.040941289175508336
has_action&deal_over_tariff,79,0.006386415975169929,0.00578389214093189,0.016052793601543415,0.7088607594936709,0.2911392405063291,long,0.7088607594936709,0.04023756432608842
posts_low&has_attack,30,0.008273062804130045,0.003370585795411385,0.015321542505652238,0.8,0.2,long,0.8,0.036250744939831755
positive_heavy&pre_action,62,0.006606234217301425,0.005833679946981252,0.021257884399472304,0.6774193548387096,0.3225806451612903,long,0.6774193548387096,0.035237688552791975
deal_heavy&short_posts,67,0.005439717697794712,0.004632957536425231,0.01400124667890127,0.7910447761194029,0.208955223880597,long,0.7910447761194029,0.03522206629552121
has_china&pre_action,33,0.00865099576755361,0.0061452861461719355,0.024036247277996244,0.696969696969697,0.30303030303030304,long,0.696969696969697,0.034636736492663106
posts_high&pre_action,57,0.006697935339074715,0.005883467753030613,0.021565820193753152,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.03371220191210876
has_attack&pre_action,64,0.005967281815814636,0.0061138839971423,0.01978814332334567,0.6875,0.3125,long,0.6875,0.0328200499869805
pre_action,75,0.0056870264925112,0.00578389214093189,0.019987025002582193,0.6533333333333333,0.3466666666666667,long,0.6533333333333333,0.03217738150813077
has_action&pre_action,75,0.0056870264925112,0.00578389214093189,0.019987025002582193,0.6533333333333333,0.3466666666666667,long,0.6533333333333333,0.03217738150813077
pre_action&has_exclamation,74,0.005743454540353807,0.005833679946981252,0.020117441003332483,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.032047825370332704
pre_action&deal_over_tariff,36,0.007064053050918016,0.006409209133960814,0.018202922431792633,0.75,0.25,long,0.75,0.03178823872913107
pre_action&lots_of_excl,70,0.005747763754717242,0.005833679946981252,0.020574989129334875,0.6571428571428571,0.34285714285714286,long,0.6571428571428571,0.031601501724933284
has_positive&pre_action,72,0.005683244647317938,0.005833679946981252,0.020339593408895292,0.6527777777777778,0.3472222222222222,long,0.6527777777777778,0.031479509829208524
pre_action&short_posts,37,0.007951502623456601,0.001976007425682935,0.025658761787659346,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.03137325549245177
pre_action&deal_only,28,0.007876151714370798,0.006762827976293462,0.020081264538608794,0.75,0.25,long,0.75,0.031257508086660245
pre_action&exclamation_heavy,73,0.0056556495490554925,0.00578389214093189,0.020242380831929658,0.6438356164383562,0.3561643835616438,long,0.6438356164383562,0.031111354433954463
has_russia&pre_action,35,0.006806543382617775,0.00632778124444755,0.020738524286739755,0.7428571428571429,0.2571428571428571,long,0.7428571428571429,0.02991341131903094
has_night_post&deal_over_tariff,144,0.0037228722980422787,0.0037616495653512994,0.014816033716751989,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.02978297838433823
pre_deal&has_night_post,101,0.00405330251960552,0.0034976149338812323,0.015894963556071614,0.7029702970297029,0.297029702970297,long,0.7029702970297029,0.02863562592627335
has_attack&deal_over_tariff,175,0.0032865819969083677,0.002877925780031987,0.014157685901173141,0.6342857142857142,0.3657142857142857,long,0.6342857142857142,0.02757708936068048
pre_action&has_night_post,47,0.005832494441790119,0.006064110274477619,0.02146755057946254,0.6808510638297872,0.3191489361702128,long,0.6808510638297872,0.027224216069223452
has_market_brag&open_deal,33,0.006005652910931749,0.008226238656425577,0.010524204048828246,0.7878787878787878,0.21212121212121213,long,0.7878787878787878,0.027181699511681316
