event,regime,n,mean_ret,median_ret,hit_up,hit_down
deal_heavy&short_posts,calm_bull,24,0.002634085633148866,0.00258173227749503,0.7916666666666666,0.20833333333333334
deal_heavy&short_posts,neutral,33,0.006046618924539918,0.007850857465203198,0.8181818181818182,0.18181818181818182
deal_heavy&short_posts,oversold,10,0.010170460604685561,0.007156606560104195,0.7,0.3
deal_heavy&short_posts,risk_off,5,0.011632733261080363,0.002877925780031987,0.8,0.2
has_action&deal_only,calm_bull,14,0.0022541810700403286,0.0022966765189162963,0.6428571428571429,0.35714285714285715
has_action&deal_only,neutral,26,0.0026567065821671396,0.005964589143551913,0.7307692307692307,0.2692307692307692
has_action&deal_only,oversold,15,0.019229395150279074,0.016791021162414044,0.8,0.2
has_action&deal_only,risk_off,8,0.030356104165534442,0.023498496106722055,1.0,0.0
has_action&deal_over_tariff,calm_bull,22,0.0024001794839925957,0.002426801817920987,0.6818181818181818,0.3181818181818182
has_action&deal_over_tariff,neutral,38,0.0019767180680954565,0.005752298166315173,0.6578947368421053,0.34210526315789475
has_action&deal_over_tariff,oversold,18,0.019289773489927317,0.016534808193585993,0.8333333333333334,0.16666666666666666
has_action&deal_over_tariff,risk_off,10,0.02853452336640232,0.023498496106722055,1.0,0.0
has_china&pre_action,calm_bull,7,0.0018875447571114876,0.0015586443458273092,0.5714285714285714,0.42857142857142855
has_china&pre_action,neutral,16,-0.0011657583854901288,0.005641476490824027,0.5625,0.4375
has_china&pre_action,oversold,10,0.02909221811973308,0.017523578886109226,1.0,0.0
has_china&pre_action,risk_off,5,0.030706196680826813,0.006082481848112664,1.0,0.0
pre_action&deal_only,calm_bull,5,0.005934069433448319,0.007046248224243046,0.8,0.2
pre_action&deal_only,neutral,14,0.0007292274371497995,0.0062421483428748425,0.7142857142857143,0.2857142857142857
pre_action&deal_only,oversold,8,0.018907626591346927,0.011181968977709289,0.75,0.25
pre_action&deal_only,risk_off,6,0.02934397170212651,0.0231464059378772,1.0,0.0
pre_action&deal_over_tariff,calm_bull,9,0.004189384905002153,0.006064110274477619,0.7777777777777778,0.2222222222222222
pre_action&deal_over_tariff,neutral,17,0.0011570666910722166,0.00633901053957775,0.7058823529411765,0.29411764705882354
pre_action&deal_over_tariff,oversold,9,0.018615511995059262,0.01215321890513077,0.7777777777777778,0.2222222222222222
pre_action&deal_over_tariff,risk_off,6,0.02934397170212651,0.0231464059378772,1.0,0.0
