event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_action&deal_over_tariff,79,0.009473984245013323,0.008614925463842793,0.022635220766620983,0.6962025316455697,0.3037974683544304,long,0.6962025316455697,0.058624857761955446
has_china&pre_action,33,0.014581494976586219,0.008614925463842793,0.034230926732870114,0.696969696969697,0.30303030303030304,long,0.696969696969697,0.05838118671463998
has_action&deal_only,56,0.010199506112883002,0.009092922220435895,0.02428392513630417,0.6785714285714286,0.32142857142857145,long,0.6785714285714286,0.05179272074182703
posts_high&pre_action,57,0.010182452426770355,0.00825819250978821,0.031016514621644512,0.631578947368421,0.3684210526315789,long,0.631578947368421,0.04855315576871813
pre_action&deal_over_tariff,36,0.011390818147374939,0.009994249205344863,0.026655313965099032,0.6944444444444444,0.3055555555555556,long,0.6944444444444444,0.04746174228072891
has_action&pre_deal,52,0.00878190510943405,0.0074485568961094595,0.0213175763623364,0.7307692307692307,0.2692307692307692,long,0.7307692307692307,0.04627758263062689
pre_deal&pre_action,27,0.011573296309204898,0.010098124396018537,0.02569836068665671,0.7407407407407407,0.25925925925925924,long,0.7407407407407407,0.044545638263538335
pre_action&deal_only,28,0.012057048055478319,0.009994249205344863,0.029116850965331564,0.6785714285714286,0.32142857142857145,long,0.6785714285714286,0.04329279023619002
has_attack&deal_over_tariff,175,0.005098406497831876,0.004169390485285973,0.01929436913532919,0.6228571428571429,0.37714285714285717,long,0.6228571428571429,0.042008960248048614
short_posts&china_streak_3d,39,0.010088721005427433,0.00784363252132314,0.020642737555829262,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.04200269499019613
positive_heavy&pre_action,62,0.009106631434478579,0.006342668637713156,0.03086348065417272,0.5806451612903226,0.41935483870967744,long,0.5806451612903226,0.04163556055401743
has_russia&pre_action,35,0.011090253822424815,0.010098124396018537,0.028120911863501213,0.6285714285714286,0.37142857142857144,long,0.6285714285714286,0.04124109089778272
pre_action&lots_of_excl,70,0.008329955754783742,0.006342668637713156,0.02997565157710214,0.5857142857142857,0.4142857142857143,long,0.5857142857142857,0.04082042587368953
pre_action&has_exclamation,74,0.008050695676382629,0.006342668637713156,0.029578530613147788,0.581081081081081,0.4189189189189189,long,0.581081081081081,0.04024259759285589
