event,regime,n,mean_ret,median_ret,hit_up,hit_down
china_streak_3d,calm_bull,10,0.004013111885514509,0.004480958885078601,0.7,0.3
china_streak_3d,neutral,32,0.00516326458669988,0.0020306145038807566,0.5625,0.4375
china_streak_3d,oversold,26,0.007224234913290563,0.01027477273463473,0.6923076923076923,0.3076923076923077
china_streak_3d,risk_off,17,0.02041184008340283,0.024046279894210043,0.8235294117647058,0.17647058823529413
deal_heavy&deal_over_tariff,calm_bull,31,0.0036701291714334645,0.004740798945269908,0.6451612903225806,0.3548387096774194
deal_heavy&deal_over_tariff,neutral,50,0.0027665234486313082,0.0017006704152596752,0.58,0.42
deal_heavy&deal_over_tariff,oversold,43,0.007066709242046138,0.007446119720152522,0.6511627906976745,0.3488372093023256
deal_heavy&deal_over_tariff,risk_off,14,0.011188826892001276,0.009924112289837583,0.6428571428571429,0.35714285714285715
deal_heavy&short_posts,calm_bull,24,0.0039927667702939484,0.005361681593262557,0.7083333333333334,0.2916666666666667
deal_heavy&short_posts,neutral,29,0.006455831816874174,0.0033078821970207173,0.5862068965517241,0.41379310344827586
deal_heavy&short_posts,oversold,14,0.01432899105323539,0.013067315928292689,0.7142857142857143,0.2857142857142857
deal_heavy&short_posts,risk_off,7,0.02691982720680854,0.014265847901870021,0.8571428571428571,0.14285714285714285
has_action&deal_only,calm_bull,14,0.0023818457869256454,0.0004807574043975138,0.5,0.5
has_action&deal_only,neutral,22,0.002651137731727593,0.006787446423638599,0.6818181818181818,0.3181818181818182
has_action&deal_only,oversold,19,0.02424347311111638,0.02124158283595623,0.7894736842105263,0.21052631578947367
has_action&deal_only,risk_off,8,0.039809267141069415,0.03334074044840363,1.0,0.0
has_action&deal_over_tariff,calm_bull,22,0.003883707563368467,0.003675418175005496,0.5454545454545454,0.45454545454545453
has_action&deal_over_tariff,neutral,30,0.0032362464662465656,0.006038484107146691,0.7,0.3
has_action&deal_over_tariff,oversold,26,0.021040012033818403,0.022001429516876447,0.8076923076923077,0.19230769230769232
has_action&deal_over_tariff,risk_off,9,0.036074609132769844,0.03312074750105398,1.0,0.0
has_action&pre_deal,calm_bull,17,0.004437707241076655,0.004862131084361732,0.6470588235294118,0.35294117647058826
has_action&pre_deal,neutral,18,0.003996564935885978,0.007779523422090873,0.7222222222222222,0.2777777777777778
has_action&pre_deal,oversold,17,0.018192933749783518,0.019476231736831107,0.8235294117647058,0.17647058823529413
has_action&pre_deal,risk_off,5,0.03914306551873712,0.030484321609077103,1.0,0.0
has_all_caps&tariff_only,calm_bull,8,0.007331129105771994,0.00755337179436788,0.625,0.375
has_all_caps&tariff_only,neutral,12,0.007782478618252829,0.010077977142070482,0.75,0.25
has_all_caps&tariff_only,oversold,9,0.005171166806180991,0.013520766472980839,0.7777777777777778,0.2222222222222222
has_all_caps&tariff_only,risk_off,8,0.005726116797541758,0.015311015865232203,0.875,0.125
has_attack&deal_only,calm_bull,37,0.0008229095903372649,0.0002539461534099008,0.5405405405405406,0.4594594594594595
has_attack&deal_only,neutral,60,0.004851656018150285,0.005033068477171443,0.6333333333333333,0.36666666666666664
has_attack&deal_only,oversold,36,0.007223160829982577,0.003596894426289743,0.5277777777777778,0.4722222222222222
has_attack&deal_only,risk_off,15,0.02098684176714419,0.01743208773167737,0.7333333333333333,0.26666666666666666
has_attack&deal_over_tariff,calm_bull,47,0.0015316467291576752,0.0006743705254452781,0.5531914893617021,0.44680851063829785
has_attack&deal_over_tariff,neutral,75,0.004781432734624175,0.004959967383434405,0.6533333333333333,0.3466666666666667
has_attack&deal_over_tariff,oversold,52,0.008030670948214942,0.00810769783433285,0.6153846153846154,0.38461538461538464
has_attack&deal_over_tariff,risk_off,19,0.014645733370229423,0.014103567150849594,0.6842105263157895,0.3157894736842105
has_attack&pre_deal,calm_bull,35,0.001636747772349894,0.002795847522016892,0.6,0.4
has_attack&pre_deal,neutral,58,0.006246713912697994,0.004992623681690511,0.6551724137931034,0.3448275862068966
has_attack&pre_deal,oversold,36,0.004192626471871174,0.0062633754401497654,0.6111111111111112,0.3888888888888889
has_attack&pre_deal,risk_off,10,0.01997111183022655,0.013734434717806998,0.8,0.2
has_attack&pre_relief,calm_bull,5,-0.00029619192273455663,0.0017530894876987002,0.6,0.4
has_attack&pre_relief,neutral,6,0.009476344964156835,0.010331674421526382,0.6666666666666666,0.3333333333333333
has_attack&pre_relief,oversold,11,0.014271549069950762,0.027458308357901418,0.7272727272727273,0.2727272727272727
has_attack&pre_relief,risk_off,6,-0.008122375616472777,0.0008695047315690485,0.5,0.5
has_attack&tariff_only,calm_bull,27,0.0014633275634055936,0.003241581436479457,0.5555555555555556,0.4444444444444444
has_attack&tariff_only,neutral,48,0.003042677496973003,0.00651187427361799,0.6666666666666666,0.3333333333333333
has_attack&tariff_only,oversold,32,0.011215020319790311,0.0124701462088459,0.625,0.375
has_attack&tariff_only,risk_off,18,0.024488404656491602,0.020835930579815254,0.8333333333333334,0.16666666666666666
has_china&pre_action,calm_bull,7,0.005985060250526951,0.0026100374047410835,0.5714285714285714,0.42857142857142855
has_china&pre_action,neutral,14,-0.003052767983494274,0.005230760892040887,0.5714285714285714,0.42857142857142855
has_china&pre_action,oversold,12,0.040169388686881365,0.030147588100399192,0.9166666666666666,0.08333333333333333
has_china&pre_action,risk_off,5,0.05446544680426988,0.03356073339575327,1.0,0.0
has_deal&has_action,calm_bull,29,0.003245506463943749,0.0047103553763570005,0.5517241379310345,0.4482758620689655
has_deal&has_action,neutral,37,0.0008845748517210014,0.004959967383434405,0.6216216216216216,0.3783783783783784
has_deal&has_action,oversold,39,0.012061360731383518,0.011502977452459096,0.717948717948718,0.28205128205128205
has_deal&has_action,risk_off,13,0.021595971149699543,0.01887548209527079,0.7692307692307693,0.23076923076923078
has_exclamation&deal_over_tariff,calm_bull,75,0.0010230859654790187,0.0006743705254452781,0.5333333333333333,0.4666666666666667
has_exclamation&deal_over_tariff,neutral,104,0.003678760437379692,0.002788182165034403,0.6153846153846154,0.38461538461538464
has_exclamation&deal_over_tariff,oversold,71,0.00536413315930517,0.00679819836784934,0.5774647887323944,0.4225352112676056
has_exclamation&deal_over_tariff,risk_off,29,0.008869517192312314,0.012430653339704723,0.5862068965517241,0.41379310344827586
has_night_post&deal_over_tariff,calm_bull,48,0.002360220386220598,0.002240203999476331,0.5416666666666666,0.4583333333333333
has_night_post&deal_over_tariff,neutral,59,0.0047999874230382385,0.0052377979502784555,0.6440677966101694,0.3559322033898305
has_night_post&deal_over_tariff,oversold,36,0.008545945201459258,0.0072332787125167775,0.6111111111111112,0.3888888888888889
has_night_post&deal_over_tariff,risk_off,16,0.011549587688130268,0.009924112289837583,0.625,0.375
has_relief&deal_over_tariff,calm_bull,12,0.005141077392731379,0.007023587776759599,0.5833333333333334,0.4166666666666667
has_relief&deal_over_tariff,neutral,7,0.013558396941868476,0.009570918977028997,1.0,0.0
has_relief&deal_over_tariff,oversold,11,0.009968902751339518,0.007417571239970444,0.6363636363636364,0.36363636363636365
