event,avg_mean_ret_h1,avg_mean_ret_h2,avg_mean_ret_h3,avg_hit_rate_h1,avg_hit_rate_h2,avg_hit_rate_h3,avg_n,target_count,score_h1
long_posts,0.003992760711963658,0.003446483219512675,0.004662830948411705,0.47520661157024796,0.4586776859504132,0.5206611570247934,22.0,11,0.40583762492590525
sig_potus,0.002412097757768897,0.005996800788135315,0.007471643849593426,0.4772727272727273,0.5234848484848484,0.537878787878788,120.0,11,0.26644040850558437
has_market_brag,0.001959480312286486,0.00204229832483634,0.0020549121356104936,0.48207792207792205,0.4935064935064935,0.478961038961039,175.0,11,0.22973079325695217
posts_very_high,0.0018270892125153008,0.002878701137293509,0.0038182956601760733,0.4765151515151515,0.49886363636363634,0.509469696969697,240.0,11,0.21407204210158812
attack_heavy,0.001604407740848495,0.0028919117264874835,0.004175837347311672,0.4714536671058411,0.5,0.5173473869126043,414.0,11,0.19217722639299756
has_attack,0.0014103021722509316,0.0024927116004019533,0.0034456203758444354,0.46080904741191825,0.4921270117442366,0.5070900391474554,1045.0,11,0.1713665510832601
volume_drop,0.001559608985607313,0.0032186259394576104,0.004139952262977315,0.45313601127554615,0.4860230209067419,0.5081042988019733,387.0,11,0.1687069632325102
has_iran,0.0015862331301901822,0.0018769457537488245,0.0013890692275641445,0.4580690627202255,0.4869626497533474,0.49823819591261453,129.0,11,0.16536772024379956
silence_day,0.0014979312321014044,0.002891968512396307,0.004057395873639058,0.43563232883621233,0.4689194300844786,0.482536880595133,721.0,11,0.15124570343528104
positive_heavy,0.0011289384195245747,0.0021412621103205046,0.0031729699050495595,0.46049472915144557,0.48763177121386075,0.5038096232126082,871.0,11,0.14109646534299283
deal_only,0.0012341584499160035,0.00262868875889687,0.0032318741313063296,0.4535573122529644,0.48863636363636365,0.49283596837944665,368.0,11,0.13608112368497005
deal_over_tariff,0.0011994083172235433,0.002477589350934471,0.003078145467960235,0.4543170397441754,0.48789401553220646,0.49291914116034713,398.0,11,0.1341474856354284
