target,period,period_start,period_end,event,n,raw_gap_h1,resid_gap_h1,resid_hit_h1,resid_abs_lift_h1,event_resid_mean_h1,nonevent_resid_mean_h1,raw_gap_h2,resid_gap_h2,resid_hit_h2,resid_abs_lift_h2,event_resid_mean_h2,nonevent_resid_mean_h2,raw_gap_h3,resid_gap_h3,resid_hit_h3,resid_abs_lift_h3,event_resid_mean_h3,nonevent_resid_mean_h3,period_residual_influence_score
00632R.TW,2024-12-31,2024-10-01,2024-12-31,volume_drop,17,-0.12139976386429724,-0.120387762319086,0.35294117647058826,-0.12218432471056964,-0.0025589879763926802,0.11782877434269333,-0.24325188523574423,-0.24021409838991625,0.29411764705882354,-0.23977706764931261,-0.005350783108273926,0.23486331528164234,-0.3605325530169968,-0.3556629538085454,0.29411764705882354,-0.35667090097968174,-0.00607917432719644,0.34958377948134894,24.090672044634474
2308.TW,2021-03-31,2021-01-01,2021-03-31,has_positive,5,0.04086948390134534,0.041333446187917317,1.0,0.024448774484551586,0.03907123825084295,-0.002262207937074368,0.07614577779599896,0.07721040720066774,1.0,0.05245731759286316,0.07276344486188271,-0.004446962338785026,0.10351151174462861,0.10453068612147265,1.0,0.07086838476256017,0.09769822122945596,-0.006832464892016694,10.416643525693786
2308.TW,2021-03-31,2021-01-01,2021-03-31,short_posts,5,0.0346506654124576,0.03329922176372141,0.8,0.02827451058367484,0.03166468760978735,-0.0016345341539340625,0.07128678237459903,0.06976527181919331,0.8,0.055560566765018804,0.06589996068208598,-0.003865311137107338,0.10038883762877139,0.09759541094890185,0.8,0.07481917735378271,0.09130476442974225,-0.006290646519159601,9.650818657460773
2308.TW,2021-03-31,2021-01-01,2021-03-31,silence_day,58,-0.030768601593719573,-0.029833725647354047,0.3620689655172414,-0.022711641082376128,-0.0018299442330827686,0.02800378141427128,-0.062034058165205255,-0.06068889929946968,0.3620689655172414,-0.04445090999532614,-0.004104483585558143,0.05658441571391154,-0.08555421505643045,-0.08375138429067995,0.3793103448275862,-0.058736830581668495,-0.006517697316027889,0.07723368697465206,5.9820929237351566
2377.TW,2017-12-31,2017-10-02,2017-12-29,has_iran,5,0.021489427614455887,0.021801376146407366,0.8,0.015218677055472685,0.022126294267282264,0.00032491812087489825,0.04429873753097886,0.044296140391712924,0.8,0.0321173699647263,0.045632332958081154,0.0013361925663682287,0.04935967409836543,0.04923622354303632,0.8,0.04708584424580946,0.05391614340645821,0.004679919863421885,5.736073785164308
2376.TW,2020-03-31,2020-01-01,2020-03-31,pre_relief,5,0.028214849585230885,0.018880531829527415,0.8,0.030480255615036242,0.019404534687341768,0.0005240028578143524,0.044467946439842844,0.032006054725492956,0.8,0.02224112665608514,0.03250599146164133,0.000499936736148369,0.07755939432884995,0.062388746846623606,0.8,0.026879013586309,0.06063703968074454,-0.0017517071658790667,5.4204353057042525
2308.TW,2020-06-30,2020-04-01,2020-06-30,sig_potus,6,0.023713604136624822,0.024888977384178036,1.0,0.012819891916705574,0.025393585761079623,0.0005046083769015851,0.03799976056087701,0.039668360598156475,1.0,0.025151697521193256,0.042848466561890904,0.0031801059637344303,0.0430243184481405,0.04600585288041481,1.0,0.030745509846096798,0.053445946574639296,0.0074400936942244835,5.350183784982124
2317.TW,2021-03-31,2021-01-01,2021-03-31,short_posts,5,0.03068620734919932,0.02946414015773399,1.0,0.014561870222831813,0.03109883925893278,0.0016346991011987925,0.044047410818192745,0.04231153336261291,0.8,0.026279554616518118,0.04556058555864894,0.003249052196036029,0.041860895471909104,0.03971131756769932,0.8,0.03315063880503916,0.04494928205786041,0.005237964490161092,5.334018358366973
2382.TW,2023-09-30,2023-07-03,2023-09-29,china_streak_3d,5,0.03029533514552718,0.026380201838446415,0.6,0.0020257536268666193,0.032202236079079946,0.0058220342406335324,0.05967686299574246,0.05476944561098358,0.8,0.02793420920238364,0.06459532027428787,0.009825874663304288,0.045501158237181046,0.041282832101773415,0.8,0.028843905877445578,0.058298923000417245,0.017016090898643834,5.312398058177325
2376.TW,2022-12-31,2022-10-03,2022-12-30,sig_potus,5,0.012683526246858617,0.015354638649551122,0.8,0.0063023354994195015,0.015580034079347438,0.00022539542979631676,0.031053933889581792,0.033350926436173024,0.8,0.011150292301327466,0.03403019513720865,0.0006792687010356324,0.06614699941822315,0.0694429644986446,0.8,0.03963491411567884,0.06929710138117104,-0.00014586311747354872,5.207660946111669
2317.TW,2021-03-31,2021-01-01,2021-03-31,has_positive,5,0.027654230789176514,0.02733585074570894,0.8,0.016245001590287227,0.02913682245722219,0.0018009717115132495,0.034998471929935715,0.035149544470968894,0.8,0.03344154350816213,0.03895812704916461,0.0038085825781957175,0.04493036359711241,0.04563096241319509,0.8,0.027230993959543395,0.05040645464980183,0.004775492236606735,5.203755166654591
2376.TW,2023-09-30,2023-07-03,2023-09-29,sig_potus,6,0.03283146176767321,0.028722175491898424,0.6666666666666666,0.00490814560499455,0.029335706076516112,0.0006135305846176886,0.058366417166631476,0.054527516276309966,0.6666666666666666,0.015117665747492091,0.053890197014391746,-0.0006373192619182191,0.044300191056820946,0.03946308734251556,0.6666666666666666,0.03271568899871386,0.04165281666017029,0.0021897293176547294,5.155576744368027
