date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2017-01-03,2330,269,0,6482595,941,13308,13980, ,30,39,0,6482595,100,5174,5113
2017-01-04,2330,255,5,6482595,319,13239,13308, ,76,18,0,6482595,115,5271,5174
2017-01-05,2330,307,11,6482595,298,13237,13239, ,26,38,1,6482595,26,5258,5271
2017-01-06,2330,181,6,6482595,227,13185,13237, ,9,18,0,6482595,48,5288,5258
2017-01-09,2330,308,11,6482595,368,13114,13185, ,34,35,0,6482595,82,5335,5288
2017-01-10,2330,241,0,6482595,419,12936,13114, ,17,51,1,6482595,36,5319,5335
2017-01-11,2330,730,6,6482595,274,13386,12936, ,25,104,0,6482595,51,5266,5319
2017-01-12,2330,305,7,6482595,1089,12595,13386, ,28,60,0,6482595,698,5904,5266
2017-01-13,2330,1466,1,6482595,926,13134,12595, ,118,755,0,6482595,44,5193,5904
2017-01-16,2330,1204,3,6482595,210,14125,13134, ,50,242,0,6482595,38,4989,5193
2017-01-17,2330,79,23,6482595,288,13893,14125, ,8,44,0,6482595,38,4983,4989
2017-01-18,2330,433,18,6482595,196,14112,13893, ,24,88,1,6482595,64,4958,4983
2017-01-19,2330,375,10,6482595,340,14137,14112, ,46,65,0,6482595,37,4930,4958
2017-01-20,2330,73,42,6482595,703,13465,14137, ,14,16,0,6482595,35,4949,4930
2017-01-23,2330,151,14,6482595,1690,11912,13465, ,71,67,3,6482595,219,5098,4949
2017-01-24,2330,145,9,6482595,1293,10755,11912, ,76,72,1,6482595,126,5151,5098
2017-02-02,2330,720,1,6482595,1164,10305,10750, ,135,67,0,6482595,93,5177,5151
2017-02-03,2330,283,4,6482595,282,10302,10305, ,9,96,3,6482595,19,5097,5177
2017-02-06,2330,169,2,6482595,129,10340,10302, ,4,60,1,6482595,10,5046,5097
2017-02-07,2330,158,0,6482595,116,10382,10340, ,14,28,10,6482595,39,5047,5046
2017-02-08,2330,458,36,6482595,136,10668,10382, ,11,139,0,6482595,0,4908,5047
